operator,call_index,layer,head,discovery_mean_gain,validation_mean_gain,discovery_horizon_slope,validation_horizon_slope
landmark,0,9,11,-1.4565081045873567,-1.4469400629065812,0.279768319555496,0.3868576890983476
landmark,0,10,0,-5.137299412644613,-4.951768467198596,-0.15760222723955472,-0.12661343232688674
landmark,0,10,1,-2.835072802763538,-2.87460638259004,-0.361310706881612,-0.26639134226539096
landmark,0,10,2,-2.893198147095657,-2.8259313298317355,-0.0492371639699962,-0.03260623630585312
landmark,0,10,3,-3.097257413105369,-3.1472939945970464,0.4777256368621165,0.5726300908664479
landmark,0,10,4,-2.0213265345785687,-2.0094645831175497,-0.017608432549604328,0.08205502745457398
landmark,0,10,5,-2.43887685432976,-2.4155599273842587,-0.311035422642993,-0.1454349279773795
landmark,0,10,6,-3.0385793082343984,-2.9114468346818345,0.43937434835655736,0.535450521474928
landmark,0,10,7,-1.8231900006996637,-1.7312904981359896,0.5825086512915247,0.6502026112774928
landmark,0,10,8,-1.8721145292214116,-1.8067190487306073,0.16819335685603867,0.25889092782221257
landmark,0,10,9,-2.9556096798258267,-2.829427652222645,-0.4432433480603716,-0.32952831007099986
landmark,0,10,10,-2.9261659290426785,-2.9167856254280973,-0.2641093567804883,-0.1420338165935771
landmark,0,10,11,-4.89767100947553,-4.781067270724119,0.11881641170524758,0.2339330795244465
landmark,0,11,0,-3.4315867990284112,-3.42966266886163,-0.6825417759208305,-0.6328651495260023
landmark,0,11,1,-3.6846530937258435,-3.708014747993392,-0.14672259062064974,-0.047017266637269864
landmark,0,11,2,-3.0769010123089644,-3.01438686112864,0.3324040020471513,0.2754433798929992
landmark,0,11,3,-4.480809227074741,-4.454098077638476,-0.28509292288688176,-0.32929733751732054
landmark,0,11,4,-3.6525276321232822,-3.5047630036072923,-0.18117084673456324,-0.11375636770459595
landmark,0,11,5,-3.707824767258025,-3.506318365798369,0.250012768068725,0.21858331933653455
landmark,0,11,6,-3.421389433542067,-3.480827777163148,-0.27471470756185756,-0.22950414780002995
landmark,0,11,7,-4.106294927953013,-4.10479799718603,-0.27440023020576987,-0.23846800804049856
landmark,0,11,8,-2.1285082040936483,-1.948948122035789,0.10785213879274234,0.08138674399336554
landmark,0,11,9,-4.250986563191558,-4.050498754422224,-0.4606145821316428,-0.5695484033312519
landmark,0,11,10,-1.611832465849864,-1.5907370645486971,0.2791216414165812,0.2966908995424658
landmark,0,11,11,-2.2376432685557743,-2.183156324951361,-0.09009071651312106,-0.09019051117032663
landmark,0,12,0,-5.319669343483162,-5.165937852619329,-0.14602741886437084,-0.12196074821563992
landmark,0,12,1,-3.6715873823345837,-3.538940382656431,0.03147792934868499,0.014695048590374456
landmark,0,12,2,-5.274615211374349,-4.8808798203635755,0.034039971284331255,-0.3851569178292687
landmark,0,12,3,-1.9974840963700167,-1.9154350829868905,0.011446847076444867,0.013654499684389844
landmark,0,12,4,-2.3579898790983425,-2.234870158398934,0.1509323692899619,0.11183401178689718
landmark,0,12,5,-2.305036641624847,-2.221285781441131,0.13003393212203496,0.0776745981510255
landmark,0,12,6,-6.091009698031752,-5.97950880138356,-0.1548056805773462,-0.0363746705799105
landmark,0,12,7,-6.30346750419501,-6.075482795112386,-0.10533611155608437,-0.06230647169054279
landmark,0,12,8,-6.667472215623204,-6.593676743862697,-0.814609748375547,-1.0331495617153097
landmark,0,12,9,-5.333619639342879,-5.3745839020072514,-0.40938836713293797,-0.4322769666235096
landmark,0,12,10,-3.565503020362184,-3.2914822989519528,-0.3824101489446821,-0.5138846858038202
landmark,0,12,11,-4.676632552277195,-4.724113009982106,0.10549969939503609,0.054347772598497185
landmark,0,13,0,-2.7008240625993376,-2.632485999401346,0.29369208662197943,0.26530200407460786
landmark,0,13,1,-3.3011155890319483,-3.3459056944398315,-0.1570940106799622,-0.15824027025600215
landmark,0,13,2,-2.6099647717633587,-2.5203601218551888,0.29351771334992904,0.19533517095195482
landmark,0,13,3,-2.8737549912830467,-2.7263662083552913,0.17184838541544828,0.13720497335977466
landmark,0,13,4,-2.6695993697056544,-2.5403397884687724,0.30887991696256056,0.2453078169966027
landmark,0,13,5,-3.6507248198788034,-3.5676091059349115,-0.4800538951420853,-0.4384181794487914
landmark,0,13,6,-2.9648448461193397,-2.814206693371929,0.1744853712206651,0.15887306248399183
landmark,0,13,7,-3.6868685644059656,-3.6858979607070723,-0.38207254309225647,-0.4149549746899348
landmark,0,13,8,-3.4059462374418836,-3.31073695355148,0.49795539504098973,0.48258266832945157
