layer,head,calibration_best,calibration_margin,validation_budget_full_fraction,supported,assigned_policy,assigned_label,min_validation_advantage,min_bootstrap_lower,max_q_value
5,3,coverage,0.3312605684904293,1.0,True,coverage,21,0.30288782253560026,0.2377101907945179,2.1897388361157125e-11
5,4,recent,1.45952149993696,1.0,True,recent,20,1.3924705363218395,1.3022572002010062,5.530711024294834e-13
5,5,recent,1.3895167590329258,1.0,True,recent,20,1.3317432155171554,1.1977251165262324,5.530711024294834e-13
5,6,recent,2.669393366994827,1.0,True,recent,20,2.631139650270206,2.350734198574115,2.1897388361157125e-11
5,7,recent,2.5875506468057057,1.0,True,recent,20,2.4551384984679703,2.246756617585076,5.530711024294834e-13
5,8,coverage,0.17890225137332383,1.0,False,recent,20,0.08947121951222868,0.016393420666352992,0.014241287498062492
5,9,recent,5.641368383150757,1.0,True,recent,20,5.680667717607129,5.536225701055337,5.530711024294834e-13
5,10,recent,1.1061076366273088,1.0,True,recent,20,1.1101820143187382,1.0169853974716505,5.530711024294834e-13
5,11,recent,2.630295705557443,1.0,True,recent,20,2.548432728528413,2.4680155629420537,5.530711024294834e-13
6,0,recent,1.12841922004562,1.0,True,recent,20,1.020387369673097,0.9233384992164513,5.530711024294834e-13
6,1,recent,0.8563246036573648,1.0,True,recent,20,0.9034887306599848,0.8263866972242643,5.530711024294834e-13
6,2,recent,1.59422747353391,1.0,True,recent,20,1.5222693195246972,1.433441143673863,5.530711024294834e-13
6,3,recent,0.3286057777956102,1.0,True,recent,20,0.2936072482780026,0.2326561039866096,5.553404737572025e-08
6,4,recent,1.7182081891723113,1.0,True,recent,20,1.5919359615735136,1.409736751005849,5.530711024294834e-13
6,5,recent,0.34670745159581084,1.0,True,recent,20,0.3658642486957775,0.31386341299193,2.1897388361157125e-11
6,6,coverage,0.33342814414671196,1.0,True,coverage,21,0.2787067905133249,0.22374739244225036,5.553404737572025e-08
6,7,recent,0.27488053908689913,1.0,True,recent,20,0.22904318740989785,0.14416031176652477,0.0007679070074706996
6,8,recent,0.769861348514068,1.0,True,recent,20,0.7860638831062359,0.7302819613253593,5.530711024294834e-13
6,9,recent,1.0409962918134008,1.0,True,recent,20,1.0826359193400599,0.9253554547995297,5.530711024294834e-13
6,10,recent,0.8425923426089752,1.0,True,recent,20,0.815592635463163,0.7223720017250409,5.530711024294834e-13
6,11,coverage,0.0006787403170971373,1.0,False,recent,20,-0.07814460367469103,-0.2275785556055221,0.9439845764001833
7,0,recent,2.355366761469236,1.0,True,recent,20,2.425937975777071,2.2470710953573225,5.530711024294834e-13
7,1,recent,3.4240909242063258,1.0,True,recent,20,3.472449627204015,3.26480513068467,5.530711024294834e-13
7,2,recent,0.8093973768510745,1.0,True,recent,20,0.7961447021426459,0.7239576015733292,5.530711024294834e-13
7,3,recent,2.3854766985504874,1.0,True,recent,20,2.394816039463345,2.1465766719562005,5.530711024294834e-13
7,4,recent,2.7259299586194397,1.0,True,recent,20,2.42422512534976,2.1845586634344496,5.530711024294834e-13
7,5,recent,1.57006606486989,1.0,True,recent,20,1.5655793041014767,1.4497597966317055,5.530711024294834e-13
7,6,recent,1.5238714763356733,1.0,True,recent,20,1.5932062963289229,1.4933821511683671,5.530711024294834e-13
7,7,recent,4.8691625018378755,1.0,True,recent,20,4.820552242242083,4.659904386780103,5.530711024294834e-13
7,8,recent,3.888429432653332,1.0,True,recent,20,3.984909875141026,3.800554574324912,5.530711024294834e-13
7,9,recent,1.9368109404275313,1.0,True,recent,20,1.8536499325138922,1.7011935020124396,5.530711024294834e-13
7,10,recent,0.3616652886110745,1.0,True,recent,20,0.35959486652496453,0.2929733444427286,2.1897388361157125e-11
7,11,recent,1.7274352014283463,1.0,True,recent,20,1.7272055279754193,1.6339727748740194,5.530711024294834e-13
8,0,recent,3.7535486812504857,1.0,True,recent,20,3.5204005828793346,3.2964511671569503,5.530711024294834e-13
8,1,recent,5.556291004071788,1.0,True,recent,20,5.285732160720784,5.068523602489186,5.530711024294834e-13
8,2,recent,0.7507605284710541,1.0,True,recent,20,0.723075422152026,0.624426829357435,2.1897388361157125e-11
8,3,recent,2.120160561409147,1.0,True,recent,20,2.160314838086532,2.066706043687168,5.530711024294834e-13
8,4,recent,1.7731998755796043,1.0,True,recent,20,1.5867584533953247,1.3986469172871263,5.530711024294834e-13
8,5,recent,3.5207823642328577,1.0,True,recent,20,3.4988638942969477,3.3143194123114945,5.530711024294834e-13
8,6,coverage,0.557220356825495,1.0,True,coverage,21,0.4567816902968601,0.35943848024423697,4.335397785778419e-10
8,7,recent,3.231486970058749,1.0,True,recent,20,3.298916137820067,3.1687710631179034,5.530711024294834e-13
8,8,recent,3.332002372906983,1.0,True,recent,20,3.32412780264642,3.1192792723511804,5.530711024294834e-13
8,9,recent,0.95564064530718,1.0,True,recent,20,0.9154107333209945,0.8297273570546733,5.530711024294834e-13
8,10,recent,3.375920179339153,1.0,True,recent,20,3.1696586278349494,2.929445697245867,5.530711024294834e-13
8,11,recent,6.5272439110066385,1.0,True,recent,20,6.263771899154249,5.978820267802488,5.530711024294834e-13
9,0,recent,1.6078301334305758,1.0,True,recent,20,1.6758271657292276,1.5002713447592932,5.530711024294834e-13
9,1,recent,0.6408881716566661,1.0,True,recent,20,0.6874907356147626,0.6086671387278441,5.530711024294834e-13
9,2,recent,0.6577084041301795,1.0,True,recent,20,0.6850912911165693,0.4500327166437211,4.225997085206233e-07
9,3,recent,1.075305350953531,1.0,True,recent,20,1.0960598789338896,0.9061428896236438,5.530711024294834e-13
9,4,recent,2.1014648833876493,1.0,True,recent,20,1.9925438605284596,1.871981424499578,5.530711024294834e-13
9,5,recent,0.7415317059493796,1.0,True,recent,20,0.8222505016114479,0.7396381666734871,5.530711024294834e-13
9,6,recent,1.0450562155444163,1.0,True,recent,20,1.0253193997118273,0.8201246216045105,5.553404737572025e-08
