candidate,control,window,prompt_count,metric,mean_delta,median_delta,win_fraction,tie_fraction,bootstrap_ci_lower,bootstrap_ci_upper,p_value,q_value,inferential_role
ours_correct,sf_fifo21,early_half,64,quality_without_dynamic_degree,-0.0012324406606434302,0.003686795130413145,0.515625,0.0,-0.055310219088148614,0.05121825197250186,0.45032662312601657,,
ours_correct,sf_fifo21,early_half,64,official_quality_score,-0.052743429671632924,-0.008200925854737307,0.484375,0.0,-0.1852958027833878,0.07922945486878737,0.646009622932618,,
ours_correct,sf_fifo21,early_half,64,identity_background,2.0292636620100266e-05,-0.00012997473820830496,0.421875,0.0,-0.000312854603808798,0.00038062246488950726,0.9156785442801483,,
ours_correct,sf_fifo21,early_half,64,temporal_mechanics,5.474583617635573e-05,3.762139967888878e-06,0.53125,0.0,-0.00017209592622389338,0.000292089741249025,0.353990377067382,,
ours_correct,sf_fifo21,early_half,64,semantic_alignment,-0.00039667303540877417,-8.236191102434232e-05,0.4375,0.0,-0.0010646433544544854,0.00024028762958810127,0.8697822617116733,,
ours_correct,sf_fifo21,early_half,64,visual_quality,-0.0002129738651482022,-8.479599441801877e-05,0.46875,0.0,-0.0014082093738252298,0.0009571230092385307,0.7338456119860789,,
ours_correct,sf_fifo21,early_half,64,dynamic_degree,-0.00669642857142857,0.0,0.09375,0.765625,-0.022321428571428575,0.008928571428571437,0.84912109375,,
ours_correct,sf_fifo21,early_half,64,subject_consistency,0.00017273731898657246,2.9640323182034134e-05,0.515625,0.0,-0.0003287633059858091,0.0006816417661800357,0.45032662312601657,,
ours_correct,sf_fifo21,early_half,64,imaging_quality,3.087776713074034e-05,7.259317806784793e-05,0.546875,0.0,-0.0015941445989135121,0.0017992172653321108,0.26615438801392105,,
ours_correct,ours_random,early_half,64,quality_without_dynamic_degree,-0.014692866177274055,-0.008382323371051825,0.46875,0.0,-0.043101946580918656,0.01140295040140292,0.7338456119860789,,
ours_correct,ours_random,early_half,64,official_quality_score,-0.10054451452892121,-0.008382323371051825,0.46875,0.0,-0.24317649213076994,0.033850145044896356,0.7338456119860789,,
ours_correct,ours_random,early_half,64,identity_background,-0.0002768288854831484,-8.402405256813239e-05,0.421875,0.0,-0.0005820925785219563,8.499555705294671e-06,0.9156785442801483,,
ours_correct,ours_random,early_half,64,temporal_mechanics,0.00014315999896378356,8.207666172821426e-07,0.5,0.0,2.615554040950028e-05,0.0002779702031851,0.5496733768739834,,
ours_correct,ours_random,early_half,64,semantic_alignment,-0.00027197654292519867,-5.8566885335120666e-05,0.484375,0.0,-0.0007359833539729696,0.00015632412853717125,0.646009622932618,,
ours_correct,ours_random,early_half,64,visual_quality,-0.0005494708132131685,-0.00019670401300697637,0.421875,0.0,-0.0013303391588768572,0.00011789140298165693,0.9156785442801483,,
ours_correct,ours_random,early_half,64,dynamic_degree,-0.011160714285714284,0.0,0.0625,0.828125,-0.029017857142857144,0.006696428571428567,0.88671875,,
ours_correct,ours_random,early_half,64,subject_consistency,-0.00011451569893485003,6.45121412030103e-05,0.5625,0.0,-0.0005669864383231927,0.0003070611634787498,0.19086639739666883,,
ours_correct,ours_random,early_half,64,imaging_quality,6.523301226219955e-05,-3.7607210023049564e-05,0.5,0.0,-0.0005680877151067477,0.0007585698703935842,0.5496733768739834,,
