comparison,window,metric,mean_delta,ci95_low,ci95_high,q_value,win_fraction
sf_sink1_9_minus_sf_sink1_21,early_half,quality_without_dynamic_degree,0.03114345877221103,-0.5558629115486711,0.6940610765084976,,0.40625
sf_sink1_9_minus_sf_sink1_21,early_half,official_quality_score,0.03114345877221103,-0.5486537810553261,0.692720107839794,,0.40625
sf_sink1_9_minus_sf_sink1_21,early_half,identity_background,0.0008990435244197667,-0.0021825196197366673,0.004379197557509898,,0.375
sf_sink1_9_minus_sf_sink1_21,early_half,temporal_mechanics,-0.00022966812293132716,-0.0029793916415385255,0.003128646311792258,,0.34375
sf_sink1_9_minus_sf_sink1_21,early_half,semantic_alignment,-0.056685086949853164,-0.09911731302706488,-0.019262832759367125,,0.46875
sf_sink1_9_minus_sf_sink1_21,early_half,visual_quality,0.0004800256860575565,-0.008965450241563042,0.009886589616769931,,0.40625
sf_sink1_9_minus_sf_sink1_21,early_half,dynamic_degree,0.0,0.0,0.0,,0.0
sf_sink1_9_minus_sf_sink1_13,early_half,quality_without_dynamic_degree,0.001121585096812261,-0.47149761263613454,0.5556166229787598,,0.40625
sf_sink1_9_minus_sf_sink1_13,early_half,official_quality_score,0.001121585096812261,-0.49772973784681657,0.5826054751939178,,0.40625
sf_sink1_9_minus_sf_sink1_13,early_half,identity_background,0.0018895134432571799,-0.0009051192475456369,0.005030610149280121,,0.59375
sf_sink1_9_minus_sf_sink1_13,early_half,temporal_mechanics,0.00023238538920582544,-0.002273401285211295,0.0031837630394198468,,0.375
sf_sink1_9_minus_sf_sink1_13,early_half,semantic_alignment,-0.05820505904245823,-0.10096614388330635,-0.021672296617310037,,0.34375
sf_sink1_9_minus_sf_sink1_13,early_half,visual_quality,-0.003056030168331102,-0.011161590867642584,0.005100739180143644,,0.4375
sf_sink1_9_minus_sf_sink1_13,early_half,dynamic_degree,0.0,0.0,0.0,,0.0
sf_sink3_9_minus_sf_sink1_9,early_half,quality_without_dynamic_degree,-0.3318559325564907,-0.5511821453829852,-0.11457997317161606,,0.25
sf_sink3_9_minus_sf_sink1_9,early_half,official_quality_score,-0.3318559325564907,-0.5460645046994713,-0.10855656731918666,,0.25
sf_sink3_9_minus_sf_sink1_9,early_half,identity_background,-0.000985506383607157,-0.0024572703196711946,0.0005315959032550697,,0.375
sf_sink3_9_minus_sf_sink1_9,early_half,temporal_mechanics,-0.002454923754750874,-0.0035434536432371482,-0.0013861927623450997,,0.15625
sf_sink3_9_minus_sf_sink1_9,early_half,semantic_alignment,-0.004365605585917361,-0.006139969468780948,-0.0025659714509207072,,0.25
sf_sink3_9_minus_sf_sink1_9,early_half,visual_quality,-0.0024112203584185574,-0.006773126242316441,0.0023733077041937986,,0.375
sf_sink3_9_minus_sf_sink1_9,early_half,dynamic_degree,0.0,0.0,0.0,,0.0
sf_sink1_21_minus_sf_fifo21,late_half,quality_without_dynamic_degree,-0.5769963765448138,-1.1260376565321544,-0.068656574765231,0.999998721992597,0.40625
sf_sink1_21_minus_sf_fifo21,late_half,official_quality_score,-0.5769963765448138,-1.1093442905616056,-0.06356909924918525,,0.40625
sf_sink1_21_minus_sf_fifo21,late_half,identity_background,-0.0036663245641610845,-0.005771570901398037,-0.0016611693216718214,0.999998721992597,0.21875
sf_sink1_21_minus_sf_fifo21,late_half,temporal_mechanics,-0.0049660277744510185,-0.009555317403234289,-0.0013979406882140854,0.999998721992597,0.1875
sf_sink1_21_minus_sf_fifo21,late_half,semantic_alignment,0.0064103007898665965,-0.0030725614829862024,0.016024621104588733,0.999998721992597,0.59375
sf_sink1_21_minus_sf_fifo21,late_half,visual_quality,0.000465766895795236,-0.014285242427635235,0.016166334834677405,0.999998721992597,0.53125
sf_sink1_21_minus_sf_fifo21,late_half,dynamic_degree,0.0,0.0,0.0,,0.0
sf_sink1_13_minus_sf_sink1_21,late_half,quality_without_dynamic_degree,-0.4800442028901313,-0.9201952556165566,0.009946258580708613,0.999998721992597,0.21875
sf_sink1_13_minus_sf_sink1_21,late_half,official_quality_score,-0.4800442028901313,-0.9139330734026859,0.012131791529095942,,0.21875
sf_sink1_13_minus_sf_sink1_21,late_half,identity_background,-0.0014317422552347359,-0.00446945500522671,0.0018035245269109922,0.999998721992597,0.28125
sf_sink1_13_minus_sf_sink1_21,late_half,temporal_mechanics,-0.005195933570056727,-0.008381267000563188,-0.0022037386359648864,0.999998721992597,0.15625
