candidate,control,window,metric,mean_delta,median_delta,win_fraction,bootstrap_ci_lower,bootstrap_ci_upper,p_value,q_value,inferential_role
landmark_static_top10,landmark_all_recent,early_half,identity_background,-0.0005403848767702966,-0.00040604527541154845,0.40625,-0.001853720946416679,0.000506415387895982,0.8923364251386374,,descriptive_context
landmark_static_top10,landmark_all_recent,early_half,temporal_mechanics,9.371451220170982e-05,-0.00036424482964980687,0.40625,-0.0023009162186267995,0.0028614289681066383,0.8923364251386374,,descriptive_context
landmark_static_top10,landmark_all_recent,early_half,semantic_alignment,0.00360024653907333,0.0021468486104692652,0.5625,0.00032658720156177084,0.0072053392118375205,0.29830744792707264,,descriptive_context
landmark_static_top10,landmark_all_recent,early_half,visual_quality,0.0011554953429315715,0.0011271398408072009,0.5625,-0.0033891160102295192,0.005790231399903319,0.29830744792707264,,descriptive_context
landmark_static_top10,landmark_all_recent,early_half,dynamic_degree,0.0,0.0,0.0,0.0,0.0,1.0,,descriptive_context
landmark_all_recent,sf_native,early_half,quality_without_dynamic_degree,-0.026453457955105453,-0.03256329876629138,0.46875,-0.3614497476608121,0.30520911422829033,0.7016925520729274,,descriptive_context
landmark_all_recent,sf_native,early_half,official_quality_score,-0.026453457955105453,-0.03256329876629138,0.46875,-0.3773707491225564,0.3071407700908645,0.7016925520729274,,descriptive_context
landmark_all_recent,sf_native,early_half,identity_background,0.00223167964053338,0.001485201206716802,0.625,0.0009035437081884086,0.003747304815164742,0.10766357486136258,,descriptive_context
landmark_all_recent,sf_native,early_half,temporal_mechanics,-0.0023272492429391826,-0.0016670755096703793,0.28125,-0.004790748234610355,-0.00011903550462564576,0.99649981665425,,descriptive_context
landmark_all_recent,sf_native,early_half,semantic_alignment,0.0027344212202089196,0.0018820464611053467,0.625,-0.00034323619745139255,0.006055574422602412,0.10766357486136258,,descriptive_context
landmark_all_recent,sf_native,early_half,visual_quality,0.0030255852400192344,0.005701128159250557,0.59375,-0.002083623632988205,0.007740445482977004,0.18854279373772442,,descriptive_context
landmark_all_recent,sf_native,early_half,dynamic_degree,0.0,0.0,0.0,0.0,0.0,1.0,,descriptive_context
retrieval_horizon_top10,sf_native,early_half,quality_without_dynamic_degree,-0.06470571630366706,0.03888842282782434,0.5,-0.38832560044462217,0.24728209673752155,0.5699749670457095,,descriptive_context
retrieval_horizon_top10,sf_native,early_half,official_quality_score,-0.06470571630366706,0.03888842282782434,0.5,-0.3761612845446874,0.2443135746906242,0.5699749670457095,,descriptive_context
retrieval_horizon_top10,sf_native,early_half,identity_background,0.0021274772123359292,0.0009132508978307308,0.625,0.0009385803879010224,0.003411691220676926,0.10766357486136258,,descriptive_context
retrieval_horizon_top10,sf_native,early_half,temporal_mechanics,-0.00328727577804842,-0.0022140037627196296,0.21875,-0.005393747999973896,-0.0013488198622391477,0.9997324736323208,,descriptive_context
retrieval_horizon_top10,sf_native,early_half,semantic_alignment,0.003946933296642129,0.0011330364005906063,0.65625,0.0004723262241376292,0.007796998430941511,0.055092082591727376,,descriptive_context
retrieval_horizon_top10,sf_native,early_half,visual_quality,0.004805165813969732,0.00844934591225227,0.625,-0.001801646558734172,0.010969022163123432,0.10766357486136258,,descriptive_context
retrieval_horizon_top10,sf_native,early_half,dynamic_degree,0.0,0.0,0.0,0.0,0.0,1.0,,descriptive_context
retrieval_horizon_top10,retrieval_all_recent,early_half,quality_without_dynamic_degree,-0.04999429733495386,-0.06882840096651677,0.46875,-0.250958956775861,0.15968590074455105,0.7016925520729274,,descriptive_context
retrieval_horizon_top10,retrieval_all_recent,early_half,official_quality_score,-0.04999429733495386,-0.06882840096651677,0.46875,-0.2539893406600719,0.16311440934620053,0.7016925520729274,,descriptive_context
retrieval_horizon_top10,retrieval_all_recent,early_half,identity_background,-0.00022398580673826246,-3.22314366190124e-05,0.46875,-0.001105946179948004,0.0005780655892324932,0.7016925520729274,,descriptive_context
retrieval_horizon_top10,retrieval_all_recent,early_half,temporal_mechanics,-0.0009537906573715144,-0.0014403980053359078,0.25,-0.0022262802598750327,0.0004588360202058177,0.9989487992133945,,descriptive_context
retrieval_horizon_top10,retrieval_all_recent,early_half,semantic_alignment,0.0012470851984939342,0.0010045851979936515,0.5625,-0.0015345982733249218,0.004206142824010118,0.29830744792707264,,descriptive_context
retrieval_horizon_top10,retrieval_all_recent,early_half,visual_quality,0.0015311764766062948,0.001535173782280519,0.59375,-0.00237336766486987,0.005240299008187982,0.18854279373772442,,descriptive_context
retrieval_horizon_top10,retrieval_all_recent,early_half,dynamic_degree,0.0,0.0,0.0,0.0,0.0,1.0,,descriptive_context
retrieval_horizon_top10,retrieval_static_top10,early_half,quality_without_dynamic_degree,-0.14085392316812406,-0.1202213017480247,0.40625,-0.3585467836994867,0.07159851125950643,0.8923364251386374,,descriptive_context
retrieval_horizon_top10,retrieval_static_top10,early_half,official_quality_score,-0.14085392316812406,-0.1202213017480247,0.40625,-0.3669613284336328,0.0641899315482729,0.8923364251386374,,descriptive_context
retrieval_horizon_top10,retrieval_static_top10,early_half,identity_background,3.401069470738982e-05,0.00012812579663679102,0.5,-0.0008335523212825272,0.0009445114844254776,0.5699749670457095,,descriptive_context
retrieval_horizon_top10,retrieval_static_top10,early_half,temporal_mechanics,-0.0011964058060564622,-0.0004550291692655972,0.375,-0.002613848732772464,0.00010243183364071737,0.9449079174082726,,descriptive_context
