probe_name,context,unit_count,selected_head_count,mean_x0_relative_rms,mean_raw_projected_relative_rms,mean_projected_relative_rms,mean_calibration_scale,max_calibration_relative_error,calibration_clipped_count,calibration_degenerate_count
policy_top_policy_contrast_cal,noisy_t1000,64,90,0.10727107478305697,0.04529038979356604,0.05000456292958309,2.179927493608557,0.007935687899589539,0,0
policy_top_policy_contrast_cal,noisy_t500,64,90,0.04939746321178973,0.045120435526041544,0.05000405897347567,2.294126744176416,0.00659257173538208,0,0
policy_top_value_shift_cal,noisy_t1000,64,90,0.15547615953255445,0.056710620438025224,0.05000656755485882,2.0038156979096433,0.008084699511528015,0,0
policy_top_value_shift_cal,noisy_t500,64,90,0.07265388779342175,0.05956435511325253,0.050005948580413434,2.045517927485829,0.007482990622520447,0,0
v_bottom_key_shift_cal,noisy_t1000,64,90,0.1381802909891121,0.051327704917700126,0.05000588485466627,3.058394859925223,0.007302835583686829,0,0
v_bottom_key_shift_cal,noisy_t500,64,90,0.0705485506914556,0.053077383370994845,0.05000451467737245,3.078794323016579,0.006499737501144409,0,0
v_bottom_policy_contrast_cal,noisy_t1000,64,90,0.08933036087546498,0.04320330751197616,0.050006524064034844,2.493502914370038,0.006814226508140564,0,0
v_bottom_policy_contrast_cal,noisy_t500,64,90,0.04430611486895941,0.040218579848563724,0.05000354224466719,2.842972386663314,0.006864815950393677,0,0
v_bottom_value_shift_cal,noisy_t1000,64,90,0.1309335139230825,0.05162051474314164,0.05000608161984322,2.9531244504420706,0.006045177578926086,0,0
v_bottom_value_shift_cal,noisy_t500,64,90,0.07305770751554519,0.05294180831418392,0.05000501837348566,3.0551537089282648,0.005150660872459412,0,0
v_pfmatched_bottom_value_shift_cal,noisy_t1000,64,30,0.14484790479764342,0.030823982014590003,0.05000175638900449,7.581267520971596,0.0056787580251693726,0,0
v_pfmatched_bottom_value_shift_cal,noisy_t500,64,30,0.07712237455416471,0.03190823071519541,0.050001379019037506,7.473973713194331,0.007648393511772156,0,0
v_pfmatched_top_value_shift_cal,noisy_t1000,64,30,0.11178138028481044,0.02912230533008066,0.04994945038148823,8.063787826150655,1.0,0,2
v_pfmatched_top_value_shift_cal,noisy_t500,64,30,0.051469297730363905,0.03065924634232455,0.04994836277573238,8.552838885675495,1.0,0,2
v_random0_value_shift_cal,noisy_t1000,64,90,0.13210691660060547,0.061672031609850825,0.050006421668998276,2.468418922655595,0.006705000996589661,0,0
v_random0_value_shift_cal,noisy_t500,64,90,0.057884443522198126,0.06363025284451093,0.050004452476666,2.5568769589376945,0.006731301546096802,0,0
v_random1_value_shift_cal,noisy_t1000,64,90,0.10636937659000978,0.058282026564908544,0.05000596817311209,2.2229015634317575,0.007477328181266785,0,0
v_random1_value_shift_cal,noisy_t500,64,90,0.05059309463831596,0.059650888806572766,0.05000378095234434,2.489619320281781,0.007750615477561951,0,0
v_top_key_shift_cal,noisy_t1000,64,90,0.11432517581852153,0.06366458284016213,0.050005259133952984,2.5871564304145673,0.00723227858543396,0,0
v_top_key_shift_cal,noisy_t500,64,90,0.052540888253133744,0.06678556676257964,0.05000542509951628,2.6847785395880543,0.007280111312866211,0,0
v_top_policy_contrast_cal,noisy_t1000,64,90,0.08962062996579334,0.04881275436588719,0.050005525426240635,2.25600183212664,0.006694197654724121,0,0
v_top_policy_contrast_cal,noisy_t500,64,90,0.0416427418240346,0.047727279144661836,0.050004520940516765,2.3983840981886413,0.007346346974372864,0,0
v_top_value_shift_cal,noisy_t1000,64,90,0.1216070678201504,0.0647344421960952,0.05000606099104819,2.3322198146410904,0.007228031754493713,0,0
v_top_value_shift_cal,noisy_t500,64,90,0.053680680954130366,0.06737328233869751,0.050005266433193654,2.4212875903428843,0.007813498377799988,0,0
