cohort,base_seed,candidate,control,window,motion_group,prompt_count,imaging_mean,contribution_to_full_imaging_mean,dynamic_mean,quality_mean,subject_mean,imaging_ci_low,imaging_ci_high
v219,21600,pooled_correct,sf_fifo21,full,dd_tied,41,0.0032991636240385235,0.002113526696649679,0.0,0.14148316453096857,-0.00021438551432682894,0.0005436848010352745,0.006604854885894583
v219,21600,pooled_correct,sf_fifo21,full,dd_up,5,-0.003389211857318897,-0.0002647821763530388,0.26666666666666666,1.6646898962312178,-0.0014937027387220913,-0.03500681193272274,0.022755368487040163
v219,21600,pooled_correct,sf_fifo21,early_half,dd_down,6,0.006997735897700012,0.0006560377404093761,-0.16666666666666666,-1.046353633244145,0.0012590804871222365,8.8546673456813e-05,0.017541369483584496
v219,21600,pooled_correct,sf_fifo21,early_half,dd_tied,53,-0.0007746637325402448,-0.0006415184035098902,0.0,-0.0043959947159970415,1.9866400948969453e-05,-0.0023797512784037704,0.0006686240207715318
v219,21600,pooled_correct,sf_fifo21,early_half,dd_up,5,-0.00018497895342962646,-1.4451480736689566e-05,0.2,1.4155271758537225,-0.0003507135134703132,-0.004079077022416211,0.004674148150852697
v219,21600,pooled_correct,sf_fifo21,late_half,dd_down,15,0.00012841286758582168,3.0096765840426955e-05,-0.23333333333333334,-1.6307365902781963,0.0013330465189849371,-0.0181111298404634,0.01701678804953894
v219,21600,pooled_correct,sf_fifo21,late_half,dd_tied,45,0.007144886713888912,0.005023748470703141,0.0,0.2744947231927498,-0.00022888483518179243,0.002144113631256748,0.013080286433464934
v219,21600,pooled_correct,sf_fifo21,late_half,dd_up,4,-0.006966335698962246,-0.0004353959811851404,0.46875,2.85657809439542,-0.0035804210679036552,-0.08694428753107791,0.058352074138820126
v219,21600,pooled_correct,ours_random,full,dd_down,15,-0.00024852352009881634,-5.8247700023160084e-05,-0.1511111111111111,-1.1722695631576423,-0.0005471323530021,-0.009113469618558892,0.007661484372384018
v219,21600,pooled_correct,ours_random,full,dd_tied,41,0.00013980566583028078,8.956300467252362e-05,0.0,0.08615041762672743,0.00012662768030249837,-0.0036707668371316966,0.0029630013882629203
v219,21600,pooled_correct,ours_random,full,dd_up,8,-0.007299851221342843,-0.0009124814026678554,0.14166666666666666,0.7925994635625244,-0.0020164657842279693,-0.018137731852630776,0.0028412196716914966
v219,21600,pooled_correct,ours_random,early_half,dd_down,5,-0.0029055074793951975,-0.0002269927718277498,-0.14285714285714285,-1.1200563722276058,0.0008884530374791532,-0.007716216717447577,0.001251131159918617
v219,21600,pooled_correct,ours_random,early_half,dd_tied,56,0.0005085843923140586,0.0004450113432748013,0.0,0.007613282698266285,-0.00016848880566531062,-0.00038049007382015803,0.0014278447802501795
v219,21600,pooled_correct,ours_random,early_half,dd_up,3,-0.003916703363259648,-0.00018359547015279597,0.14285714285714285,0.8937316530081887,-0.002179083537144059,-0.006711016212190946,-0.0013224021451813672
v219,21600,pooled_correct,ours_random,late_half,dd_down,14,0.001090087371745287,0.0002384566125692815,-0.2857142857142857,-2.182259264943192,-0.0005058759667421039,-0.016300365940468114,0.01718218004650303
v219,21600,pooled_correct,ours_random,late_half,dd_tied,42,-0.0006628338158840233,-0.0004349846916738903,0.0,0.138991189794998,0.00015056034025030742,-0.007949557038689303,0.004595330166674792
v219,21600,pooled_correct,ours_random,late_half,dd_up,8,-0.011886228546500205,-0.0014857785683125256,0.265625,1.5546092212041263,-0.003131598537604627,-0.029095080159604547,0.004909598007798194
v220,21600,ours_correct,sf_fifo21,full,dd_down,14,0.008515222918419607,0.001862705013404289,-0.16904761904761903,-0.295505263783549,0.006147124685217212,-0.00471566121432751,0.0223143749901936
v220,21600,ours_correct,sf_fifo21,full,dd_tied,27,-0.003463125120342525,-0.0014610059101445028,0.0,0.18730857301659293,0.0009579480299724325,-0.011837457827303905,0.004250155638498674
v220,21600,ours_correct,sf_fifo21,full,dd_up,23,0.005255406165900435,0.0018886615908704687,0.0927536231884058,0.22825610043009664,-0.002876106775163131,-0.0077042888504439385,0.019022422710579356
v220,21600,ours_correct,sf_fifo21,early_half,dd_down,15,0.009842109198040435,0.002306744343290727,-0.1288888888888889,-0.6823005387933193,0.0010309612238168806,0.0016353155304326156,0.019342727573447762
v220,21600,ours_correct,sf_fifo21,early_half,dd_tied,35,-0.0017001806440807637,-0.0009297862897316676,0.0,-0.038618803569322124,-0.00013425374637721088,-0.007190275515942349,0.004082827367371005
v220,21600,ours_correct,sf_fifo21,early_half,dd_up,14,0.004830119361480082,0.0010565886103237679,0.13333333333333333,0.816928069187738,0.0003991204903352078,-0.004580967081267192,0.017039011073928505
v220,21600,ours_correct,sf_fifo21,late_half,dd_down,12,0.020201613939470713,0.0037878026136507585,-0.3166666666666667,-0.14360237163438092,0.013287374197953264,-0.0068237280160189165,0.04973278188125951
v220,21600,ours_correct,sf_fifo21,late_half,dd_tied,34,-0.004936477250328266,-0.0026225035392368912,0.0,0.15998894525358764,0.001114068444102272,-0.01926440989499292,0.007940227106155119
v220,21600,ours_correct,sf_fifo21,late_half,dd_up,18,0.0034911134220935646,0.0009818756499638155,0.1888888888888889,0.4873929853294238,-0.006785126023698573,-0.02376545821433819,0.03102065658249236
