comparison,channel,axis,policy,control,matched_intervention,dose,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
susceptibility:policy:policy_contrast:top>bottom:dose4,susceptibility,policy,policy_contrast,bottom,1,4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.2371057137412456,0.2099318157526448,1.0,0.19345484436547983,0.27918776327188793,0.4088235294117647
susceptibility:policy:policy_contrast:top>bottom:dose4,susceptibility,policy,policy_contrast,bottom,1,4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.3005035885108044,0.2989785189142684,1.0,0.2595792707218119,0.33920206062965597,0.5235294117647059
susceptibility:policy:policy_contrast:top>bottom:dose4,susceptibility,policy,policy_contrast,bottom,1,4,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.26880465112602503,0.26714399053699145,1.0,0.22720732390353499,0.30960168961588935,0.411764705882353
leverage:k:key_shift:top>bottom:dose1,leverage,k,key_shift,bottom,1,1,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,-0.07309261454908683,-0.08237899122900899,0.375,-0.25229673283917653,0.1258503287998503,0.65
leverage:k:key_shift:top>bottom:dose1,leverage,k,key_shift,bottom,1,1,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,0.03547549096573255,0.053785125671566784,0.625,-0.06516567183651169,0.15062144970926244,0.18529411764705883
leverage:k:key_shift:top>bottom:dose1,leverage,k,key_shift,bottom,1,1,x0_relative_rms,paired_log_ratio,pooled,64,16,-0.018808561791677142,0.0027182567777535734,0.5,-0.1382532893495986,0.12945258198001205,0.36470588235294116
leverage:k:key_shift:top>bottom:dose2,leverage,k,key_shift,bottom,1,2,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,-0.05485967602957399,-0.2047316859717209,0.40625,-0.2528478395940227,0.17756770505925668,0.36764705882352944
leverage:k:key_shift:top>bottom:dose2,leverage,k,key_shift,bottom,1,2,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,0.1211645182210376,0.08948870518371964,0.59375,-0.027397802467065694,0.3323956103470832,0.19117647058823528
leverage:k:key_shift:top>bottom:dose2,leverage,k,key_shift,bottom,1,2,x0_relative_rms,paired_log_ratio,pooled,64,16,0.033152421095731806,-0.011451857099943999,0.5,-0.12195578732218193,0.25095156596182716,0.38235294117647056
leverage:k:key_shift:top>bottom:dose3,leverage,k,key_shift,bottom,1,3,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.010115920532200205,-0.062459297791715836,0.5,-0.16246800090300662,0.2100585505986622,0.1647058823529412
leverage:k:key_shift:top>bottom:dose3,leverage,k,key_shift,bottom,1,3,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,0.12504452569094193,0.1294228904454462,0.65625,-0.012152706483082488,0.30813442779918493,0.3382352941176471
leverage:k:key_shift:top>bottom:dose3,leverage,k,key_shift,bottom,1,3,x0_relative_rms,paired_log_ratio,pooled,64,16,0.06758022311157107,0.05589566673508721,0.578125,-0.07356054344811949,0.24726864631801812,0.31764705882352945
leverage:k:key_shift:top>bottom:dose4,leverage,k,key_shift,bottom,1,4,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.012036915164705952,-0.09804521187835168,0.4375,-0.16171326534789546,0.21295300970107897,0.15
leverage:k:key_shift:top>bottom:dose4,leverage,k,key_shift,bottom,1,4,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,0.07647498508323036,0.06278112505800434,0.59375,-0.054469363708302763,0.2606467164699575,0.38235294117647056
leverage:k:key_shift:top>bottom:dose4,leverage,k,key_shift,bottom,1,4,x0_relative_rms,paired_log_ratio,pooled,64,16,0.044255950123968164,0.009151377476551105,0.515625,-0.09472997198939555,0.21996363790990492,0.2735294117647059
leverage:v:value_shift:top>bottom:dose1,leverage,v,value_shift,bottom,1,1,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,-0.32950405733909255,-0.28424256204750387,0.1875,-0.5645519384021341,-0.13358247608090995,0.3411764705882353
leverage:v:value_shift:top>bottom:dose1,leverage,v,value_shift,bottom,1,1,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,-0.4469575514427373,-0.30418319303400165,0.03125,-0.7089039170147248,-0.24908910838495557,0.34411764705882353
leverage:v:value_shift:top>bottom:dose1,leverage,v,value_shift,bottom,1,1,x0_relative_rms,paired_log_ratio,pooled,64,16,-0.38823080439091495,-0.2908871917497189,0.109375,-0.6292485777057071,-0.20155851012612086,0.3
leverage:v:value_shift:top>bottom:dose2,leverage,v,value_shift,bottom,1,2,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,-0.08425253204585578,0.022648235538578854,0.53125,-0.33495333678848616,0.1043707923768563,0.22058823529411767
leverage:v:value_shift:top>bottom:dose2,leverage,v,value_shift,bottom,1,2,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,-0.26355665229436603,-0.09641353294976668,0.28125,-0.5134079201492865,-0.06670567320707207,0.3558823529411765
leverage:v:value_shift:top>bottom:dose2,leverage,v,value_shift,bottom,1,2,x0_relative_rms,paired_log_ratio,pooled,64,16,-0.1739045921701109,-0.019905610800684724,0.40625,-0.4123519134737594,0.008991025736728374,0.25
