layer,head,cphi_semantic,cphi_semantic_samples,cphi_null,cphi_null_samples,cphi_score,cphi_score_samples,age_js_semantic,age_js_semantic_samples,age_js_null,age_js_null_samples,age_js_score,age_js_score_samples,age_w1_semantic,age_w1_semantic_samples,age_w1_null,age_w1_null_samples,age_w1_score,age_w1_score_samples,semantic_expected_age_delta,semantic_expected_age_delta_samples,null_expected_age_delta,null_expected_age_delta_samples,native_score,native_score_samples,query_score,query_score_samples,current_key_score,current_key_score_samples,cphi_to_query_ratio,cphi_to_query_ratio_samples,temporal_reach_ratio,temporal_reach_ratio_samples,expected_age,expected_age_samples,normalized_expected_age,normalized_expected_age_samples,recent_mass,recent_mass_samples,old_mass,old_mass_samples,old12_mass,old12_mass_samples,old_mass_excess,old_mass_excess_samples,temporal_entropy,temporal_entropy_samples,peak_age,peak_age_samples,positive_logit_fraction,positive_logit_fraction_samples,sign_switch_rate,sign_switch_rate_samples,dominant_period,dominant_period_samples,spectral_peak_ratio,spectral_peak_ratio_samples,middle_recent_margin,middle_recent_margin_samples,age_logit_correlation,age_logit_correlation_samples,cphi_score_bootstrap_low,cphi_score_bootstrap_high,cphi_score_bootstrap_p_positive,cphi_score_bootstrap_confidence,cphi_score_cluster_count,age_js_score_bootstrap_low,age_js_score_bootstrap_high,age_js_score_bootstrap_p_positive,age_js_score_bootstrap_confidence,age_js_score_cluster_count,age_w1_score_bootstrap_low,age_w1_score_bootstrap_high,age_w1_score_bootstrap_p_positive,age_w1_score_bootstrap_confidence,age_w1_score_cluster_count,middle_recent_margin_bootstrap_low,middle_recent_margin_bootstrap_high,middle_recent_margin_bootstrap_p_positive,middle_recent_margin_bootstrap_confidence,middle_recent_margin_cluster_count,old_mass_excess_bootstrap_low,old_mass_excess_bootstrap_high,old_mass_excess_bootstrap_p_positive,old_mass_excess_bootstrap_confidence,old_mass_excess_cluster_count,prompt_label,age_routing_label,history_polarity_label,long_range_label,exploratory_joint_role,prompt_age_label_agreement,history_axis_label_agreement
0,10,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.30431652069091797,128,15.135097026824951,128,0.8408387005329132,128,0.004379919497296214,128,0.9956200420856476,128,0.8378484845161438,128,0.2178422510623932,128,0.7546328902244568,128,18.0,128,1.0,128,0.0,128,18.0,128,0.566340833902359,128,1.9099787473678589,128,0.9822430610656738,128,0.0,0.0,0.0,1.0,16,0.0,0.0,0.0,1.0,16,0.0,0.0,0.0,1.0,16,1.9038888216018677,1.9166685342788696,1.0,1.0,128,0.21757137775421143,0.2180081605911255,1.0,1.0,128,prompt_invariant,age_invariant,history_supportive,long_range,invariant_long,1,1
0,11,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.43718013167381287,128,12.169486999511719,128,0.6760826110839844,128,0.20526474714279175,128,0.7947352230548859,128,0.5171621143817902,128,0.01695743203163147,128,0.698533684015274,128,18.0,128,1.0,128,0.0,128,6.0,128,0.45955298840999603,128,-0.10143066942691803,128,0.3244326263666153,128,0.0,0.0,0.0,1.0,16,0.0,0.0,0.0,1.0,16,0.0,0.0,0.0,1.0,16,-0.12025001645088196,-0.07805576175451279,0.0,1.0,128,0.002710130810737611,0.023753225803375244,0.994,0.994,128,prompt_invariant,age_invariant,recent_preferred,local_or_mixed,invariant_local,1,0
1,0,0.00496017187833786,128,0.005674565676599741,128,-0.32764406646404254,128,1.0103030945174396e-05,128,2.561436122050509e-05,128,-0.08619209117505569,128,0.0015487808268517256,128,0.002313593518920243,128,-0.39232182820025374,128,0.009479999542236328,128,0.02571892738342285,128,-0.39994467557407987,128,-0.3757079252303028,128,-0.3990441563822093,128,0.7968108039232498,128,0.21562978625297546,128,6.338594198226929,128,0.35214412212371826,128,0.5281939804553986,128,0.47180603444576263,128,0.1928398385643959,128,-0.30597175657749176,128,0.8564760088920593,128,1.0,128,1.0,128,0.0,128,18.0,128,0.4962262064218521,128,-1.7889432311058044,128,-0.5365457832813263,128,-0.6821081903254322,-0.07604474103322738,0.0,1.0,16,-0.2450047272759503,-0.044485783802725234,0.001,0.999,16,-0.6320687243119949,-0.32522376125625363,0.001,0.999,16,-1.8781219720840454,-1.6264363527297974,0.0,1.0,128,-0.3370983898639679,-0.2785254120826721,0.0,1.0,128,prompt_invariant,age_invariant,recent_preferred,local_or_mixed,invariant_local,1,1
1,1,0.003069488680921495,128,0.0042647928930819035,128,-0.3477430339363866,128,5.458192390506156e-06,128,1.4321652997750789e-05,128,-0.06982041550324466,128,0.0009564165666233748,128,0.0014840811491012573,128,-0.44360920182173896,128,0.0037755966186523438,128,-0.011285781860351562,128,-0.4806209290833661,128,-0.4068788340444209,128,-0.29061301023374947,128,0.40336609664656425,128,0.2689400464296341,128,12.603622913360596,128,0.7002012729644775,128,0.009631086606532335,128,0.9903689324855804,128,0.46045152842998505,128,0.21259114146232605,128,0.5756179094314575,128,18.0,128,0.6666666865348816,128,0.3529411852359772,128,6.0,128,0.9408952295780182,128,0.5940752327442169,128,0.1727004423737526,128,-0.5166329695296557,-0.2554453373244824,0.0,1.0,16,-0.13957425039360627,-0.02847753259165843,0.0,1.0,16,-0.6198375607166262,-0.24247391299806323,0.0,1.0,16,0.5789855122566223,0.6113179922103882,1.0,1.0,128,0.21166878938674927,0.2137945294380188,1.0,1.0,128,prompt_invariant,age_invariant,history_supportive,long_range,invariant_long,1,1
1,2,0.0040896746795624495,128,0.011488277465105057,128,-1.0845634644608595,128,8.987470209831372e-06,128,4.647950117941946e-05,128,-0.22012209424604035,128,0.001423410838469863,128,0.004970140755176544,128,-1.0535718620790355,128,0.0045452117919921875,128,0.08449268341064453,128,-0.3857989354608724,128,-0.38553453733462417,128,-0.24045236940366665,128,0.87039611428654,128,0.286384180188179,128,6.3151936531066895,128,0.3508441001176834,128,0.5855965912342072,128,0.41440339386463165,128,0.24328268319368362,128,-0.36337439715862274,128,0.7717438638210297,128,1.0,128,1.0,128,0.0,128,18.0,128,0.603166401386261,128,-1.4139439463615417,128,-0.18143083155155182,128,-1.4223329850243762,-0.5075496147431863,0.0,1.0,16,-0.3151806433535263,-0.12403080128969829,0.0,1.0,16,-1.589452352101226,-0.7104997086116907,0.0,1.0,16,-1.501183271408081,-1.3626065254211426,0.0,1.0,128,-0.3792480528354645,-0.3399142026901245,0.0,1.0,128,prompt_invariant,age_invariant,recent_preferred,local_or_mixed,invariant_local,1,1
1,3,0.004392493283376098,128,0.004017853643745184,128,-0.1838811106982078,128,1.66327299666591e-05,128,4.099187572137453e-05,128,-0.14939613446079697,128,0.0019912777934223413,128,0.003395874286070466,128,-0.3888718820873739,128,0.015771865844726562,128,0.05693244934082031,128,-0.38320847381134593,128,-0.5482985659105518,128,-0.295492737113461,128,0.7388095890516615,128,0.2979089617729187,128,8.901165008544922,128,0.49450916051864624,128,0.38799501955509186,128,0.6120049357414246,128,0.4026516526937485,128,-0.16577285528182983,128,0.8402678668498993,128,1.0,128,1.0,128,0.0,128,18.0,128,0.7682999670505524,128,-1.0708208680152893,128,-0.10209336876869202,128,-0.3891816654327472,0.2211276547038592,0.419,0.581,16,-0.20531584694026922,-0.07960577937918012,0.0,1.0,16,-0.6430540125590711,-0.14295555387206826,0.0,1.0,16,-1.2593460083007812,-0.9546478390693665,0.0,1.0,128,-0.19928812980651855,-0.15050888061523438,0.0,1.0,128,prompt_invariant,age_invariant,recent_preferred,local_or_mixed,invariant_local,1,1
1,4,0.0031551645370200276,128,0.0075925858691334724,128,-0.6621356208146458,128,5.851929017808288e-06,128,1.5148412785492837e-05,128,-0.06277669489423941,128,0.00104763446142897,128,0.0022230148315429688,128,-0.5758763921785066,128,-0.0014939308166503906,128,0.03779101371765137,128,-0.45385914752503265,128,-0.39437971362029345,128,-0.3155737139864998,128,0.5760528395711102,128,0.2759864628314972,128,4.257620334625244,128,0.2365344613790512,128,0.728165477514267,128,0.2718345373868942,128,0.11144327372312546,128,-0.5059432685375214,128,0.576794296503067,128,1.0,128,1.0,128,0.0,128,9.0,128,0.40389929711818695,128,-1.3500664234161377,128,-0.5207608938217163,128,-1.1613219253841325,-0.3113556365626189,0.0,1.0,16,-0.15171217245187718,-0.023101618485860037,0.0,1.0,16,-1.0504691853911527,-0.29819587475452936,0.0,1.0,16,-1.3733803033828735,-1.3130333423614502,0.0,1.0,128,-0.5204081535339355,-0.49584826827049255,0.0,1.0,128,prompt_invariant,age_invariant,recent_preferred,local_or_mixed,invariant_local,1,1
1,5,0.0016169118462130427,128,0.002316709258593619,128,-0.29766358262517795,128,3.336826921440661e-07,128,7.514931894547772e-07,128,-0.0032930217571399923,128,0.0003113913262495771,128,0.00048368882562499493,128,-0.3985173281163288,128,-0.00015687942504882812,128,0.0037183761596679688,128,-0.4149451542957169,128,-0.3579272102826825,128,-0.3206422805866506,128,0.3068884003004221,128,0.1282438114285469,128,9.653355598449707,128,0.5362975299358368,128,0.22607912123203278,128,0.7739209532737732,128,0.3420912027359009,128,-0.003856837749481201,128,0.9875909686088562,128,18.0,128,1.0,128,0.0,128,9.0,128,0.6550328731536865,128,-0.17306582629680634,128,0.05113202892243862,128,-0.5208620458681233,-0.047778984534684016,0.005,0.995,16,-0.01086360203007906,-0.001906557683630264,0.0,1.0,16,-0.7762554725920676,-0.1569455935218531,0.0,1.0,16,-0.2503170967102051,-0.10008800551295309,0.0,1.0,128,-0.008453130722045898,-0.0008986592292785645,0.006,0.994,128,prompt_invariant,age_invariant,recent_preferred,local_or_mixed,invariant_local,1,1
1,6,0.001591363805346191,128,0.004051585798151791,128,-0.7851794621657052,128,1.2629984667000826e-06,128,6.788941391278058e-06,128,-0.045323997931883006,128,0.00047280045691877604,128,0.0014975739759393036,128,-1.0086838267065454,128,-0.0024166107177734375,128,-0.025282859802246094,128,-0.4666788995999307,128,-0.4099707843936728,128,-0.47365356370525447,128,0.29293277770795234,128,0.19485629349946976,128,13.854827880859375,128,0.7697126567363739,128,0.06598013639450073,128,0.9340198934078217,128,0.7088859379291534,128,0.15624210238456726,128,0.8060899674892426,128,16.0,128,0.6666666865348816,128,0.1764705926179886,128,6.0,128,0.49563831090927124,128,0.8742284178733826,128,0.7825092375278473,128,-1.0480995110482803,-0.581843673467318,0.0,1.0,16,-0.08866067346599688,-0.025609045084021443,0.0,1.0,16,-1.307912642806897,-0.8453149594978828,0.0,1.0,16,0.8442316457629204,0.8947929739952087,1.0,1.0,128,0.15407240390777588,0.15800976753234863,1.0,1.0,128,prompt_invariant,age_invariant,history_supportive,long_range,invariant_long,1,1
1,7,0.003812614013440907,128,0.011530863586813211,128,-0.9429648171186795,128,4.126444764551707e-06,128,2.1284344256855547e-05,128,-0.10039040375552973,128,0.000798336899606511,128,0.001635368273127824,128,-0.5870113889256798,128,0.001491546630859375,128,0.01671743392944336,128,-0.3790221167088407,128,-0.6638257443996254,128,-0.4822775825032979,128,0.6537872680195282,128,0.16408658772706985,128,6.533171892166138,128,0.3629539906978607,128,0.3594230115413666,128,0.6405770182609558,128,0.10548833757638931,128,-0.13720077276229858,128,0.8936188817024231,128,5.0,128,1.0,128,0.0,128,18.0,128,0.8814454078674316,128,-1.1318326592445374,128,-0.8019725382328033,128,-1.1747458809083018,-0.4915918124360993,0.0,1.0,16,-0.1658646433087404,-0.03399424934117791,0.0,1.0,16,-0.9651020377805899,-0.4358805008170641,0.0,1.0,16,-1.1963272094726562,-1.0885742902755737,0.0,1.0,128,-0.15472513437271118,-0.12329548597335815,0.0,1.0,128,prompt_invariant,age_invariant,recent_preferred,local_or_mixed,invariant_local,1,1
