context_fields,left_context,right_context,axis,spearman,zero_label_agreement
factor,object,style,age_js_score,0.7009285649798718,0.875
factor,scene,style,cphi_score,0.6512830946438718,0.7916666666666666
factor,scene,style,age_js_score,0.3910032519451097,0.6361111111111111
mode:nominal_timestep,clean:0,noisy:1000,cphi_score,0.10337625619658487,0.9777777777777777
mode:nominal_timestep,clean:0,noisy:1000,age_js_score,0.38564833260327686,0.9972222222222222
mode:nominal_timestep,clean:0,noisy:250,cphi_score,0.8076992623385763,0.9694444444444444
mode:nominal_timestep,clean:0,noisy:250,age_js_score,0.8297925807912749,0.9972222222222222
mode:nominal_timestep,clean:0,noisy:500,cphi_score,0.7545322875734954,0.9805555555555555
mode:nominal_timestep,clean:0,noisy:500,age_js_score,0.7293994820242773,0.9972222222222222
mode:nominal_timestep,clean:0,noisy:750,cphi_score,0.5561777826019522,0.9888888888888889
mode:nominal_timestep,clean:0,noisy:750,age_js_score,0.5139948356755586,0.9972222222222222
mode:nominal_timestep,noisy:1000,noisy:250,cphi_score,0.1295914144327924,0.9583333333333334
mode:nominal_timestep,noisy:1000,noisy:250,age_js_score,0.49132458825971426,1.0
mode:nominal_timestep,noisy:1000,noisy:500,cphi_score,0.26707541256336764,0.9694444444444444
mode:nominal_timestep,noisy:1000,noisy:500,age_js_score,0.6122247723471235,1.0
mode:nominal_timestep,noisy:1000,noisy:750,cphi_score,0.5254284719973394,0.9777777777777777
mode:nominal_timestep,noisy:1000,noisy:750,age_js_score,0.8451469162593912,1.0
mode:nominal_timestep,noisy:250,noisy:500,cphi_score,0.8916839663904799,0.9666666666666667
mode:nominal_timestep,noisy:250,noisy:500,age_js_score,0.8391440771412926,1.0
mode:nominal_timestep,noisy:250,noisy:750,cphi_score,0.6146207122899244,0.9694444444444444
mode:nominal_timestep,noisy:250,noisy:750,age_js_score,0.6271559922805207,1.0
mode:nominal_timestep,noisy:500,noisy:750,cphi_score,0.743686125951592,0.9861111111111112
mode:nominal_timestep,noisy:500,noisy:750,age_js_score,0.7802345629062198,1.0
mode:current_frame,clean:117,clean:21,cphi_score,0.7735449648351123,0.9527777777777777
mode:current_frame,clean:117,clean:21,age_js_score,0.7611562963063943,0.9916666666666667
mode:current_frame,clean:117,clean:63,cphi_score,0.8604814463194993,0.9666666666666667
mode:current_frame,clean:117,clean:63,age_js_score,0.8360009331690942,0.9888888888888889
mode:current_frame,clean:117,noisy:117,cphi_score,0.6362356143933359,0.975
mode:current_frame,clean:117,noisy:117,age_js_score,0.6521594196449585,0.9944444444444445
mode:current_frame,clean:117,noisy:21,cphi_score,0.6767222409844883,0.9777777777777777
mode:current_frame,clean:117,noisy:21,age_js_score,0.6370077680925618,0.9944444444444445
mode:current_frame,clean:117,noisy:42,cphi_score,0.6969996350146238,0.9722222222222222
mode:current_frame,clean:117,noisy:42,age_js_score,0.66071587033065,0.9944444444444445
mode:current_frame,clean:117,noisy:63,cphi_score,0.6333913520328965,0.9722222222222222
mode:current_frame,clean:117,noisy:63,age_js_score,0.6354621746286551,0.9944444444444445
mode:current_frame,clean:117,noisy:84,cphi_score,0.6336035528329835,0.9666666666666667
mode:current_frame,clean:117,noisy:84,age_js_score,0.6337126111835738,0.9944444444444445
mode:current_frame,clean:21,clean:63,cphi_score,0.8026782055888804,0.9527777777777777
mode:current_frame,clean:21,clean:63,age_js_score,0.8034364697811914,0.9916666666666667
mode:current_frame,clean:21,noisy:117,cphi_score,0.5840131260984607,0.9555555555555556
mode:current_frame,clean:21,noisy:117,age_js_score,0.5788117629719635,0.9972222222222222
mode:current_frame,clean:21,noisy:21,cphi_score,0.7182181717447819,0.9638888888888889
mode:current_frame,clean:21,noisy:21,age_js_score,0.7135196602112183,0.9972222222222222
mode:current_frame,clean:21,noisy:42,cphi_score,0.6853977813313196,0.9583333333333334
mode:current_frame,clean:21,noisy:42,age_js_score,0.6427791154287472,0.9972222222222222
mode:current_frame,clean:21,noisy:63,cphi_score,0.620252392917689,0.9472222222222222
mode:current_frame,clean:21,noisy:63,age_js_score,0.6067193833470471,0.9972222222222222
mode:current_frame,clean:21,noisy:84,cphi_score,0.570043625912367,0.9416666666666667
mode:current_frame,clean:21,noisy:84,age_js_score,0.5776537896362158,0.9972222222222222
mode:current_frame,clean:63,noisy:117,cphi_score,0.5976186697607687,0.9805555555555555
mode:current_frame,clean:63,noisy:117,age_js_score,0.58634527719469,0.9944444444444445
mode:current_frame,clean:63,noisy:21,cphi_score,0.681335357771835,0.9777777777777777
mode:current_frame,clean:63,noisy:21,age_js_score,0.6909903655692499,0.9944444444444445
mode:current_frame,clean:63,noisy:42,cphi_score,0.6823261425984233,0.9777777777777777
mode:current_frame,clean:63,noisy:42,age_js_score,0.6337100390526637,0.9944444444444445
mode:current_frame,clean:63,noisy:63,cphi_score,0.6338782564141872,0.9666666666666667
mode:current_frame,clean:63,noisy:63,age_js_score,0.6169055361774071,0.9944444444444445
mode:current_frame,clean:63,noisy:84,cphi_score,0.5923460586080604,0.9666666666666667
mode:current_frame,clean:63,noisy:84,age_js_score,0.549424138471182,0.9944444444444445
mode:current_frame,noisy:117,noisy:21,cphi_score,0.6487341129119171,0.9861111111111112
mode:current_frame,noisy:117,noisy:21,age_js_score,0.6972547904009103,1.0
mode:current_frame,noisy:117,noisy:42,cphi_score,0.7543733298832485,0.9861111111111112
mode:current_frame,noisy:117,noisy:42,age_js_score,0.7934265079181764,1.0
mode:current_frame,noisy:117,noisy:63,cphi_score,0.7942454743999668,0.975
mode:current_frame,noisy:117,noisy:63,age_js_score,0.8096985796950327,1.0
mode:current_frame,noisy:117,noisy:84,cphi_score,0.8039213164577539,0.975
mode:current_frame,noisy:117,noisy:84,age_js_score,0.8193360970022586,1.0
mode:current_frame,noisy:21,noisy:42,cphi_score,0.7393950399541955,0.9888888888888889
mode:current_frame,noisy:21,noisy:42,age_js_score,0.7798505437613351,1.0
mode:current_frame,noisy:21,noisy:63,cphi_score,0.6831278758031157,0.9777777777777777
mode:current_frame,noisy:21,noisy:63,age_js_score,0.7456844144556843,1.0
mode:current_frame,noisy:21,noisy:84,cphi_score,0.6614671897695036,0.9722222222222222
mode:current_frame,noisy:21,noisy:84,age_js_score,0.6987327368218802,1.0
mode:current_frame,noisy:42,noisy:63,cphi_score,0.7917880605284134,0.9722222222222222
mode:current_frame,noisy:42,noisy:63,age_js_score,0.8592908069211928,1.0
mode:current_frame,noisy:42,noisy:84,cphi_score,0.7621061842515112,0.9777777777777777
mode:current_frame,noisy:42,noisy:84,age_js_score,0.8071928097623685,1.0
mode:current_frame,noisy:63,noisy:84,cphi_score,0.8043323429771952,0.9611111111111111
mode:current_frame,noisy:63,noisy:84,age_js_score,0.8374660189355133,1.0
