mode,current_frame,layer,head,cphi_score,cphi_score_samples,age_js_score,age_js_score_samples,age_w1_score,age_w1_score_samples,temporal_reach_ratio,temporal_reach_ratio_samples
clean,21,14,11,-0.11345933409526998,16,-0.08009684077802459,16,-0.49513141444053677,16,0.2719612419605255,16
clean,21,15,0,-0.26535502101024433,16,-0.04434247492509209,16,-0.34410770223949794,16,0.27790358662605286,16
clean,21,15,1,-0.23339513472965,16,-0.09501927715273092,16,-0.5492110003357477,16,0.33172495663166046,16
clean,21,15,2,-0.3483624417260583,16,-0.1402980870945349,16,-0.8686797917595839,16,0.3218589723110199,16
clean,21,15,3,-0.3215965290482442,16,-0.06474585580620543,16,-0.04216043784452776,16,0.28497928380966187,16
clean,21,15,4,-0.3871017629133546,16,-0.09176627639424303,16,-0.5552493979815932,16,0.3874911665916443,16
clean,21,15,5,-0.31686198398391674,16,-0.07004878172741977,16,-0.7688666979960037,16,0.2595851868391037,16
clean,21,15,6,-0.41281963964631907,16,-0.04961702992408955,16,-0.38308308010929626,16,0.2881077080965042,16
clean,21,15,7,-0.24040619584639294,16,-0.19064569597981657,16,-0.4000721753965242,16,0.2670673578977585,16
clean,21,15,8,-0.3692143024904524,16,-0.010116726129526625,16,-0.04442944134148969,16,0.34240877628326416,16
clean,21,15,9,-0.34165012445996334,16,-0.09308618911351985,16,-0.7263080122940168,16,0.38437189161777496,16
clean,21,15,10,-0.2297455896118292,16,-0.03622141689899695,16,-0.38799220162115466,16,0.241569422185421,16
clean,21,15,11,-0.2257980430360981,16,-0.05265534055299695,16,-0.37811320219761047,16,0.2663620710372925,16
clean,21,16,0,-0.351185092745941,16,-0.049733060476102875,16,-0.5141209178910717,16,0.21903475373983383,16
clean,21,16,1,-0.3416204004405422,16,-0.05707365919956025,16,-0.5742958238241124,16,0.24104531854391098,16
clean,21,16,2,-0.15961577021023082,16,-0.02138878256883839,16,-0.1773126702743319,16,0.27179835736751556,16
clean,21,16,3,-0.44071998985226096,16,-0.05299401755485485,16,-0.3579855946106538,16,0.2565748393535614,16
clean,21,16,4,-0.1748265897924784,16,-0.03274463005770069,16,-0.40610183483284146,16,0.24256064742803574,16
clean,21,16,5,-0.3664821242204347,16,-0.03422999312242887,16,-0.05435372044599131,16,0.1621670201420784,16
clean,21,16,6,-0.28612305594838816,16,-0.017887897748531147,16,-0.054602160403406125,16,0.30692093074321747,16
clean,21,16,7,-0.2617684707607599,16,-0.0722186697678077,16,-0.2663707854581987,16,0.3238319158554077,16
clean,21,16,8,-0.6536048168052375,16,-0.02280791990048212,16,-0.31904079303040045,16,0.24217166751623154,16
clean,21,16,9,-0.5167952423091373,16,-0.024684854704334097,16,-0.23511426781065073,16,0.24265206605196,16
clean,21,16,10,-0.3137521828177603,16,-0.041895389626764236,16,-0.2978601740280795,16,0.2933172583580017,16
clean,21,16,11,-0.621860510037599,16,-0.07713545991636155,16,-0.5631614580388389,16,0.45190146565437317,16
clean,21,17,0,-0.6982274025688792,16,-0.02874180901449119,16,-0.47755830984445774,16,0.42499953508377075,16
clean,21,17,1,-0.14250606352695783,16,-0.021710199303100426,16,-0.32030183392021533,16,0.31916676461696625,16
