job_id,layer,head,cphi_semantic,cphi_semantic_samples,cphi_null,cphi_null_samples,cphi_score,cphi_score_samples,age_js_semantic,age_js_semantic_samples,age_js_null,age_js_null_samples,age_js_score,age_js_score_samples,age_w1_semantic,age_w1_semantic_samples,age_w1_null,age_w1_null_samples,age_w1_score,age_w1_score_samples,semantic_expected_age_delta,semantic_expected_age_delta_samples,null_expected_age_delta,null_expected_age_delta_samples,native_score,native_score_samples,query_score,query_score_samples,current_key_score,current_key_score_samples,cphi_to_query_ratio,cphi_to_query_ratio_samples,temporal_reach_ratio,temporal_reach_ratio_samples
cf_00_action,1,3,0.009299120865762234,23,0.0023701388854533434,23,1.0345643333200032,23,0.0001471762516302988,23,3.816688695224002e-05,23,0.6716885038240232,23,0.007505609653890133,23,0.0036630735266953707,23,0.9894605113392663,23,0.1275949478149414,23,0.06227302551269531,23,-0.0269961576077341,23,0.35932949828047916,23,0.43542627375082094,23,0.6450721370199239,23,0.2779325544834137,23
cf_00_action,1,4,0.009255887009203434,23,0.007193916477262974,23,0.19189335694633072,23,1.1270261893514544e-05,23,7.91683851275593e-06,23,0.014789687859612754,23,0.001053637475706637,23,0.002203406998887658,23,-0.6662846674845337,23,-0.007674694061279297,23,0.037457942962646484,23,0.16186326114363483,23,0.13916076360598328,23,-0.05716076781586506,23,0.8391461028513614,23,0.23504166305065155,23
cf_00_action,1,5,0.002050628187134862,23,0.0032513756304979324,23,-0.10622935130042795,23,6.683767423965037e-07,23,7.800726962159388e-07,23,-0.0017369940829901217,23,0.0003323870478197932,23,0.0004983167164027691,23,-0.29363802725048604,23,0.0004062652587890625,23,0.008470535278320312,23,-0.02208743169164179,23,0.029507380718577544,23,0.28634065891824984,23,0.3074105013968744,23,0.08568312972784042,23
cf_00_action,1,6,0.0043231104500591755,23,0.00458490801975131,23,-0.15570565680796286,23,7.011389243416488e-06,23,8.204544428735971e-06,23,-0.012694526781566752,23,0.0014982824213802814,23,0.0017450382001698017,23,-0.14011062874701558,23,-0.02547168731689453,23,-0.029664993286132812,23,0.1357251725051564,23,-0.22639010749834101,23,0.14413712643068743,23,0.5254688672561484,23,0.11828073114156723,23
cf_00_action,1,7,0.006577194668352604,23,0.014072953723371029,23,-0.7839605631955143,23,1.0521791409701109e-05,23,3.928250225726515e-05,23,-0.10471802552155618,23,0.0012495283735916018,23,0.002000391250476241,23,-0.29815818831356483,23,0.002639293670654297,23,0.028615951538085938,23,-0.21997981622043225,23,-0.32749277665033244,23,-0.3988386452566299,23,0.5376680739530426,23,0.14136238396167755,23
cf_00_action,1,8,0.005203637294471264,23,0.014846141450107098,23,-1.010453632853028,23,5.068955942988396e-05,23,0.00019687373423948884,23,-0.6671239581950233,23,0.004459495190531015,23,0.010267408564686775,23,-0.8072341840703918,23,0.07581233978271484,23,0.1745471954345703,23,0.10121781207665492,23,-0.3744633753391919,23,-0.003706302953084137,23,0.3624418445221117,23,0.2972572147846222,23
cf_00_action,1,9,0.004599830601364374,23,0.005484385881572962,23,-0.29590243816250245,23,6.840054993517697e-06,23,7.309671491384506e-05,23,-0.4852396699935195,23,0.0014112964272499084,23,0.0056702452711761,23,-1.190806864209263,23,-0.023992538452148438,23,-0.09597587585449219,23,0.10422024539695064,23,-0.039893343030390674,23,-0.195086727284367,23,0.45324871560711394,23,0.2977684438228607,23
cf_00_action,1,10,0.006802196614444256,23,0.013942877762019634,23,-0.6818262917930974,23,7.803362677805126e-06,23,1.4602635928895324e-05,23,-0.01910180407362685,23,0.001229124958626926,23,0.0035660346038639545,23,-0.6488078771774956,23,-0.0019521713256835938,23,0.0606231689453125,23,-0.26312932209737305,23,0.07800863656988746,23,0.049717977207458894,23,0.5397354251534046,23,0.12568025290966034,23
cf_00_action,1,11,0.007561656180769205,23,0.02135920338332653,23,-0.9586451929693535,23,2.516913809813559e-05,23,0.00038720190059393644,23,-1.1059307354063903,23,0.0009282097453251481,23,0.008287932723760605,23,-2.056255837067032,23,0.006240367889404297,23,0.14089488983154297,23,-0.009059622989783753,23,-0.2062461282593691,23,0.07720077970086917,23,0.5321321790880351,23,0.14045797288417816,23
cf_00_action,2,0,0.00456790067255497,23,0.004902918357402086,23,0.06816314034969988,23,2.028109156526625e-05,23,3.198171907570213e-05,23,-0.06058697169799584,23,0.001779707265086472,23,0.0030872472561895847,23,-0.5918605264169793,23,-0.012543678283691406,23,0.04446887969970703,23,0.3363360804270187,23,-0.10462861224652707,23,-0.1023117826616619,23,0.4074006800830661,23,0.16578447818756104,23
cf_00_action,2,1,0.008952537551522255,23,0.0066179935820400715,23,0.08818016824144975,23,5.408144261309644e-06,23,1.1529074981808662e-05,23,-0.059339759994429433,23,0.0010426945518702269,23,0.0016995648620650172,23,-0.6889078389840224,23,-0.015008926391601562,23,0.025327682495117188,23,-0.10723941309426062,23,-0.22328045914449457,23,-0.23357499184988545,23,0.7054530930546581,23,0.1464272141456604,23
cf_00_action,2,2,0.006347914692014456,23,0.030691221356391907,23,-1.5597030597259591,23,1.0134797776117921e-05,23,1.4679630112368613e-05,23,-0.03530373469772359,23,0.0014830257277935743,23,0.0012859663693234324,23,0.16254900821973128,23,0.02171039581298828,23,0.01253509521484375,23,-0.30463590921329897,23,-1.1168257255219836,23,-0.8519398255761171,23,0.6874712619211657,23,0.1381598860025406,23
cf_00_action,2,3,0.0032519421074539423,23,0.003849671920761466,23,-0.2664079303984221,23,7.855138392187655e-06,23,1.4749778529221658e-05,23,-0.09508760566796796,23,0.0012454057577997446,23,0.0011250481475144625,23,-0.060610317039886764,23,-0.017548561096191406,23,-0.013514518737792969,23,-0.1086597861984635,23,-0.23348918989905812,23,0.00973813922473649,23,0.4946415873215985,23,0.5513725876808167,23
cf_00_action,2,4,0.005888183135539293,23,0.0012512961402535439,23,1.520733500053828,23,8.49048956297338e-06,23,9.152732673101127e-06,23,-0.0013624044245779405,23,0.0011761962668970227,23,0.0014602423179894686,23,-0.18512952276187106,23,-0.019412994384765625,23,-0.024580955505371094,23,-0.2660447857829301,23,0.09968938136050697,23,0.12005358871516796,23,0.6493414056421432,23,0.5879247784614563,23
cf_00_action,2,5,0.0035486130509525537,23,0.004654855467379093,23,-0.26481919026989276,23,7.034497684799135e-06,23,1.5998215530999005e-05,23,-0.08754126403971448,23,0.0006416009273380041,23,0.0009730596211738884,23,-0.4738914907671831,23,0.009469032287597656,23,0.014655113220214844,23,-0.2427594061954903,23,-0.17676367005822055,23,-0.26832268168014045,23,0.3106265067150931,23,0.08501795679330826,23
cf_00_action,2,6,0.004593297373503447,23,0.00838770903646946,23,-0.6187648601565283,23,3.243607352487743e-06,23,5.995185347273946e-06,23,-0.02100088600143181,23,0.0007324130856432021,23,0.002111593494191766,23,-0.7978513855309219,23,0.001220703125,23,0.03589630126953125,23,-0.17836058383364814,23,-0.19143156983895343,23,-0.18502742807234596,23,0.3819153632099506,23,0.18160532414913177,23
