mode,nominal_timestep,layer,head,cphi_score,cphi_score_samples,age_js_score,age_js_score_samples,age_w1_score,age_w1_score_samples,native_score,native_score_samples,query_score,query_score_samples
clean,0,13,4,-0.2881946441060015,16,-0.029928500849096946,16,-0.15113668732670854,16,-0.3865836762591971,16,-0.34605164982201875,16
clean,0,13,5,-0.31557595572247854,16,-0.04249333271574145,16,-0.46680663475340367,16,-0.27470566525250795,16,-0.2864989788826482,16
clean,0,13,6,-0.26774865736211895,16,-0.05281959489871169,16,-0.5185491294050466,16,-0.4633744002242095,16,-0.374453090829014,16
clean,0,13,7,-0.4426111678826271,16,-0.07831373173639064,16,-0.546698788004655,16,-0.33105947615947884,16,-0.46307974416209285,16
clean,0,13,8,-0.2836694064240351,16,-0.03745623554408347,16,-0.3784128140938542,16,-0.2981610686706496,16,-0.2816196474171635,16
clean,0,13,9,-0.38326733164518667,16,-0.02638156200589583,16,-0.26947357526509147,16,-0.36114523402928556,16,-0.37999546173792237,16
clean,0,13,10,-0.17301735579640307,16,-0.04236415618649063,16,-0.23978893738732815,16,-0.2223077761693877,16,-0.39855502493182304,16
clean,0,13,11,-0.11383117223376818,16,-0.020939111643009618,16,-0.34679214049787865,16,-0.32203525581989134,16,-0.40655961505368665,16
clean,0,14,0,-0.4727812871942527,16,-0.01826233189326499,16,-0.2830796685380891,16,-0.3107083738790217,16,-0.3268763225362292,16
clean,0,14,1,-0.26202769639887047,16,-0.07662866592996796,16,-0.25029123708069695,16,-0.33695595709112436,16,-0.35478023866855596,16
clean,0,14,2,-0.43604685038958935,16,-0.056889502173036746,16,-0.35748222111648265,16,-0.3573951556840904,16,-0.44892159144073673,16
clean,0,14,3,-0.21268671478645917,16,-0.034891658530314125,16,-0.3775227327252902,16,-0.40933866292284815,16,-0.44933970566303005,16
clean,0,14,4,-0.1839155061790405,16,-0.019796087013833348,16,-0.17799492979649034,16,-0.28525386205968073,16,-0.19120211945073112,16
clean,0,14,5,-0.290422782172823,16,-0.027762158055613845,16,-0.10994728637901001,16,-0.3620938010104092,16,-0.30048396774378333,16
clean,0,14,6,-0.33169820329233,16,-0.018124840956765365,16,-0.2583741324410128,16,-0.29858782633956493,16,-0.29753230908816075,16
clean,0,14,7,-0.32961544467893344,16,-0.04247521049144175,16,-0.22426098089840985,16,-0.3893731874478716,16,-0.3809260317094596,16
clean,0,14,8,-0.13800771314616572,16,-0.01907780102830902,16,-0.1929756703604297,16,-0.32198365482110025,16,-0.30484500967749406,16
clean,0,14,9,-0.35640943383427026,16,-0.02688530213981402,16,-0.11129092752841517,16,-0.38637987382714367,16,-0.4312856207083383,16
clean,0,14,10,-0.18845677641845582,16,-0.02608537393655669,16,-0.2822613863370439,16,-0.364177159630127,16,-0.27642994835587625,16
clean,0,14,11,-0.13423918867955315,16,-0.04026169554522585,16,-0.17293366135920535,16,-0.3288566334749875,16,-0.3891692451709855,16
clean,0,15,0,-0.45615567322224204,16,-0.04854489946627821,16,-0.279735535667642,16,-0.4289592077216942,16,-0.4890945356502402,16
clean,0,15,1,-0.2951669584644057,16,-0.08047428827916517,16,-0.49449922752175063,16,-0.36123311003645703,16,-0.44964347933905824,16
clean,0,15,2,-0.42362773816093846,16,-0.14547249311407356,16,-0.33351135877318894,16,-0.38793058387031465,16,-0.5508793937789471,16
clean,0,15,3,-0.33135402147226634,16,-0.06914249627600959,16,-0.2640477448614953,16,-0.5450447783248399,16,-0.4914548263409749,16
clean,0,15,4,-0.3979309984903808,16,-0.042140267186517893,16,-0.49714941817852387,16,-0.4308270628273655,16,-0.46164640501641074,16
clean,0,15,5,-0.5380185119280707,16,-0.05221419794616998,16,-0.4538793360788117,16,-0.5841942548130552,16,-0.49038800364026536,16
clean,0,15,6,-0.5619682025653904,16,-0.04742467708010658,16,-0.2472062785069267,16,-0.5365698877584308,16,-0.5086290880045163,16
clean,0,15,7,-0.369997465122028,16,-0.12054719862038542,16,-0.4795150702840275,16,-0.4185456366023941,16,-0.6588099875186455,16
clean,0,15,8,-0.39154535549035807,16,-0.023949785184233685,16,-0.2521532787804175,16,-0.43803736482675804,16,-0.4621032786592983,16
clean,0,15,9,-0.22571447095094765,16,-0.055158922486958396,16,-0.5707088613701516,16,-0.34863565072776326,16,-0.5125106878851151,16
clean,0,15,10,-0.2635201759998552,16,-0.031337265224836694,16,-0.23166104097288093,16,-0.43434635932939947,16,-0.4590349288734025,16
clean,0,15,11,-0.18384911368261542,16,-0.0335211290932254,16,-0.15180767626497443,16,-0.39127993572806413,16,-0.48276376738982696,16
