job_id,layer,head,temporal_reach_ratio,temporal_reach_ratio_samples,expected_age,expected_age_samples,normalized_expected_age,normalized_expected_age_samples,recent_mass,recent_mass_samples,old_mass,old_mass_samples,old12_mass,old12_mass_samples,old_mass_excess,old_mass_excess_samples,temporal_entropy,temporal_entropy_samples,peak_age,peak_age_samples,positive_logit_fraction,positive_logit_fraction_samples,sign_switch_rate,sign_switch_rate_samples,dominant_period,dominant_period_samples,spectral_peak_ratio,spectral_peak_ratio_samples,middle_recent_margin,middle_recent_margin_samples,age_logit_correlation,age_logit_correlation_samples
moviebench_qwen_000,3,9,0.36242687702178955,23,9.23674201965332,23,0.5131523609161377,23,0.29641667008399963,23,0.7035833597183228,23,0.3798538148403168,23,-0.07419443130493164,23,0.9169019460678101,23,5.0,23,1.0,23,0.0,23,18.0,23,0.4980222284793854,23,-0.8761367201805115,23,-0.05186064913868904,23
moviebench_qwen_000,3,10,0.2571016252040863,23,8.515045166015625,23,0.4730580747127533,23,0.3220977783203125,23,0.6779022216796875,23,0.302764892578125,23,-0.0998755693435669,23,0.9543487429618835,23,1.0,23,1.0,23,0.0,23,18.0,23,0.5118739008903503,23,-1.092835545539856,23,-0.31376004219055176,23
moviebench_qwen_000,3,11,0.3702528178691864,23,7.055208206176758,23,0.39195600152015686,23,0.4586932063102722,23,0.5413067936897278,23,0.19406720995903015,23,-0.2364709973335266,23,0.9003409743309021,23,1.0,23,1.0,23,0.0,23,9.0,23,0.48545345664024353,23,-1.556293249130249,23,-0.5431371927261353,23
moviebench_qwen_000,4,0,0.44698673486709595,23,11.91723918914795,23,0.6620688438415527,23,0.1995438188314438,23,0.800456166267395,23,0.5847625732421875,23,0.022678375244140625,23,0.8717151284217834,23,17.0,23,1.0,23,0.0,23,18.0,23,0.6681561470031738,23,0.1058804914355278,23,0.45426127314567566,23
moviebench_qwen_000,4,1,0.2114291936159134,23,5.256750106811523,23,0.2920416593551636,23,0.5630011558532715,23,0.4369988441467285,23,0.08846651017665863,23,-0.3407789468765259,23,0.847851574420929,23,2.0,23,1.0,23,0.0,23,18.0,23,0.5659122467041016,23,-1.599839448928833,23,-0.8559128642082214,23
moviebench_qwen_000,4,2,0.32666873931884766,23,6.0837297439575195,23,0.33798497915267944,23,0.5484189987182617,23,0.4515809416770935,23,0.16111508011817932,23,-0.3261968493461609,23,0.8145527839660645,23,1.0,23,1.0,23,0.0,23,9.0,23,0.41238975524902344,23,-1.3465994596481323,23,-0.5047587156295776,23
moviebench_qwen_000,4,3,0.8138283491134644,23,9.035550117492676,23,0.5019749999046326,23,0.47583097219467163,23,0.5241689682006836,23,0.4393084943294525,23,-0.2536088228225708,23,0.37741079926490784,23,1.0,23,1.0,23,0.0,23,6.0,23,0.8222475647926331,23,0.16734439134597778,23,-0.10274293273687363,23
moviebench_qwen_000,4,4,0.4200751781463623,23,11.051658630371094,23,0.6139810085296631,23,0.17494969069957733,23,0.8250503540039062,23,0.375063419342041,23,0.047272562980651855,23,0.839816689491272,23,18.0,23,1.0,23,0.0,23,6.0,23,0.726250946521759,23,-0.15934090316295624,23,0.08905647695064545,23
moviebench_qwen_000,4,5,0.7774854302406311,23,14.403048515319824,23,0.8001693487167358,23,0.0500311516225338,23,0.9499688744544983,23,0.6830108165740967,23,0.1721910834312439,23,0.5654774308204651,23,18.0,23,1.0,23,0.0,23,6.0,23,0.8705107569694519,23,0.45075303316116333,23,0.1844586879014969,23
moviebench_qwen_000,4,6,0.22210289537906647,23,7.43331241607666,23,0.41296181082725525,23,0.41729736328125,23,0.58270263671875,23,0.250030517578125,23,-0.1950751543045044,23,0.9565812945365906,23,1.0,23,1.0,23,0.0,23,18.0,23,0.5654193162918091,23,-1.9693480730056763,23,-0.6435708403587341,23
moviebench_qwen_000,4,7,0.3168773055076599,23,7.654895782470703,23,0.42527198791503906,23,0.3989746570587158,23,0.6010253429412842,23,0.24165603518486023,23,-0.17675244808197021,23,0.9300386905670166,23,1.0,23,1.0,23,0.0,23,18.0,23,0.40763482451438904,23,-1.4805214405059814,23,-0.49116963148117065,23
moviebench_qwen_000,4,8,0.3193846046924591,23,9.917278289794922,23,0.5509598851203918,23,0.227559894323349,23,0.7724401950836182,23,0.420318603515625,23,-0.0053375959396362305,23,0.9690682291984558,23,14.0,23,1.0,23,0.0,23,18.0,23,0.4841364324092865,23,-0.10478474944829941,23,0.2424260377883911,23
moviebench_qwen_000,4,9,0.18369626998901367,23,9.156424522399902,23,0.5086902379989624,23,0.24578481912612915,23,0.7542151212692261,23,0.29708409309387207,23,-0.02356266975402832,23,0.9552336931228638,23,10.0,23,1.0,23,0.0,23,6.0,23,0.5887077450752258,23,-0.4107556939125061,23,-0.18390421569347382,23
moviebench_qwen_000,4,10,0.27155718207359314,23,6.463870048522949,23,0.35910388827323914,23,0.5123447179794312,23,0.48765528202056885,23,0.20075984299182892,23,-0.29012250900268555,23,0.896654486656189,23,1.0,23,1.0,23,0.0,23,18.0,23,0.5947222113609314,23,-2.0924034118652344,23,-0.5791530609130859,23
moviebench_qwen_000,4,11,0.3366902470588684,23,8.737167358398438,23,0.48539817333221436,23,0.31948429346084595,23,0.6805157661437988,23,0.35606491565704346,23,-0.09726202487945557,23,0.8470156788825989,23,1.0,23,1.0,23,0.0,23,9.0,23,0.4705054759979248,23,-0.5175123810768127,23,-0.13291704654693604,23
moviebench_qwen_000,5,0,0.28832778334617615,23,3.087151288986206,23,0.17150840163230896,23,0.7890673875808716,23,0.21093256771564484,23,0.05226948857307434,23,-0.5668452382087708,23,0.5986201167106628,23,1.0,23,1.0,23,0.0,23,18.0,23,0.5471301078796387,23,-1.6386334896087646,23,-0.6521520018577576,23
moviebench_qwen_000,5,1,0.755061149597168,23,13.731752395629883,23,0.7628751397132874,23,0.06652568280696869,23,0.9334743618965149,23,0.6200541257858276,23,0.1556965708732605,23,0.5669307112693787,23,18.0,23,1.0,23,0.0,23,6.0,23,0.8654852509498596,23,0.3135865330696106,23,0.021701691672205925,23
moviebench_qwen_000,5,2,0.7414512634277344,23,17.04288101196289,23,0.946826696395874,23,0.00948097463697195,23,0.9905189871788025,23,0.8976514339447021,23,0.2127411961555481,23,0.2320566475391388,23,18.0,23,0.7777777910232544,23,0.23529411852359772,23,6.0,23,0.8543303608894348,23,0.7210699915885925,23,0.18467140197753906,23
moviebench_qwen_000,5,3,0.21868005394935608,23,9.82886791229248,23,0.5460482239723206,23,0.21863460540771484,23,0.7813653349876404,23,0.3688579499721527,23,0.0035875439643859863,23,0.9880043864250183,23,12.0,23,1.0,23,0.0,23,18.0,23,0.40766486525535583,23,-0.08046497404575348,23,0.3284439444541931,23
moviebench_qwen_000,5,4,0.45904794335365295,23,15.522378921508789,23,0.8623543977737427,23,0.01976260542869568,23,0.9802375435829163,23,0.7237613797187805,23,0.20245975255966187,23,0.5206863880157471,23,18.0,23,0.7777777910232544,23,0.23529411852359772,23,6.0,23,0.7538577914237976,23,1.0116666555404663,23,0.39240723848342896,23
moviebench_qwen_000,5,5,0.15881231427192688,23,5.613065242767334,23,0.31183695793151855,23,0.6572984457015991,23,0.3427015542984009,23,0.20073078572750092,23,-0.4350762367248535,23,0.7982777953147888,23,1.0,23,1.0,23,0.0,23,18.0,23,0.755214512348175,23,-1.9716928005218506,23,-0.44105401635169983,23
moviebench_qwen_000,5,6,0.5967265963554382,23,14.105512619018555,23,0.7836396098136902,23,0.13504040241241455,23,0.8649595975875854,23,0.7167157530784607,23,0.08718180656433105,23,0.6060288548469543,23,18.0,23,1.0,23,0.0,23,6.0,23,0.5495337843894958,23,-0.06161363422870636,23,0.13621440529823303,23
moviebench_qwen_000,5,7,0.3847382962703705,23,2.421994924545288,23,0.13455528020858765,23,0.8744397759437561,23,0.1255602240562439,23,0.04215995967388153,23,-0.6522175669670105,23,0.40683338046073914,23,1.0,23,1.0,23,0.0,23,18.0,23,0.501315712928772,23,-1.6191326379776,23,-0.6348458528518677,23
moviebench_qwen_000,5,8,0.26525652408599854,23,8.60689926147461,23,0.4781610667705536,23,0.3016570508480072,23,0.6983429193496704,23,0.2783152759075165,23,-0.07943487167358398,23,0.9295769929885864,23,1.0,23,1.0,23,0.0,23,9.0,23,0.44533154368400574,23,-0.5302597880363464,23,-0.26969313621520996,23
moviebench_qwen_000,5,9,0.859079122543335,23,13.413026809692383,23,0.745168149471283,23,0.07489940524101257,23,0.925100564956665,23,0.600296676158905,23,0.14732277393341064,23,0.6814507246017456,23,17.0,23,1.0,23,0.0,23,6.0,23,0.8664098381996155,23,0.7277857065200806,23,0.3482246398925781,23
moviebench_qwen_000,5,10,0.4274817407131195,23,2.2339975833892822,23,0.12411097437143326,23,0.8771305680274963,23,0.12286937236785889,23,0.05374256148934364,23,-0.6549084186553955,23,0.30253544449806213,23,1.0,23,1.0,23,0.0,23,6.0,23,0.849348247051239,23,-0.8489032983779907,23,-0.39769765734672546,23
moviebench_qwen_000,5,11,0.5261786580085754,23,11.254410743713379,23,0.6252450346946716,23,0.2235293686389923,23,0.7764706015586853,23,0.4769750237464905,23,-0.0013071894645690918,23,0.8156883120536804,23,18.0,23,1.0,23,0.0,23,6.0,23,0.6418395638465881,23,-0.06053180620074272,23,0.166761115193367,23
moviebench_qwen_000,6,0,0.3055807650089264,23,7.052163124084473,23,0.3917868435382843,23,0.46288129687309265,23,0.537118673324585,23,0.2294934242963791,23,-0.24065911769866943,23,0.9037467241287231,23,1.0,23,1.0,23,0.0,23,9.0,23,0.37372350692749023,23,-1.6555262804031372,23,-0.5405691862106323,23
moviebench_qwen_000,6,1,0.27657875418663025,23,7.380570411682129,23,0.41003167629241943,23,0.3768443465232849,23,0.6231556534767151,23,0.2135837823152542,23,-0.1546221375465393,23,0.9499202966690063,23,2.0,23,1.0,23,0.0,23,18.0,23,0.3838644027709961,23,-1.7024260759353638,23,-0.6941983699798584,23
moviebench_qwen_000,6,2,0.2646321654319763,23,6.055055618286133,23,0.33639198541641235,23,0.594218909740448,23,0.4057810306549072,23,0.19867388904094696,23,-0.37199676036834717,23,0.7195973992347717,23,1.0,23,1.0,23,0.0,23,9.0,23,0.4733198583126068,23,-1.4220207929611206,23,-0.37900465726852417,23
moviebench_qwen_000,6,3,0.2751963138580322,23,6.749347686767578,23,0.37496376037597656,23,0.39454931020736694,23,0.6054506301879883,23,0.18148662149906158,23,-0.1723271608352661,23,0.9121068716049194,23,2.0,23,1.0,23,0.0,23,18.0,23,0.5497201085090637,23,-1.476639747619629,23,-0.7261755466461182,23
moviebench_qwen_000,6,4,0.27191251516342163,23,4.2382731437683105,23,0.23545962572097778,23,0.6575973629951477,23,0.3424026370048523,23,0.05194532498717308,23,-0.4353751540184021,23,0.7546887993812561,23,2.0,23,1.0,23,0.0,23,18.0,23,0.628818929195404,23,-1.6997716426849365,23,-0.8171698451042175,23
moviebench_qwen_000,6,5,0.2371850311756134,23,8.668298721313477,23,0.48157215118408203,23,0.32598379254341125,23,0.6740161776542664,23,0.32017457485198975,23,-0.10376161336898804,23,0.9656182527542114,23,1.0,23,1.0,23,0.0,23,18.0,23,0.6927193999290466,23,-1.4613020420074463,23,-0.3379993140697479,23
