candidate,control,window,prompt_count,metric,mean_delta,median_delta,win_fraction,tie_fraction,bootstrap_ci_lower,bootstrap_ci_upper,p_value,q_value,inferential_role
ours_correct,phase_full,full,32,semantic_alignment,0.002905467113790414,0.0005730673670768655,0.5625,0.0,4.368279827759154e-05,0.005910888840056336,0.29830744792707264,,
ours_correct,phase_full,full,32,visual_quality,-0.0006410878095775632,-0.0003688824772833943,0.4375,0.0,-0.0037878324333888535,0.002381026588551094,0.8114572062622756,,
ours_correct,phase_full,full,32,dynamic_degree,-0.010416666666666671,0.0,0.125,0.65625,-0.04166666666666667,0.016666666666666663,0.88671875,,
ours_correct,phase_full,full,32,subject_consistency,-0.00010407517320489001,0.00010689750073122894,0.5625,0.0,-0.0008064191916692687,0.0005819199328535613,0.29830744792707264,,
ours_correct,phase_full,full,32,background_consistency,-0.0003331631536727629,-0.00019580428826948548,0.4375,0.0,-0.0009154693982915301,0.00027410234813738575,0.8114572062622756,,
ours_correct,phase_full,full,32,temporal_flickering,-0.0003864068124029667,-3.8496388329312126e-05,0.4375,0.0,-0.0011034076348361082,0.00024748303910433116,0.8114572062622756,,
ours_correct,phase_full,full,32,motion_smoothness,-0.00033257046923229963,7.1326322550469e-06,0.5,0.0,-0.0008281832098864947,5.479737898807307e-05,0.5699749670457095,,
ours_correct,phase_full,full,32,overall_consistency,0.002905467113790414,0.0005730673670768655,0.5625,0.0,-8.149137798075826e-05,0.005882533493180141,0.29830744792707264,,
ours_correct,phase_full,full,32,aesthetic_quality,-0.0008733908335367864,0.0005882660547891772,0.53125,0.0,-0.006224896167404952,0.004264927078038451,0.4300250329542905,,
ours_correct,phase_full,full,32,imaging_quality,-0.0004087847856183661,0.0003319428761800469,0.5625,0.0,-0.004384640268422627,0.003380581552752612,0.29830744792707264,,
ours_correct,phase_full,full,32,temporal_style,0.002905467113790414,0.0005730673670768655,0.5625,0.0,2.5959246947122673e-05,0.0059141928046786505,0.29830744792707264,,
ours_correct,sf_fifo21,early_half,32,quality_without_dynamic_degree,0.00948351445036133,-0.00226688659019203,0.4375,0.0,-0.04103978204443358,0.06585850981462196,0.8114572062622756,,
ours_correct,sf_fifo21,early_half,32,official_quality_score,-0.05919780423095711,-0.01788632720175798,0.375,0.0,-0.1981066674657367,0.07871515030612214,0.9449079174082726,,
ours_correct,sf_fifo21,early_half,32,identity_background,-4.614811672035146e-05,-0.00013273594412793743,0.34375,0.0,-0.00032897164581508485,0.00027841425985495623,0.9749487701337785,,
ours_correct,sf_fifo21,early_half,32,temporal_mechanics,0.0001299267979894686,1.5986615661711667e-05,0.53125,0.0,-8.61421102346869e-05,0.0003857648523593993,0.4300250329542905,,
ours_correct,sf_fifo21,early_half,32,semantic_alignment,-0.0001575376040169156,-0.00013913214206695557,0.46875,0.0,-0.0009099292103201142,0.0005525049653702577,0.7016925520729274,,
ours_correct,sf_fifo21,early_half,32,visual_quality,-7.4071822954071415e-06,-0.00019583893673763564,0.4375,0.0,-0.0011846845755020912,0.001315752246151009,0.8114572062622756,,
ours_correct,sf_fifo21,early_half,32,dynamic_degree,-0.008928571428571432,0.0,0.0625,0.8125,-0.03125000000000001,0.01339285714285714,0.890625,,
ours_correct,sf_fifo21,early_half,32,subject_consistency,0.0001295483383574672,1.7919731553850404e-05,0.53125,0.0,-0.00030030924132718584,0.000542091965723605,0.4300250329542905,,
ours_correct,sf_fifo21,early_half,32,background_consistency,-0.00022184457179814931,-0.0003147966492591525,0.28125,0.0,-0.0008878865685240025,0.0005455803614490792,0.99649981665425,,
ours_correct,sf_fifo21,early_half,32,temporal_flickering,0.00015216379502073704,1.8799739057551168e-05,0.59375,0.0,-0.0001318299281997893,0.00048292343358638014,0.18854279373772442,,
