variant,axis,mode,current_frame,nominal_timestep,layer_residual_family_split_spearman,layer_residual_seed_replicate_spearman,median_seed_delta_direction_cosine,median_cross_factor_specificity_margin,reproducible_context_candidate
scene,k_shift,noisy,63,1000,0.9836343901830519,0.9901285246542539,0.17840837500989437,0.1717644811142236,1
scene,v_shift,noisy,63,1000,0.9063614173977679,0.9314979282247547,0.19916125014424324,0.17601820919662714,1
scene,q_shift,noisy,117,500,0.9789908358346386,0.9789628006388938,0.1799318753182888,0.16150221228599548,1
scene,k_shift,noisy,117,500,0.9877442469977906,0.9883255272031419,0.22898577898740768,0.17527151107788086,1
scene,v_shift,noisy,117,500,0.9098154049542563,0.9433048608914162,0.2020922675728798,0.1657742630923167,1
scene,q_shift,noisy,117,1000,0.9721775171580423,0.9725924018738489,0.20283385552465916,0.1860616528429091,1
scene,k_shift,noisy,117,1000,0.9877442469977906,0.9883255272031419,0.22898577898740768,0.17527151107788086,1
scene,v_shift,noisy,117,1000,0.9098154049542563,0.9433048608914162,0.2020922675728798,0.1657742630923167,1
full_semantic,q_shift,clean,63,0,0.9723215456909389,0.9795013850415512,0.341800794005394,0.2900698148878291,1
full_semantic,k_shift,clean,63,0,0.9861974243628423,0.9909479754216209,0.4252703785896301,0.36958285328000784,1
full_semantic,v_shift,clean,63,0,0.919700254888798,0.933386060077624,0.4276011735200882,0.36594656854867935,1
full_semantic,q_shift,clean,117,0,0.9832285228538287,0.9852923247864566,0.22047343105077744,0.2306386767886579,1
full_semantic,k_shift,clean,117,0,0.9869641483859184,0.9886506325923297,0.3276923894882202,0.2891855164198205,1
full_semantic,v_shift,clean,117,0,0.9022870546840639,0.9212877156973946,0.3060806021094322,0.2801263043656945,1
full_semantic,q_shift,noisy,63,500,0.9595272082860721,0.9812174476654912,0.36867351084947586,0.3200323320925236,1
full_semantic,k_shift,noisy,63,500,0.9861974243628423,0.9909479754216209,0.4252703785896301,0.36958285328000784,1
full_semantic,v_shift,noisy,63,500,0.919700254888798,0.933386060077624,0.4276011735200882,0.36594656854867935,1
full_semantic,q_shift,noisy,63,1000,0.9581100187842722,0.973545633589149,0.44855716824531555,0.37873272597789764,1
full_semantic,k_shift,noisy,63,1000,0.9861974243628423,0.9909479754216209,0.4252703785896301,0.36958285328000784,1
full_semantic,v_shift,noisy,63,1000,0.919700254888798,0.933386060077624,0.4276011735200882,0.36594656854867935,1
full_semantic,q_shift,noisy,117,500,0.9774815649297705,0.9852254518424781,0.2321946732699871,0.25082758301869035,1
full_semantic,k_shift,noisy,117,500,0.9869641483859184,0.9886506325923297,0.3276923894882202,0.2891855164198205,1
full_semantic,v_shift,noisy,117,500,0.9022870546840639,0.9212877156973946,0.3060806021094322,0.2801263043656945,1
full_semantic,q_shift,noisy,117,1000,0.9722526233806186,0.9770815419513266,0.30194486677646637,0.29374653473496437,1
full_semantic,k_shift,noisy,117,1000,0.9869641483859184,0.9886506325923297,0.3276923894882202,0.2891855164198205,1
full_semantic,v_shift,noisy,117,1000,0.9022870546840639,0.9212877156973946,0.3060806021094322,0.2801263043656945,1
