cohort,candidate,control,window,metric,mean_delta,ci_low,ci_high,win_fraction
v220,ours_correct,sf_fifo21,full,background_consistency,0.00023572947263332186,-0.0006033394482910756,0.001085184033954404,0.53125
v220,ours_correct,sf_fifo21,full,temporal_flickering,0.0006171824414210117,-0.002998548978659617,0.005275199253793822,0.484375
v220,ours_correct,sf_fifo21,full,motion_smoothness,0.0010595512212695606,-0.0023746630615077615,0.005547829815024717,0.546875
v220,ours_correct,sf_fifo21,full,overall_consistency,-0.001724101402214728,-0.005731314221072051,0.002104691347218855,0.4375
v220,ours_correct,sf_fifo21,full,aesthetic_quality,-0.0006575094380726447,-0.007881509115298588,0.006690531785522269,0.5
v220,ours_correct,sf_fifo21,full,imaging_quality,0.002290360694130255,-0.004212583454391766,0.008957997553927503,0.5625
v220,ours_correct,sf_fifo21,full,temporal_style,-0.001724101402214728,-0.0057514302371419026,0.0020571503761554174,0.4375
v220,ours_correct,sf_fifo21,early_half,quality_without_dynamic_degree,0.005681988665980464,-0.21135942195604338,0.20881569892608962,0.53125
v220,ours_correct,sf_fifo21,early_half,official_quality_score,-0.002330831846839576,-0.2683983366045386,0.26677970847194454,0.453125
v220,ours_correct,sf_fifo21,early_half,identity_background,0.0003522861064124798,-0.00037255286550483865,0.0010843445299056837,0.546875
v220,ours_correct,sf_fifo21,early_half,temporal_mechanics,-0.0005151520994823768,-0.0020622039643727608,0.0006596781911772433,0.5
v220,ours_correct,sf_fifo21,early_half,semantic_alignment,0.0005046999314799912,-0.0018892330594826431,0.002687752566222725,0.5
v220,ours_correct,sf_fifo21,early_half,visual_quality,0.0012423953819088616,-0.0027210739665820016,0.005181533559566986,0.53125
v220,ours_correct,sf_fifo21,early_half,dynamic_degree,-0.0010416666666666673,-0.026041666666666664,0.02395833333333333,0.21875
v220,ours_correct,sf_fifo21,early_half,subject_consistency,0.00025551912654287086,-0.0007371806849612156,0.0013241954747752207,0.484375
v220,ours_correct,sf_fifo21,early_half,background_consistency,0.00044905308628210606,-0.0002144491959081592,0.0011089508392794027,0.609375
v220,ours_correct,sf_fifo21,early_half,temporal_flickering,-0.0006981486269558856,-0.002287343033321586,0.0004647282558597109,0.53125
v220,ours_correct,sf_fifo21,early_half,motion_smoothness,-0.0003321555720088836,-0.001993445467813828,0.0007928842669524769,0.5
v220,ours_correct,sf_fifo21,early_half,overall_consistency,0.0005046999314799912,-0.0017550298208758868,0.0026897112833103197,0.5
v220,ours_correct,sf_fifo21,early_half,aesthetic_quality,5.12440999348978e-05,-0.0044413715166350225,0.004401820633405206,0.515625
v220,ours_correct,sf_fifo21,early_half,imaging_quality,0.002433546663882827,-0.0019464408889723272,0.007218448400582805,0.4375
v220,ours_correct,sf_fifo21,early_half,temporal_style,0.0005046999314799912,-0.0018589683540631088,0.0027886600990314034,0.5
v220,ours_correct,sf_fifo21,late_half,quality_without_dynamic_degree,0.24322488268534648,-0.6004729484651594,1.3868809412974334,0.46875
v220,ours_correct,sf_fifo21,late_half,official_quality_score,0.19514795960842246,-0.6986125294702195,1.2393798629713373,0.515625
v220,ours_correct,sf_fifo21,late_half,identity_background,0.0005986603439324598,-0.0021049251263048417,0.00397086219741692,0.421875
v220,ours_correct,sf_fifo21,late_half,temporal_mechanics,0.0021918857621729664,-0.004489561454912313,0.010835656219158685,0.46875
v220,ours_correct,sf_fifo21,late_half,semantic_alignment,-0.003952902735909446,-0.010894498666069313,0.0027706139046252535,0.40625
v220,ours_correct,sf_fifo21,late_half,visual_quality,0.0003904558741487556,-0.00989729434629747,0.010532892743024665,0.5
v220,ours_correct,sf_fifo21,late_half,dynamic_degree,-0.00625,-0.06145833333333334,0.04479166666666666,0.28125
v220,ours_correct,sf_fifo21,late_half,subject_consistency,0.0011749148288803454,-0.0029225974358161534,0.006517384969367405,0.4375
v220,ours_correct,sf_fifo21,late_half,background_consistency,2.2405858984584498e-05,-0.001478855043920669,0.0016145296814756467,0.484375
v220,ours_correct,sf_fifo21,late_half,temporal_flickering,0.0019325135097978795,-0.00501200695142297,0.011068854924297426,0.46875
v220,ours_correct,sf_fifo21,late_half,motion_smoothness,0.0024512580145480446,-0.004099326798649455,0.011017257221076257,0.546875
v220,ours_correct,sf_fifo21,late_half,overall_consistency,-0.003952902735909446,-0.011002411845499107,0.0030313405313063344,0.40625
v220,ours_correct,sf_fifo21,late_half,aesthetic_quality,-0.0013662629760801724,-0.013844889209916193,0.010696205769199876,0.484375
v220,ours_correct,sf_fifo21,late_half,imaging_quality,0.0021471747243776824,-0.009644555944118961,0.014125658139819235,0.515625
v220,ours_correct,sf_fifo21,late_half,temporal_style,-0.003952902735909446,-0.010736223617374583,0.002636866898004274,0.40625
