axis,layer,head,context_count,residual_median,residual_iqr,rank_median,rank_iqr,top25_context_frequency,positive_context_frequency
prompt_history_excess,3,10,36,0.12496930360794067,0.18889016658067703,0.7493036211699164,0.21935933147632314,0.4722222222222222,0.8611111111111112
prompt_history_excess,3,11,36,0.0505463108420372,0.38871833495795727,0.6211699164345403,0.6873259052924791,0.4166666666666667,0.5277777777777778
prompt_history_excess,4,0,36,-0.12715423107147217,0.5214762641116977,0.25069637883008355,0.685933147632312,0.25,0.3333333333333333
prompt_history_excess,4,1,36,0.14748187689110637,0.2645072308368981,0.7952646239554317,0.4401114206128134,0.5277777777777778,0.6666666666666666
prompt_history_excess,4,2,36,0.05009452626109123,0.18214223813265562,0.6392757660167131,0.378133704735376,0.3055555555555556,0.6111111111111112
prompt_history_excess,4,3,36,0.08560934569686651,0.4708470478653908,0.6824512534818942,0.7207520891364902,0.3888888888888889,0.6111111111111112
prompt_history_excess,4,4,36,-0.06318415701389313,0.2015833721961826,0.3579387186629526,0.3516713091922006,0.027777777777777776,0.2777777777777778
prompt_history_excess,4,5,36,0.05141415074467659,0.1952753602527082,0.6350974930362117,0.4456824512534818,0.19444444444444445,0.5833333333333334
prompt_history_excess,4,6,36,-0.13030343130230904,0.25973635958507657,0.254874651810585,0.42130919220055707,0.08333333333333333,0.2777777777777778
prompt_history_excess,4,7,36,0.007986323907971382,0.2336569745093584,0.5445682451253482,0.44011142061281333,0.25,0.5277777777777778
prompt_history_excess,4,8,36,-0.0033045709133148193,0.14297357806935906,0.46935933147632314,0.3196378830083565,0.2222222222222222,0.4722222222222222
prompt_history_excess,4,9,36,0.034181974828243256,0.1449175737798214,0.6128133704735376,0.34122562674094703,0.2777777777777778,0.6944444444444444
prompt_history_excess,4,10,36,-0.01359728816896677,0.24367294274270535,0.4456824512534819,0.4805013927576602,0.2222222222222222,0.4444444444444444
prompt_history_excess,4,11,36,-0.0050188712775707245,0.15022082068026066,0.4860724233983287,0.355849582172702,0.1388888888888889,0.5
prompt_history_excess,5,0,36,-0.021457567811012268,0.4311080127954483,0.4387186629526462,0.6573816155988857,0.2777777777777778,0.4444444444444444
prompt_history_excess,5,1,36,-0.06727965921163559,0.24009409546852112,0.3231197771587744,0.43105849582172695,0.1388888888888889,0.3611111111111111
prompt_history_excess,5,2,36,0.011234033852815628,0.14775770157575607,0.5445682451253482,0.3495821727019498,0.2222222222222222,0.5555555555555556
prompt_history_excess,5,3,36,0.08875075727701187,0.18921274738386273,0.7186629526462396,0.3662952646239554,0.4166666666666667,0.7222222222222222
prompt_history_excess,5,4,36,0.021363213658332825,0.17370328679680824,0.5821727019498608,0.40111420612813375,0.25,0.6111111111111112
prompt_history_excess,5,5,36,0.06484846770763397,0.17292046220973134,0.6420612813370473,0.3739554317548746,0.3888888888888889,0.6944444444444444
prompt_history_excess,5,6,36,-0.04130731523036957,0.18467300618067384,0.3732590529247911,0.38927576601671304,0.16666666666666666,0.3888888888888889
prompt_history_excess,5,7,36,-0.0497594028711319,0.32551378570497036,0.3746518105849582,0.5494428969359332,0.16666666666666666,0.3888888888888889
prompt_history_excess,5,8,36,-0.008582405745983124,0.08813953958451748,0.44986072423398327,0.2513927576601671,0.05555555555555555,0.4722222222222222
prompt_history_excess,5,9,36,-0.34323782473802567,0.3538116179406643,0.10167130919220055,0.2785515320334262,0.027777777777777776,0.1111111111111111
prompt_history_excess,5,10,36,0.1988157071173191,0.4803010290488601,0.8481894150417828,0.5724233983286908,0.5833333333333334,0.7222222222222222
prompt_history_excess,5,11,36,0.028024591505527496,0.23729404667392373,0.5766016713091922,0.4728412256267409,0.2777777777777778,0.5277777777777778
prompt_history_excess,6,0,36,-0.0768846645951271,0.1859073042869568,0.33147632311977715,0.3119777158774373,0.027777777777777776,0.25
prompt_history_excess,6,1,36,0.109063271433115,0.15542853437364101,0.7186629526462396,0.23607242339832857,0.4444444444444444,0.8333333333333334
prompt_history_excess,6,2,36,-0.31511399522423744,0.22709642350673676,0.09192200557103064,0.09401114206128136,0.027777777777777776,0.05555555555555555
prompt_history_excess,6,3,36,0.07924731634557247,0.21960166841745377,0.6908077994428969,0.39275766016713093,0.3888888888888889,0.6388888888888888
prompt_history_excess,6,4,36,0.24657225981354713,0.3956369999796152,0.8523676880222841,0.38370473537604455,0.6388888888888888,0.75
prompt_history_excess,6,5,36,0.007887527346611023,0.18199477717280388,0.520891364902507,0.4004178272980502,0.19444444444444445,0.5
prompt_history_excess,6,6,36,0.04171564429998398,0.10052049974910915,0.6100278551532033,0.28621169916434536,0.2222222222222222,0.6944444444444444
prompt_history_excess,6,7,36,0.03183271735906601,0.1427900642156601,0.5933147632311978,0.3447075208913649,0.25,0.6388888888888888
prompt_history_excess,6,8,36,0.0026362016797065735,0.17592735029757023,0.5194986072423398,0.3844011142061281,0.25,0.5277777777777778
prompt_history_excess,6,9,36,0.0030844248831272125,0.14072521775960922,0.5278551532033426,0.34261838440111414,0.1111111111111111,0.5555555555555556
prompt_history_excess,6,10,36,-0.20594799518585205,0.3263908298686147,0.17270194986072424,0.3098885793871866,0.027777777777777776,0.19444444444444445
prompt_history_excess,6,11,36,-0.05728413537144661,0.2671573352999985,0.350974930362117,0.47841225626740946,0.2222222222222222,0.3611111111111111
prompt_history_excess,7,0,36,-0.031334470957517624,0.23973912186920643,0.4066852367688022,0.4366295264623955,0.1111111111111111,0.4166666666666667
prompt_history_excess,7,1,36,0.07758883386850357,0.3597756288945675,0.6880222841225627,0.6190807799442897,0.4444444444444444,0.5555555555555556
prompt_history_excess,7,2,36,-0.020375560969114304,0.13145309453830123,0.42618384401114207,0.35027855153203347,0.19444444444444445,0.3333333333333333
prompt_history_excess,7,3,36,0.012189771980047226,0.12447976821567863,0.5682451253481895,0.28481894150417825,0.2222222222222222,0.6111111111111112
