axis,switch_type,mode,current_frame,nominal_timestep,episode,stale_a_visible,raw_split_spearman,layer_residual_split_spearman,raw_split_top25_jaccard,layer_residual_split_top25_jaccard,layer_eta_squared,raw_iqr,layer_residual_iqr
persistent_content,scene_action,clean,54,0,A,1,0.07820791105363255,-0.05284507597978754,0.18421052631578946,0.16883116883116883,0.3359597931584941,0.0003551766276359558,0.00028410181403160095
persistent_positioned,scene_action,clean,54,0,A,1,0.0543907946521283,-0.038098660254172835,0.17647058823529413,0.16129032258064516,0.3497318889923027,0.00034984201192855835,0.0002796299522742629
persistent_output,scene_action,clean,54,0,A,1,0.19743908358062226,0.1663093548143989,0.25874125874125875,0.19205298013245034,0.2311396610168671,0.0012254118919372559,0.0009712688624858856
prompt_history_excess,scene_action,clean,57,0,B,1,0.37270202609323927,0.3498568737755049,0.2765957446808511,0.3333333333333333,0.17045797444097577,0.3704819902777672,0.27669418370351195
policy_prompt_score,scene_action,clean,57,0,B,1,0.5328076583654572,0.10026989369640163,0.25874125874125875,0.15384615384615385,0.6623108551002661,0.5989612481112547,0.3051695431057929
stale_a_mass,scene_action,clean,57,0,B,1,0.10371855709639181,0.10371855709639181,0.7647058823529411,0.7647058823529411,0.0,0.0,0.0
persistent_content,scene_action,clean,57,0,B,1,0.1786260151638705,0.15028034940855137,0.2328767123287671,0.2413793103448276,0.2934830730178203,0.0004097074270248413,0.0003410354256629944
persistent_positioned,scene_action,clean,57,0,B,1,0.0900092892519774,0.02849766903836449,0.19205298013245034,0.18421052631578946,0.22515647808270137,0.0003389902412891388,0.0003235526382923126
persistent_output,scene_action,clean,57,0,B,1,0.1911191007213027,0.13618996782714177,0.31386861313868614,0.25,0.23786130532656943,0.0012139081954956055,0.0010167881846427917
prompt_history_excess,scene_action,clean,60,0,B,1,0.3616439208843398,0.3675034923107433,0.2857142857142857,0.3235294117647059,0.09804003935537196,0.36834106408059597,0.3321064654737711
policy_prompt_score,scene_action,clean,60,0,B,1,0.5179353402299023,0.06957691275872101,0.3333333333333333,0.2,0.6159416437850702,0.5679920660611124,0.308734740071842
stale_a_mass,scene_action,clean,60,0,B,1,0.9205693459568874,0.9145561822750689,0.8367346938775511,0.7307692307692307,0.14351838280980625,0.28694460168480873,0.24122602120041847
persistent_content,scene_action,clean,60,0,B,1,0.15966261352343133,0.042565811349489883,0.2328767123287671,0.2080536912751678,0.3132510360422851,0.0003812164068222046,0.0002896096557378769
persistent_positioned,scene_action,clean,60,0,B,1,0.10378124488186127,0.12149408911456196,0.2328767123287671,0.16129032258064516,0.2308213878020455,0.0003294050693511963,0.000269278883934021
persistent_output,scene_action,clean,60,0,B,1,0.09897084534438187,0.04406523232643839,0.25,0.2080536912751678,0.272178754609522,0.0012022033333778381,0.0008756592869758606
prompt_history_excess,scene_action,clean,75,0,B,0,0.3690369967593723,0.3425924044459797,0.2949640287769784,0.25874125874125875,0.12391471218558062,0.38041162863373756,0.3413185141980648
policy_prompt_score,scene_action,clean,75,0,B,0,0.5881100162121412,0.14332736513224484,0.40625,0.22448979591836735,0.6766652401059581,0.5849697752678549,0.29289080511779036
persistent_content,scene_action,clean,75,0,B,0,0.15843776454773445,0.0010337394127876577,0.22448979591836735,0.16883116883116883,0.2983941027729129,0.00038780272006988525,0.0002946779131889343
persistent_positioned,scene_action,clean,75,0,B,0,0.07852150304794334,0.02478736836798551,0.16883116883116883,0.17647058823529413,0.3375483082104898,0.0003079921007156372,0.0002777986228466034
persistent_output,scene_action,clean,75,0,B,0,0.16603832404703525,0.15738688990019362,0.22448979591836735,0.2080536912751678,0.14997585159315954,0.0009307116270065308,0.0008009951561689377
prompt_history_excess,scene_action,clean,78,0,B,0,0.33473351566311976,0.30648714564717,0.25874125874125875,0.21621621621621623,0.12350893323670036,0.341589679941535,0.2918736906722188
policy_prompt_score,scene_action,clean,78,0,B,0,0.4816780684943029,0.03625572845705326,0.25874125874125875,0.1464968152866242,0.6323559947134862,0.5416981639270944,0.31286877813512803
persistent_content,scene_action,clean,78,0,B,0,0.23625511114563486,0.04294301161034172,0.22448979591836735,0.2,0.3279200689796012,0.00044620782136917114,0.0003207772970199585
persistent_positioned,scene_action,clean,78,0,B,0,0.1351336109734845,0.07387468629648387,0.25,0.17647058823529413,0.26106791402086565,0.0003670006990432739,0.0003167092800140381
persistent_output,scene_action,clean,78,0,B,0,-0.019441452734487247,-0.003923014064154604,0.2,0.16129032258064516,0.11095389204404275,0.0008495450019836426,0.0007254034280776978
prompt_history_excess,scene_action,clean,117,0,B,0,0.29946625711483565,0.30102162467620086,0.25,0.2413793103448276,0.100662289971748,0.34250458888709545,0.3162717903032899
policy_prompt_score,scene_action,clean,117,0,B,0,0.430906519245841,0.13505024786339515,0.34328358208955223,0.2,0.5819146100887859,0.49190127831839525,0.2939419018980528
persistent_content,scene_action,clean,117,0,B,0,0.25718330390922234,0.10863603463735619,0.30434782608695654,0.2080536912751678,0.3862624019698205,0.00038039684295654297,0.0002706628292798996
persistent_positioned,scene_action,clean,117,0,B,0,0.25623671012110366,0.14351050085304723,0.25874125874125875,0.22448979591836735,0.27155667637513603,0.0003424808382987976,0.0002820658264681697
persistent_output,scene_action,clean,117,0,B,0,-0.006651531389067957,-0.03479746331272756,0.2328767123287671,0.16883116883116883,0.16253808102224646,0.0009126141667366028,0.0006813518702983856
prompt_history_excess,scene_action,noisy,54,500,A,1,0.2440512399342872,0.1457901804787096,0.2413793103448276,0.19205298013245034,0.19968369260317856,0.2911407873034477,0.2290423670783639
policy_prompt_score,scene_action,noisy,54,500,A,1,0.24917819593043655,0.0379060076490029,0.2080536912751678,0.16129032258064516,0.4024256710794974,0.4133827977276324,0.28133492758829126
persistent_content,scene_action,noisy,54,500,A,1,0.25793791750507417,0.20530543154312164,0.2765957446808511,0.21621621621621623,0.28111988562467743,0.0009095743298530579,0.0007862318307161331
persistent_positioned,scene_action,noisy,54,500,A,1,0.1874396674543389,0.16441549482525844,0.22448979591836735,0.2328767123287671,0.24103106573872587,0.000809207558631897,0.0006859544664621353
persistent_output,scene_action,noisy,54,500,A,1,0.18721281754646127,0.09435887965179521,0.25,0.16883116883116883,0.2419278982466365,0.003222949802875519,0.0026776790618896484
prompt_history_excess,scene_action,noisy,54,1000,A,1,0.18735530156048613,0.24601171811400044,0.21621621621621623,0.21621621621621623,0.08218472374630902,0.2950741648674011,0.2501205652952194
policy_prompt_score,scene_action,noisy,54,1000,A,1,0.15519133244919733,0.07771616381078685,0.17647058823529413,0.18421052631578946,0.2650691761161311,0.3789974098574904,0.3086588844141112
persistent_content,scene_action,noisy,54,1000,A,1,0.326928405438849,0.2460127786052202,0.25874125874125875,0.2413793103448276,0.3038100529995582,0.002722419798374176,0.0021339384838938713
persistent_positioned,scene_action,noisy,54,1000,A,1,0.22393511851221778,0.12091587408596115,0.2328767123287671,0.2328767123287671,0.26363097426617776,0.0027233511209487915,0.0019947662949562073
persistent_output,scene_action,noisy,54,1000,A,1,0.26692494290512414,0.19053316929997144,0.2328767123287671,0.18421052631578946,0.18819701565954677,0.00877910852432251,0.007673710584640503
prompt_history_excess,scene_action,noisy,57,500,B,1,0.206492469958154,0.15175906746879428,0.22448979591836735,0.2,0.1845027784166013,0.30744752287864685,0.26514418609440327
policy_prompt_score,scene_action,noisy,57,500,B,1,0.38986230730687993,0.1560385788770951,0.25,0.15384615384615385,0.4025769038555558,0.5149516993475619,0.3059625529182522
stale_a_mass,scene_action,noisy,57,500,B,1,0.08353902687438125,0.08353902687438125,0.8,0.8,0.0,0.0,0.0
persistent_content,scene_action,noisy,57,500,B,1,0.2009603437190203,0.1092170510673443,0.18421052631578946,0.17647058823529413,0.32411938640061294,0.0009425655007362366,0.0008120797574520111
persistent_positioned,scene_action,noisy,57,500,B,1,0.1590014369211191,0.09613545047143301,0.2080536912751678,0.15384615384615385,0.2939075299069461,0.0009497925639152527,0.0007662549614906311
persistent_output,scene_action,noisy,57,500,B,1,0.13125429706620179,0.11989911073718044,0.2857142857142857,0.2080536912751678,0.2528707683954554,0.0028273239731788635,0.0022263936698436737
prompt_history_excess,scene_action,noisy,57,1000,B,1,0.05404304255307656,0.016756661240327826,0.18421052631578946,0.16883116883116883,0.14749141490876835,0.25470180064439774,0.22765378281474113
policy_prompt_score,scene_action,noisy,57,1000,B,1,0.2574502414845105,0.1889641694447824,0.16129032258064516,0.16129032258064516,0.22528319487466164,0.4022501440027444,0.3189872546268643
stale_a_mass,scene_action,noisy,57,1000,B,1,0.07613642968130263,0.07613642968130263,0.8,0.8,0.0,0.0,0.0
persistent_content,scene_action,noisy,57,1000,B,1,0.1192864368248922,0.11019831900956498,0.17647058823529413,0.22448979591836735,0.199503924729379,0.0022101998329162598,0.0018092356622219086
persistent_positioned,scene_action,noisy,57,1000,B,1,0.06306787827750567,0.10174038093773206,0.125,0.16883116883116883,0.15317129832793178,0.0023340731859207153,0.0019921641796827316
persistent_output,scene_action,noisy,57,1000,B,1,0.29508926194504026,0.2563977255160788,0.30434782608695654,0.30434782608695654,0.1466317030653362,0.008984267711639404,0.007811393588781357
prompt_history_excess,scene_action,noisy,60,500,B,1,0.21640674855131156,0.14676604694601894,0.2676056338028169,0.15384615384615385,0.24458377330326053,0.2862827628850937,0.24663323909044266
policy_prompt_score,scene_action,noisy,60,500,B,1,0.24775785099393283,0.043716965801204634,0.17647058823529413,0.16129032258064516,0.39615416816492,0.4159016893504636,0.2823129783774018
stale_a_mass,scene_action,noisy,60,500,B,1,0.9217306203494368,0.9077621483704864,0.7821782178217822,0.7307692307692307,0.19412609063769407,0.3225737512111664,0.2395437564700842
persistent_content,scene_action,noisy,60,500,B,1,0.12708681013113587,-0.0008484174352676612,0.2,0.16129032258064516,0.39405226448808583,0.0008034110069274902,0.0006847567856311798
persistent_positioned,scene_action,noisy,60,500,B,1,0.0688270168434734,0.06969728848531584,0.2,0.17647058823529413,0.22437903540112566,0.0008100196719169617,0.0006921850144863129
persistent_output,scene_action,noisy,60,500,B,1,0.1606501523858958,0.10905706452473324,0.30434782608695654,0.25874125874125875,0.29478075226361583,0.0030229315161705017,0.0022341497242450714
prompt_history_excess,scene_action,noisy,60,1000,B,1,0.07109575606116218,0.04698177156545289,0.16883116883116883,0.1464968152866242,0.1427253597578484,0.26456665620207787,0.23915903270244598
