comparison,left_probe,right_probe,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
value_shift:top>bottom:x0,top_value_shift,bottom_value_shift,x0_relative_rms,log_ratio,noisy_t1000,64,32,0.5202716882439511,0.5617249521891865,0.890625,0.4058485487941684,0.6273791445490342,0.29728739002932547
value_shift:top>bottom:x0,top_value_shift,bottom_value_shift,x0_relative_rms,log_ratio,noisy_t500,64,32,0.23145288314076945,0.29551129634334805,0.796875,0.13694420528568846,0.32337188901997055,0.3343108504398827
value_shift:top>bottom:x0,top_value_shift,bottom_value_shift,x0_relative_rms,log_ratio,pooled,192,32,0.2358372700880954,0.17780178847353195,0.6666666666666666,0.16719649286285942,0.3015559134885494,0.33614369501466274
retrieval_rescue:top:x0,top_q_retrieval8,top_recent4,x0_relative_rms,right_minus_left_relative,clean,64,32,0.17319857997734878,0.17102654434716608,1.0,0.1661951587225311,0.18038237833602452,0.3577712609970674
retrieval_rescue:top:x0,top_q_retrieval8,top_recent4,x0_relative_rms,right_minus_left_relative,noisy_t1000,64,32,0.399045299265996,0.3991387100678089,1.0,0.3679993549154591,0.43148566515058023,0.12536656891495598
retrieval_rescue:top:x0,top_q_retrieval8,top_recent4,x0_relative_rms,right_minus_left_relative,noisy_t500,64,32,0.440243618941196,0.43318074196140244,1.0,0.423430535448274,0.45649241991687595,0.11693548387096771
retrieval_rescue:top:x0,top_q_retrieval8,top_recent4,x0_relative_rms,right_minus_left_relative,pooled,192,32,0.3374958327281803,0.3696656081341915,1.0,0.3246027707551815,0.35101305380602704,0.03519061583577712
uniform_rescue:top:x0,top_uniform8,top_recent4,x0_relative_rms,right_minus_left_relative,clean,64,32,0.16173548957966405,0.15628981857277618,1.0,0.15489037151273877,0.16965515994918015,0.532991202346041
uniform_rescue:top:x0,top_uniform8,top_recent4,x0_relative_rms,right_minus_left_relative,noisy_t1000,64,32,0.3753366272849432,0.37240027126837766,1.0,0.346088094260126,0.40426276063560107,0.23607038123167154
uniform_rescue:top:x0,top_uniform8,top_recent4,x0_relative_rms,right_minus_left_relative,noisy_t500,64,32,0.39859581567927416,0.3947983088595938,1.0,0.3814894748367868,0.4149155111402958,0.4215542521994134
uniform_rescue:top:x0,top_uniform8,top_recent4,x0_relative_rms,right_minus_left_relative,pooled,192,32,0.3118893108479605,0.34294712750027867,1.0,0.29813360621622925,0.32581261205876866,0.3357771260997067
retrieval_vs_uniform:top:x0,top_q_retrieval8,top_uniform8,x0_relative_rms,right_minus_left_relative,clean,64,32,0.013366007835897633,0.012011715719016408,0.796875,0.007964480910977612,0.0181495872173191,-0.08614369501466275
retrieval_vs_uniform:top:x0,top_q_retrieval8,top_uniform8,x0_relative_rms,right_minus_left_relative,noisy_t1000,64,32,0.029036554556088473,0.058513850054135425,0.609375,-0.01688096414132178,0.07021954234276885,-0.12170087976539588
retrieval_vs_uniform:top:x0,top_q_retrieval8,top_uniform8,x0_relative_rms,right_minus_left_relative,noisy_t500,64,32,0.06730493740042565,0.0708888203966339,0.90625,0.044120561205242756,0.08680950978606937,0.07478005865102638
retrieval_vs_uniform:top:x0,top_q_retrieval8,top_uniform8,x0_relative_rms,right_minus_left_relative,pooled,192,32,0.03656916659747058,0.03285905065100157,0.7708333333333334,0.02008161627402688,0.05232570977420647,-0.20197947214076245
retrieval_rescue:random:x0,random_q_retrieval8,random_recent4,x0_relative_rms,right_minus_left_relative,clean,64,32,0.2049516756587712,0.20386522040230087,1.0,0.1990760146838695,0.2112592286196837,-0.2653958944281525
retrieval_rescue:random:x0,random_q_retrieval8,random_recent4,x0_relative_rms,right_minus_left_relative,noisy_t1000,64,32,0.581821210459064,0.5981160096050164,1.0,0.535537155960889,0.6248083086772777,0.1345307917888563
retrieval_rescue:random:x0,random_q_retrieval8,random_recent4,x0_relative_rms,right_minus_left_relative,noisy_t500,64,32,0.560465016290538,0.5485609822379436,1.0,0.5362503858429721,0.5850966442645055,0.31268328445747795
retrieval_rescue:random:x0,random_q_retrieval8,random_recent4,x0_relative_rms,right_minus_left_relative,pooled,192,32,0.44907930080279107,0.5021355938033676,1.0,0.42795304782952237,0.4685194010235002,0.3291788856304985
retrieval_vs_uniform:random:x0,random_q_retrieval8,random_uniform8,x0_relative_rms,right_minus_left_relative,clean,64,32,0.07311376716236312,0.07651831667913533,0.984375,0.06625638013823325,0.07942580048085286,0.07697947214076245
retrieval_vs_uniform:random:x0,random_q_retrieval8,random_uniform8,x0_relative_rms,right_minus_left_relative,noisy_t1000,64,32,0.35176565968953727,0.367444650233124,0.953125,0.2946766700973638,0.40709085122498917,0.10227272727272727
retrieval_vs_uniform:random:x0,random_q_retrieval8,random_uniform8,x0_relative_rms,right_minus_left_relative,noisy_t500,64,32,0.33180774385395584,0.3088740484882847,0.984375,0.2930884198650306,0.3729546192986831,0.49266862170087966
retrieval_vs_uniform:random:x0,random_q_retrieval8,random_uniform8,x0_relative_rms,right_minus_left_relative,pooled,192,32,0.2522290569019521,0.23724604030709884,0.9739583333333334,0.2236383397278598,0.28007573924229817,0.3665689149560117
recent4:top>random:flow,top_recent4,random_recent4,flow_relative_rms,log_ratio,clean,64,32,-0.05239862701528282,-0.05153318822854752,0.28125,-0.07843087036093127,-0.028120582019418704,0.07587976539589442
recent4:top>random:flow,top_recent4,random_recent4,flow_relative_rms,log_ratio,noisy_t1000,64,32,-0.440519923568413,-0.5238751112307907,0.171875,-0.5769228501946558,-0.2881395865952269,0.43768328445747795
recent4:top>random:flow,top_recent4,random_recent4,flow_relative_rms,log_ratio,noisy_t500,64,32,-0.2493263309925717,-0.18923412434934717,0.15625,-0.35970892112502023,-0.1556376541488845,0.21480938416422285
recent4:top>random:flow,top_recent4,random_recent4,flow_relative_rms,log_ratio,pooled,192,32,-0.24741496052542256,-0.13419774947719693,0.203125,-0.3271665627088358,-0.16447692318975374,0.4431818181818181
recent4:top>bottom:flow,top_recent4,bottom_recent4,flow_relative_rms,log_ratio,clean,64,32,-0.11530016896725244,-0.1151977326071723,0.15625,-0.16446724518404018,-0.06730031118389558,0.4890029325513196
