comparison,metric,context,unit_count,mean_difference,median_difference,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
top_minus_bottom,refined_value_direction_cosine,noisy_t500,64,0.08160129552413006,0.07724678374619948,1.0,0.07015212006137314,0.0936432017500263,0.3918621700879765
top_minus_bottom,refined_value_direction_cosine,pooled,64,0.07750896038790045,0.067308103747308,1.0,0.06687023753340234,0.08913706800448472,0.5905425219941349
top_minus_random,refined_value_direction_cosine,clean,64,0.026084959509684168,0.017380655308564516,0.90625,0.018302416039077923,0.03458055901488314,0.4424486803519062
top_minus_random,refined_value_direction_cosine,noisy_t1000,64,0.040309574159497666,0.04007042468421988,0.921875,0.034173400563688824,0.04621913168984823,0.03115835777126099
top_minus_random,refined_value_direction_cosine,noisy_t500,64,0.030650024904227594,0.025323798755804705,0.890625,0.02316370656202404,0.038407096681641835,0.2635630498533724
top_minus_random,refined_value_direction_cosine,pooled,64,0.032348186191136476,0.02774247842133734,0.96875,0.026493011131411122,0.03910331655221109,0.5850439882697946
top_minus_bottom,qk_displacement,clean,64,0.03835006758062162,0.032463146783670196,0.921875,0.03038353795931471,0.04756418177300727,0.15579178885630496
top_minus_bottom,qk_displacement,noisy_t1000,64,0.08683662961690668,0.08656806691497979,1.0,0.07844589979266704,0.0948107987166592,0.22580645161290322
top_minus_bottom,qk_displacement,noisy_t500,64,0.06259404347492818,0.06103988284917755,0.984375,0.05397815886045666,0.0717089470307605,0.45307917888563043
top_minus_bottom,qk_displacement,pooled,64,0.06259358022415215,0.05900911899710385,1.0,0.05453999187958424,0.07111394398568335,0.2910557184750733
top_minus_random,qk_displacement,clean,64,0.04228500055928129,0.037110993994994915,1.0,0.03750787169575031,0.047778885082237946,0.533724340175953
top_minus_random,qk_displacement,noisy_t1000,64,0.061088667528868726,0.060592231990045146,1.0,0.056374584640840726,0.0660478879794199,0.5142961876832844
top_minus_random,qk_displacement,noisy_t500,64,0.051875475329628294,0.05015082699376054,1.0,0.04630313564512056,0.05834994650332698,0.500366568914956
top_minus_random,qk_displacement,pooled,64,0.05174971447259277,0.04878716046395884,1.0,0.047118627414593335,0.0572219463353627,0.5883431085043987
top_minus_bottom,value_displacement,clean,64,0.0001221331191320321,0.003052610200312403,0.609375,-0.0053793246426711355,0.004595765612374027,0.5146627565982405
top_minus_bottom,value_displacement,noisy_t1000,64,-0.005941936232678319,-0.006332442971567348,0.328125,-0.008496390096710863,-0.0034383187169851194,-0.4134897360703812
top_minus_bottom,value_displacement,noisy_t500,64,-0.006601752664290769,-0.003700005635619147,0.34375,-0.011553545259236877,-0.0025611787557454583,0.05131964809384164
top_minus_bottom,value_displacement,pooled,64,-0.004140518592612353,-0.0016710052124431622,0.390625,-0.007285412749354656,-0.0015291786716980582,0.06378299120234603
top_minus_random,value_displacement,clean,64,-0.002987414832649747,-0.001536609350134519,0.421875,-0.006997110071697031,0.00041726536573706764,0.4134897360703812
top_minus_random,value_displacement,noisy_t1000,64,-0.023933397376115155,-0.02414580112737086,0.0625,-0.027248407317281613,-0.020478175138384052,-0.13636363636363635
top_minus_random,value_displacement,noisy_t500,64,-0.021459904137049714,-0.022868330545154303,0.0625,-0.02513831716645857,-0.017989367430290157,0.2316715542521994
top_minus_random,value_displacement,pooled,64,-0.016126905448604872,-0.016317504205896213,0.046875,-0.01854576251098815,-0.013841181270972811,0.005131964809384164
top_minus_bottom,normalized_qk_entropy,clean,64,0.0005252106425662831,0.00058040155304806,0.96875,0.00045029197017557927,0.0005954018876784424,0.6231671554252198
top_minus_bottom,normalized_qk_entropy,noisy_t1000,64,0.0006355563178658489,0.0006608582205242519,1.0,0.00057723809318203,0.0006919048959389294,0.5740469208211143
top_minus_bottom,normalized_qk_entropy,noisy_t500,64,0.0005541488735212284,0.0005992094675700277,1.0,0.00048220646076112044,0.0006246445752266415,0.5832111436950146
top_minus_bottom,normalized_qk_entropy,pooled,64,0.0005716386113177867,0.0006074664769348999,1.0,0.0005033525501170912,0.0006358684274299011,0.6070381231671553
top_minus_random,normalized_qk_entropy,clean,64,-6.68729551964297e-05,-2.6127033763478913e-05,0.40625,-0.00011482964502646298,-2.2853708101639406e-05,0.6213343108504398
top_minus_random,normalized_qk_entropy,noisy_t1000,64,2.343174484040894e-05,4.0101342731024836e-05,0.65625,-8.05513234808765e-06,5.3374231534284855e-05,0.5989736070381232
top_minus_random,normalized_qk_entropy,noisy_t500,64,-2.8250728630364874e-05,1.4454126358032227e-06,0.515625,-7.250088939650986e-05,1.362877846177238e-05,0.5993401759530792
top_minus_random,normalized_qk_entropy,pooled,64,-2.3897312995461877e-05,4.185018716055626e-06,0.53125,-6.383915802602197e-05,1.4322467096561151e-05,0.6107038123167156
