layer,head,semantic_interaction,semantic_interaction_samples,null_interaction,null_interaction_samples,interaction_log_ratio,interaction_log_ratio_samples,semantic_native_response,semantic_native_response_samples,null_native_response,null_native_response_samples,semantic_query_response,semantic_query_response_samples,null_query_response,null_query_response_samples,query_log_ratio,query_log_ratio_samples,semantic_current_key_response,semantic_current_key_response_samples,null_current_key_response,null_current_key_response_samples,current_key_log_ratio,current_key_log_ratio_samples,native_log_ratio,native_log_ratio_samples,job_count,bootstrap_family_count,bootstrap_low,bootstrap_high,bootstrap_p_conditional,label,label_code,bootstrap_confidence,reliable_at_80pct,expected_age,expected_age_samples,recent4_mass,recent4_mass_samples,old12_mass,old12_mass_samples,temporal_entropy,temporal_entropy_samples,peak_age,peak_age_samples,positive_logit_fraction,positive_logit_fraction_samples
2,8,0.004101446829736233,3456,0.009018004406243563,3456,-0.37526328087422023,3456,0.013308669440448284,3456,0.01730622909963131,3456,0.00724645028822124,3456,0.01180150918662548,3456,-0.5400757644790067,3456,0.002934016170911491,3456,0.004488221136853099,3456,-0.43850314964198145,3456,-0.27566280153046563,3456,128,16,-0.6169265771629036,-0.14834400111635643,0.0,prompt_invariant,0,1.0,1,9.6285982131958,6912,0.27675437927246094,6912,0.3787316083908081,6912,0.7710470259189606,6912,18.0,6912,1.0,6912
2,9,0.0025891162222251296,3456,0.0041090454906225204,3456,-0.3318970522548082,3456,0.002869429183192551,3456,0.004019381012767553,3456,0.008855057414621115,3456,0.013033133000135422,3456,-0.3971225243388648,3456,0.007632141234353185,3456,0.011017406824976206,3456,-0.3753230732109204,3456,-0.3511677888626474,3456,128,16,-0.5761830906088516,-0.1387488658296231,0.0,prompt_invariant,0,1.0,1,8.318124771118164,6912,0.3213329315185547,6912,0.2597784996032715,6912,0.9495403170585632,6912,3.0,6912,1.0,6912
2,10,0.004634268814697862,3456,0.006091411923989654,3456,-0.16599689625869957,3456,0.012416815385222435,3456,0.01700800284743309,3456,0.010122265666723251,3456,0.014221975579857826,3456,-0.34652709138513693,3456,0.006461125565692782,3456,0.008783931843936443,3456,-0.32023387658093344,3456,-0.33049698989855975,3456,128,16,-0.5643428887822468,0.0,0.023,prompt_invariant,0,0.977,1,9.51413631439209,6912,0.11936165019869804,6912,0.2514415681362152,6912,0.755050539970398,6912,6.0,6912,1.0,6912
2,11,0.0027102999156340957,3456,0.0037286017322912812,3456,-0.11996590871533463,3456,0.007095093838870525,3456,0.009098636452108622,3456,0.005407168064266443,3456,0.007422059308737516,3456,-0.34886270323514257,3456,0.002880808897316456,3456,0.0042433657217770815,3456,-0.3917975407209463,3456,-0.3102838762600627,3456,128,16,-0.5146360791947159,0.0,0.0,prompt_invariant,0,1.0,1,8.126083374023438,6912,0.3606468439102173,6912,0.28044699132442474,6912,0.8400686085224152,6912,2.0,6912,1.0,6912
3,0,0.0015364560531452298,3456,0.002259317087009549,3456,-0.163467215806766,3456,0.009650049731135368,3456,0.011735964100807905,3456,0.00666670105420053,3456,0.009321474935859442,3456,-0.31797364156214036,3456,0.005549636436626315,3456,0.006763624958693981,3456,-0.2646897352458959,3456,-0.25756328259260447,3456,128,16,-0.5998875440852323,0.0,0.007,prompt_invariant,0,0.993,1,14.477559089660645,6912,0.03776586055755615,6912,0.6402990818023682,6912,0.5644344091415405,6912,18.0,6912,1.0,6912
3,1,0.00416805618442595,3456,0.0050674674566835165,3456,-0.0378174531225534,3456,0.02072613686323166,3456,0.027531404979526997,3456,0.0116618643514812,3456,0.013987618498504162,3456,-0.2026379949975129,3456,0.012214992195367813,3456,0.015165907796472311,3456,-0.27458310643886136,3456,-0.3098301069044545,3456,128,16,-0.32588378791515343,0.0,0.0,prompt_invariant,0,1.0,1,8.157708168029785,6912,0.3408661037683487,6912,0.2381177544593811,6912,0.9417222142219543,6912,1.0,6912,1.0,6912
3,2,0.004141499754041433,3456,0.005253898911178112,3456,-0.06894256815961025,3456,0.02109687216579914,3456,0.025406215339899063,3456,0.010674965102225542,3456,0.01250678114593029,3456,-0.16713708209688583,3456,0.01008595759049058,3456,0.011387642938643694,3456,-0.18324550123943617,3456,-0.21285362349431827,3456,128,16,-0.1981566024409925,0.0,0.0,prompt_invariant,0,1.0,1,8.095107078552246,6912,0.09936092793941498,6912,0.17435145378112793,6912,0.6358818411827087,6912,5.0,6912,0.8888888955116272,6912
3,3,0.0031608210410922766,3456,0.004389287205412984,3456,-0.23206274275498176,3456,0.007544532185420394,3456,0.00841563381254673,3456,0.010542057920247316,3456,0.013422389049082994,3456,-0.2979418021430717,3456,0.011245375033468008,3456,0.01353284390643239,3456,-0.21588767742955461,3456,-0.12313622050819523,3456,128,16,-0.3544148864962916,-0.00814606053222132,0.0,prompt_invariant,0,1.0,1,8.211980819702148,6912,0.313018798828125,6912,0.20404675602912903,6912,0.955041915178299,6912,4.0,6912,1.0,6912
3,4,0.003641027840785682,3456,0.0041865750681608915,3456,0.0,3456,0.018845658749341965,3456,0.024058599956333637,3456,0.010027657262980938,3456,0.011245003435760736,3456,-0.1920181224724361,3456,0.008261953014880419,3456,0.009526312351226807,3456,-0.1988273171194453,3456,-0.2741613353122617,3456,128,16,-0.07781082839007239,0.0,0.0,prompt_invariant,0,1.0,1,13.330129623413086,6912,0.007402408868074417,6912,0.5346067547798157,6912,0.534628301858902,6912,18.0,6912,0.7777777910232544,6912
3,5,0.0027479229029268026,3456,0.00414798897691071,3456,-0.19657730153399883,3456,0.005115951644256711,3456,0.007023521000519395,3456,0.008085993584245443,3456,0.009856002405285835,3456,-0.266835491687873,3456,0.008818803820759058,3456,0.009702073875814676,3456,-0.15970110808678395,3456,-0.33394673035324296,3456,128,16,-0.31369065488948855,-0.05800573749438483,0.0,prompt_invariant,0,1.0,1,4.992218971252441,6912,0.6497901678085327,6912,0.11771347373723984,6912,0.8615792691707611,6912,1.0,6912,1.0,6912
3,6,0.002346813678741455,3456,0.0030732391169294715,3456,-0.11905238165115041,3456,0.004479726776480675,3456,0.006167085841298103,3456,0.008312562014907598,3456,0.009596874006092548,3456,-0.2032245465893832,3456,0.009037189651280642,3456,0.010678167920559645,3456,-0.23118348196858962,3456,-0.3373925703129803,3456,128,16,-0.2583788393628549,0.0,0.0,prompt_invariant,0,1.0,1,6.19237208366394,6912,0.4774634540081024,6912,0.12246065586805344,6912,0.9200612306594849,6912,2.0,6912,1.0,6912
3,7,0.0014931746991351247,3456,0.0018217407632619143,3456,0.0,3456,0.008345345500856638,3456,0.010918607469648123,3456,0.006378921214491129,3456,0.0077237768564373255,3456,-0.19321604043222318,3456,0.005012897774577141,3456,0.006152530666440725,3456,-0.2561958990323226,3456,-0.2757086279669497,3456,128,16,-0.12060913905973378,0.0,0.0,prompt_invariant,0,1.0,1,17.26105785369873,6912,0.000941757985856384,6912,0.9379124045372009,6912,0.22006408125162125,6912,18.0,6912,1.0,6912
