comparison,window,metric,mean_delta,ci95_low,ci95_high,q_value,win_fraction
sf_sink3_9_minus_sf_sink1_9,early_half,temporal_mechanics,-0.002204264860450035,-0.003362127486490301,-0.0010555017003953985,,0.1875
sf_sink3_9_minus_sf_sink1_9,early_half,semantic_alignment,-0.003948618225487217,-0.006346560828387743,-0.0017127554090360987,,0.25
sf_sink3_9_minus_sf_sink1_9,early_half,visual_quality,-0.0022587183517004637,-0.006067330568696239,0.0017188816780357673,,0.375
sf_sink3_9_minus_sf_sink1_9,early_half,dynamic_degree,0.0,0.0,0.0,,0.0
sf_sink1_21_minus_sf_fifo21,late_half,quality_without_dynamic_degree,-0.5722826169736308,-1.125110694998218,-0.06600864226989542,0.999998721992597,0.40625
sf_sink1_21_minus_sf_fifo21,late_half,official_quality_score,-0.5722826169736308,-1.099911211715419,-0.05814107919497058,,0.40625
sf_sink1_21_minus_sf_fifo21,late_half,identity_background,-0.003735684442139845,-0.006044047406206472,-0.0017166157879770867,0.999998721992597,0.1875
sf_sink1_21_minus_sf_fifo21,late_half,temporal_mechanics,-0.004965488620342309,-0.009541367944502895,-0.001401636536869443,0.999998721992597,0.1875
sf_sink1_21_minus_sf_fifo21,late_half,semantic_alignment,0.006067047972464934,-0.0033755823569663335,0.015634457390842713,0.999998721992597,0.59375
sf_sink1_21_minus_sf_fifo21,late_half,visual_quality,0.0007221232890151381,-0.014075987175747285,0.01645700354684958,0.999998721992597,0.53125
sf_sink1_21_minus_sf_fifo21,late_half,dynamic_degree,0.0,0.0,0.0,,0.0
sf_sink1_13_minus_sf_sink1_21,late_half,quality_without_dynamic_degree,-0.48416182650267725,-0.9238829877799506,0.01168998159880787,0.999998721992597,0.25
sf_sink1_13_minus_sf_sink1_21,late_half,official_quality_score,-0.48416182650267725,-0.918326941507651,0.01300269640785208,,0.25
sf_sink1_13_minus_sf_sink1_21,late_half,identity_background,-0.0012829579405665946,-0.004432070936760456,0.002041670603233013,0.999998721992597,0.3125
sf_sink1_13_minus_sf_sink1_21,late_half,temporal_mechanics,-0.005206352040959872,-0.008396656928304515,-0.0022194090321531468,0.999998721992597,0.15625
sf_sink1_13_minus_sf_sink1_21,late_half,semantic_alignment,0.00530634997994639,-0.001540925895096734,0.011503201336745402,0.2507700875867158,0.71875
sf_sink1_13_minus_sf_sink1_21,late_half,visual_quality,0.0010977942124009016,-0.006369525559217446,0.008533179552643532,0.999998721992597,0.53125
sf_sink1_13_minus_sf_sink1_21,late_half,dynamic_degree,0.0,0.0,0.0,,0.0
sf_sink1_9_minus_sf_sink1_21,late_half,quality_without_dynamic_degree,-0.3974400184665443,-0.8179495402129617,0.031247665434230923,0.999998721992597,0.34375
sf_sink1_9_minus_sf_sink1_21,late_half,official_quality_score,-0.3974400184665443,-0.8117274002340977,0.04470198099976135,,0.34375
sf_sink1_9_minus_sf_sink1_21,late_half,identity_background,-0.00023801686949401213,-0.0033336248033985568,0.0030543159618359136,0.999998721992597,0.375
sf_sink1_9_minus_sf_sink1_21,late_half,temporal_mechanics,-0.0035398929274729797,-0.006288947479060748,-0.0005174373875000236,0.999998721992597,0.21875
sf_sink1_9_minus_sf_sink1_21,late_half,semantic_alignment,0.005818164121592417,-0.002784314938617172,0.013985789018624925,0.4175204977703591,0.6875
sf_sink1_9_minus_sf_sink1_21,late_half,visual_quality,-0.0024018399615306375,-0.013106432824220969,0.0072639883441443075,0.999998721992597,0.5
sf_sink1_9_minus_sf_sink1_21,late_half,dynamic_degree,0.0,0.0,0.0,,0.0
sf_sink1_9_minus_sf_sink1_13,late_half,quality_without_dynamic_degree,0.08672180803613294,-0.19951139046843414,0.3583602174766036,0.999998721992597,0.59375
sf_sink1_9_minus_sf_sink1_13,late_half,official_quality_score,0.08672180803613294,-0.19612133514489724,0.35299200902835415,,0.59375
sf_sink1_9_minus_sf_sink1_13,late_half,identity_background,0.0010449410710725825,-0.0018579338974658046,0.0035031455133929528,0.5509208259172738,0.65625
sf_sink1_9_minus_sf_sink1_13,late_half,temporal_mechanics,0.001666459113486892,-0.0005894953630102881,0.0040331213126619915,0.999998721992597,0.59375
sf_sink1_9_minus_sf_sink1_13,late_half,semantic_alignment,0.0005118141416460276,-0.006850668265542481,0.007881041982909658,0.999998721992597,0.5625
sf_sink1_9_minus_sf_sink1_13,late_half,visual_quality,-0.003499634173931539,-0.01339145381291745,0.006027888222568443,0.999998721992597,0.5
sf_sink1_9_minus_sf_sink1_13,late_half,dynamic_degree,0.0,0.0,0.0,,0.0
sf_sink3_9_minus_sf_sink1_9,late_half,quality_without_dynamic_degree,0.2725443617138077,-0.11258873671987141,0.6749571078668303,0.999998721992597,0.59375
sf_sink3_9_minus_sf_sink1_9,late_half,official_quality_score,0.2725443617138077,-0.10880192203260806,0.6600026461398356,,0.59375
sf_sink3_9_minus_sf_sink1_9,late_half,identity_background,-0.000417124522291,-0.0028174024621197336,0.0018810756912024415,0.999998721992597,0.53125
sf_sink3_9_minus_sf_sink1_9,late_half,temporal_mechanics,-0.0014265177380262464,-0.003747170429406469,0.0008982315438892599,0.999998721992597,0.40625
sf_sink3_9_minus_sf_sink1_9,late_half,semantic_alignment,0.007858016964746639,-0.0014383387489942832,0.018221486979746255,0.999998721992597,0.53125
sf_sink3_9_minus_sf_sink1_9,late_half,visual_quality,0.013384971999330454,0.001293125701311526,0.026961033036233848,0.999998721992597,0.5625
sf_sink3_9_minus_sf_sink1_9,late_half,dynamic_degree,0.0,0.0,0.0,,0.0
