candidate,control,window,prompt_count,metric,mean_delta,median_delta,win_fraction,tie_fraction,bootstrap_ci_lower,bootstrap_ci_upper,p_value,q_value,inferential_role
ours_correct,sf_fifo21,early_half,64,dynamic_degree,-0.0010416666666666673,0.0,0.21875,0.546875,-0.026041666666666664,0.02395833333333333,0.644464448094368,,
ours_correct,sf_fifo21,early_half,64,subject_consistency,0.00025551912654287086,-3.808399722304845e-05,0.484375,0.0,-0.0007371806849612156,0.0013241954747752207,0.646009622932618,,
ours_correct,sf_fifo21,early_half,64,background_consistency,0.00044905308628210606,0.00029684127812595884,0.609375,0.0,-0.0002144491959081592,0.0011089508392794027,0.051710939158040446,,
ours_correct,sf_fifo21,early_half,64,temporal_flickering,-0.0006981486269558856,1.560186248988904e-05,0.53125,0.0,-0.002287343033321586,0.0004647282558597109,0.353990377067382,,
ours_correct,sf_fifo21,early_half,64,motion_smoothness,-0.0003321555720088836,4.9029936642353e-06,0.5,0.0,-0.001993445467813828,0.0007928842669524769,0.5496733768739834,,
ours_correct,sf_fifo21,early_half,64,overall_consistency,0.0005046999314799912,0.00013106912374495627,0.5,0.0,-0.0017550298208758868,0.0026897112833103197,0.5496733768739834,,
ours_correct,sf_fifo21,early_half,64,aesthetic_quality,5.12440999348978e-05,0.0016023357709248898,0.515625,0.0,-0.0044413715166350225,0.004401820633405206,0.45032662312601657,,
ours_correct,sf_fifo21,early_half,64,imaging_quality,0.002433546663882827,-0.0008292798201243179,0.4375,0.0,-0.0019464408889723272,0.007218448400582805,0.8697822617116733,,
ours_correct,sf_fifo21,early_half,64,temporal_style,0.0005046999314799912,0.00013106912374495627,0.5,0.0,-0.0018589683540631088,0.0027886600990314034,0.5496733768739834,,
ours_correct,sf_fifo21,late_half,64,quality_without_dynamic_degree,0.24322488268534648,-0.03418416598454854,0.46875,0.0,-0.6004729484651594,1.3868809412974334,0.7338456119860789,,
ours_correct,sf_fifo21,late_half,64,official_quality_score,0.19514795960842246,0.01522917742888552,0.515625,0.0,-0.6986125294702195,1.2393798629713373,0.45032662312601657,,
ours_correct,sf_fifo21,late_half,64,identity_background,0.0005986603439324598,-0.0002745944667843503,0.421875,0.0,-0.0021049251263048417,0.00397086219741692,0.9156785442801483,,
ours_correct,sf_fifo21,late_half,64,temporal_mechanics,0.0021918857621729664,-3.740988961559166e-05,0.46875,0.0,-0.004489561454912313,0.010835656219158685,0.7338456119860789,,
ours_correct,sf_fifo21,late_half,64,semantic_alignment,-0.003952902735909446,-0.004512629906336468,0.40625,0.0,-0.010894498666069313,0.0027706139046252535,0.9482890608419595,,
ours_correct,sf_fifo21,late_half,64,visual_quality,0.0003904558741487556,0.0009385956525801986,0.5,0.0,-0.00989729434629747,0.010532892743024665,0.5496733768739834,,
