probe_name,policy,rank_group,target,context,unit_count,calibrated_layer_count,calibration_clipped_count,calibration_degenerate_count,calibration_max_relative_error,calibration_scale_min,calibration_scale_max,target_consistent,policy_or_shift_valid,integrity_pass
policy_random6_policy_contrast_t020,policy_contrast,random6,0.02,noisy_t1000,64,1920,0,0,0.018177088350057602,0.03563299402594566,4.346607685089111,1,1,1
policy_random6_policy_contrast_t020,policy_contrast,random6,0.02,noisy_t500,64,1920,0,0,0.017927587032318115,0.04711221158504486,5.93642520904541,1,1,1
policy_random6_value_shift_t020,value_shift,random6,0.02,noisy_t1000,64,1920,0,0,0.022578146308660507,0.07230191677808762,10.659491539001465,1,1,0
policy_random6_value_shift_t020,value_shift,random6,0.02,noisy_t500,64,1920,0,0,0.019136909395456314,0.06677298992872238,13.112071990966797,1,1,1
policy_random7_key_shift_t020,key_shift,random7,0.02,noisy_t1000,64,1920,0,0,0.02091042697429657,0.06320887804031372,16.064861297607422,1,1,0
policy_random7_key_shift_t020,key_shift,random7,0.02,noisy_t500,64,1920,0,0,0.017612427473068237,0.05869385600090027,21.911367416381836,1,1,1
policy_random7_policy_contrast_t020,policy_contrast,random7,0.02,noisy_t1000,64,1920,0,0,0.02098875120282173,0.05910591408610344,7.649785995483398,1,1,0
policy_random7_policy_contrast_t020,policy_contrast,random7,0.02,noisy_t500,64,1920,0,0,0.018086843192577362,0.053078241646289825,7.628021717071533,1,1,1
policy_random7_value_shift_t020,value_shift,random7,0.02,noisy_t1000,64,1920,0,0,0.01748381182551384,0.062277715653181076,17.016008377075195,1,1,1
policy_random7_value_shift_t020,value_shift,random7,0.02,noisy_t500,64,1920,0,0,0.017434358596801758,0.059595994651317596,25.42669105529785,1,1,1
policy_top4_key_shift_t020,key_shift,top4,0.02,noisy_t1000,64,1920,0,0,0.024179276078939438,0.0756608173251152,6.694382667541504,1,1,0
policy_top4_key_shift_t020,key_shift,top4,0.02,noisy_t500,64,1920,0,0,0.026285555213689804,0.06603340804576874,8.452960014343262,1,1,0
policy_top4_policy_contrast_t020,policy_contrast,top4,0.02,noisy_t1000,64,1920,0,0,0.02193097025156021,0.03571503236889839,5.4627685546875,1,1,0
policy_top4_policy_contrast_t020,policy_contrast,top4,0.02,noisy_t500,64,1920,0,0,0.018581468611955643,0.04452258348464966,5.185522556304932,1,1,1
policy_top4_value_shift_t020,value_shift,top4,0.02,noisy_t1000,64,1920,0,0,0.021384935826063156,0.07423242181539536,6.895556449890137,1,1,0
policy_top4_value_shift_t020,value_shift,top4,0.02,noisy_t500,64,1920,0,0,0.02218363806605339,0.06696172058582306,7.411717414855957,1,1,0
