episode_label,boundary_phase,layer,head,switch_residual,switch_residual_samples,paraphrase_residual,paraphrase_residual_samples,parity_residual,parity_residual_samples,residual_log_ratio,residual_log_ratio_samples,query_log_ratio,query_log_ratio_samples,prompt_history_excess,prompt_history_excess_samples,native_log_ratio,native_log_ratio_samples,current_key_log_ratio,current_key_log_ratio_samples,switch_temporal_js,switch_temporal_js_samples,paraphrase_temporal_js,paraphrase_temporal_js_samples,temporal_js_excess,temporal_js_excess_samples,switch_temporal_w1,switch_temporal_w1_samples,paraphrase_temporal_w1,paraphrase_temporal_w1_samples,temporal_w1_excess,temporal_w1_excess_samples,previous_episode_mass,previous_episode_mass_samples,returned_a1_mass,returned_a1_mass_samples
A1,pre_b,3,3,0.008901544380933046,96,0.0046326713636517525,96,0.0,96,0.7674527406513283,96,0.572346788645899,96,0.08148801855462479,96,0.749189433757389,96,0.6517346959749051,96,2.7134286938235164e-05,96,1.1085554433520883e-05,96,1.4738536265213042e-05,96,0.02626922633498907,96,0.017139162868261337,96,0.006062787026166916,96,0.0,96,0.0,96
A1,pre_b,3,4,0.012580069247633219,96,0.004478490445762873,96,0.0,96,0.6998252816699206,96,0.6708082352826099,96,0.13481903308239224,96,0.4758813541751903,96,0.6292354405678785,96,8.401038940064609e-05,96,1.882314245449379e-05,96,4.173320485278964e-05,96,0.08707302808761597,96,0.04349160194396973,96,0.04438796639442444,96,0.0,96,0.0,96
A1,pre_b,3,5,0.008254164597019553,96,0.006514454027637839,96,0.0,96,0.39659701560778593,96,0.6073731246297028,96,-0.33341983623871885,96,0.4936705927908297,96,0.790782449421144,96,3.654589454527013e-05,96,1.9691287889145315e-05,96,6.971545190026518e-06,96,0.03582482412457466,96,0.028410854749381542,96,0.003807713743299246,96,0.0,96,0.0,96
A1,pre_b,3,6,0.007093720603734255,96,0.0031021235045045614,96,0.0,96,0.46062336327792097,96,0.7482204024569592,96,-0.16675563197739035,96,0.5070054478991392,96,0.6882490289873437,96,6.313960329862311e-05,96,1.5378871466964483e-05,96,3.508321242406964e-05,96,0.057153984904289246,96,0.025685910135507584,96,0.02766128070652485,96,0.0,96,0.0,96
A1,pre_b,3,7,0.0032479838700965047,96,0.0016969804419204593,96,0.0,96,0.4426517042740322,96,0.5893245651843445,96,-0.10919021599597226,96,0.5307367928361756,96,0.562416717648856,96,2.715551818255335e-05,96,1.1426021956140175e-05,96,9.509115443506744e-06,96,0.01791045069694519,96,0.011153191328048706,96,0.002997845411300659,96,0.0,96,0.0,96
A1,pre_b,3,8,0.016528049483895302,96,0.004272727062925696,96,0.0,96,0.9867911908154086,96,0.8145958869912213,96,0.14224006089301716,96,0.5854459116848862,96,0.6764023094032648,96,0.0001293228124268353,96,1.549594890093431e-05,96,0.00011416955749155022,96,0.10245800763368607,96,0.027543973177671432,96,0.07991418242454529,96,0.0,96,0.0,96
A1,pre_b,3,9,0.007689040387049317,96,0.003319644834846258,96,0.0,96,0.6961691460448333,96,0.6908896967111026,96,0.039802111362136794,96,0.6186433543487371,96,0.6684097405311519,96,7.613068009959534e-05,96,1.7470549209974706e-05,96,2.746392783592455e-05,96,0.07896395027637482,96,0.040455976501107216,96,0.02263784408569336,96,0.0,96,0.0,96
A1,pre_b,3,10,0.010612102691084146,96,0.004660910228267312,96,0.0,96,0.7422490704700705,96,0.6775599360378849,96,0.09161830686754119,96,0.6059446665874246,96,0.7234026273834717,96,2.6586167223285884e-05,96,6.337770173558965e-06,96,1.3286391549627297e-05,96,0.03798178769648075,96,0.016158683225512505,96,0.017274517565965652,96,0.0,96,0.0,96
A1,pre_b,3,11,0.008855302352458239,96,0.003891380620189011,96,0.0,96,0.7412128201192061,96,0.6945724551817614,96,0.01408075502997358,96,0.6401021079193037,96,0.709783677589247,96,4.2145347833866253e-05,96,9.044655598700047e-06,96,3.265391569584608e-05,96,0.052136367186903954,96,0.02902890183031559,96,0.025734856724739075,96,0.0,96,0.0,96
A1,pre_b,4,0,0.007894530892372131,96,0.0056729246862232685,96,0.0,96,0.24917574136476467,96,0.4794423848196695,96,-0.13251458301887695,96,0.5327447308941871,96,0.5266239931385616,96,6.114767165854573e-05,96,2.4860135454218835e-05,96,2.1892155928071588e-05,96,0.06420977786183357,96,0.05013550817966461,96,0.011111930012702942,96,0.0,96,0.0,96
A1,pre_b,4,1,0.00835794908925891,96,0.005852061556652188,96,0.0,96,0.30986589862937264,96,0.4758632487584483,96,-0.19217103242947361,96,0.2700242398379568,96,0.5732449464932461,96,4.301311855670065e-05,96,1.866203820100054e-05,96,2.1370453396230005e-05,96,0.04353349283337593,96,0.024197513237595558,96,0.011800253763794899,96,0.0,96,0.0,96
A1,pre_b,4,2,0.015569519251585007,96,0.0072346937377005816,96,0.0,96,0.5847757621745099,96,0.6193561410268882,96,0.10641920718274944,96,0.5144716070126034,96,0.5769035285127742,96,0.0001912690349854529,96,3.73023867723532e-05,96,0.0001262590812984854,96,0.10623665153980255,96,0.038321394473314285,96,0.0329469982534647,96,0.0,96,0.0,96
A1,pre_b,4,3,0.002721195691265166,96,0.001664184790570289,96,0.0,96,0.32056510209570943,96,0.4055439491738402,96,0.1271247560269566,96,0.30311272068680284,96,0.4044865974539333,96,3.937971450795885e-05,96,1.9951477952417918e-05,96,1.5177901332208421e-05,96,0.09418827295303345,96,0.0661664605140686,96,0.043735966086387634,96,0.0,96,0.0,96
A1,pre_b,4,4,0.011744751129299402,96,0.007721301168203354,96,0.0,96,0.34782308534782735,96,0.5060414217299841,96,-0.052952363654984014,96,0.4602450785009168,96,0.5278330506603515,96,0.00010086599650094286,96,4.643226566258818e-05,96,4.836390144191682e-05,96,0.1043497622013092,96,0.07013382017612457,96,0.0021956712007522583,96,0.0,96,0.0,96
A1,pre_b,4,5,0.003773592645302415,96,0.0023247082717716694,96,0.0,96,0.5573622645880123,96,0.46029821705709034,96,0.09276855563853405,96,0.5315325760388807,96,0.5089789311646795,96,4.499118949752301e-05,96,1.3223954738350585e-05,96,1.9214796338928863e-05,96,0.03549164533615112,96,0.017430752515792847,96,0.010076671838760376,96,0.0,96,0.0,96
A1,pre_b,4,6,0.008429572917521,96,0.005886362167075276,96,0.0,96,0.28703987635691025,96,0.5832161760064585,96,-0.25088766804400087,96,0.5961934774694302,96,0.6582680637320064,96,1.9990031432826072e-05,96,7.262233339133672e-06,96,9.179222615784965e-06,96,0.04418163187801838,96,0.02526237443089485,96,0.01566384546458721,96,0.0,96,0.0,96
A1,pre_b,4,7,0.006717308424413204,96,0.004679960431531072,96,0.0,96,0.4372771778856256,96,0.5800921162214604,96,-0.0976514586240767,96,0.4684119878166072,96,0.5274378766242906,96,2.457082155160606e-05,96,8.551154678571038e-06,96,1.3962991943117231e-05,96,0.04120641201734543,96,0.028012145310640335,96,0.011138278990983963,96,0.0,96,0.0,96
A1,pre_b,4,8,0.007607165724039078,96,0.0041575124487280846,96,0.0,96,0.5093398418700098,96,0.49097050207963033,96,-0.05612002137802072,96,0.5205422084232378,96,0.5177873284457649,96,2.752225009317044e-05,96,1.2035183317493647e-05,96,4.154298949288204e-06,96,0.036459458991885185,96,0.025766637176275253,96,0.01014401763677597,96,0.0,96,0.0,96
A1,pre_b,4,9,0.010294228792190552,96,0.005339693510904908,96,0.0,96,0.5024328121123691,96,0.5299171950155884,96,0.03913561453680803,96,0.33608602887797767,96,0.4491934611977184,96,2.6392124709673226e-05,96,1.2468532077036798e-05,96,7.02761599313817e-06,96,0.025637339800596237,96,0.016154457814991474,96,0.00978999212384224,96,0.0,96,0.0,96
A1,pre_b,4,10,0.01024198206141591,96,0.008008128497749567,96,0.0,96,0.41764201420516583,96,0.5673781443130681,96,-0.18434561026229418,96,0.5049684631401608,96,0.4953000930498617,96,5.0822345656342804e-05,96,1.5380646800622344e-05,96,2.8582224331330508e-05,96,0.06282070651650429,96,0.02574560046195984,96,0.024350736290216446,96,0.0,96,0.0,96
A1,pre_b,4,11,0.009525800589472055,96,0.003768193651922047,96,0.0,96,0.5663581713638577,96,0.5083827089203257,96,0.10575107914388496,96,0.40085070504701636,96,0.5515476487241338,96,7.412433114950545e-05,96,1.982661706279032e-05,96,4.015878221252933e-05,96,0.07078708708286285,96,0.03547392040491104,96,0.03158101253211498,96,0.0,96,0.0,96
