layer,head,cluster,validation_cluster,split_agree,cluster_margin,pf_official,legacy_v98
20,8,1,1,1,0.5131635505472578,-1,11
20,9,1,1,1,0.7994874059971989,-1,10
20,10,0,0,1,0.4517226270831029,1,10
20,11,1,1,1,0.4912924321318381,-1,10
21,0,1,1,1,0.4761468633212031,-1,10
21,1,0,0,1,0.5988927358330908,1,10
21,2,0,0,1,0.3762159636426598,1,10
21,3,1,1,1,0.6136087675536087,-1,11
21,4,0,0,1,0.48873462501645637,1,10
21,5,1,1,1,0.36484150250339503,1,10
21,6,0,0,1,0.5077869641537338,1,10
21,7,0,0,1,0.41402167589418776,1,10
21,8,1,1,1,0.32344598916783907,2,11
21,9,1,1,1,0.4893082729083991,-1,11
21,10,1,1,1,0.6568879073791649,-1,10
21,11,1,1,1,0.4216700254936512,-1,10
22,0,0,0,1,0.6105949915711332,1,10
22,1,0,0,1,0.5249713123501385,1,10
22,2,0,0,1,0.13869100828061767,1,10
22,3,0,0,1,0.41120829948668214,2,11
22,4,0,0,1,0.6724317066795805,1,10
22,5,0,0,1,0.5584390597002269,1,10
22,6,1,1,1,0.08044546967616412,1,10
22,7,1,1,1,0.38743159763134155,1,10
22,8,0,0,1,0.5060249285606838,2,11
22,9,0,0,1,0.6151807666037487,1,10
22,10,0,0,1,0.7535786256091502,1,10
22,11,1,1,1,0.5307348843015538,-1,11
23,0,0,0,1,0.47240037091363635,1,10
23,1,1,1,1,0.44674260364854856,2,11
23,2,0,0,1,0.3966424773355975,1,10
23,3,0,0,1,0.5828644509037966,1,10
23,4,0,0,1,0.5144512182062935,1,10
23,5,0,0,1,0.4489640507815747,1,10
23,6,0,0,1,0.5271617901284937,1,10
23,7,1,1,1,0.6024375468890901,-1,10
23,8,0,0,1,0.5190645949038769,1,10
23,9,0,0,1,0.35180926155435854,-1,10
23,10,1,1,1,0.5815917635728832,2,11
23,11,0,0,1,0.37683101641230116,-1,10
24,0,0,0,1,0.4934966434438564,1,11
24,1,0,0,1,0.39110768643693744,1,11
24,2,1,1,1,0.465501203717447,-1,11
24,3,0,0,1,0.5219508499588367,1,10
24,4,0,0,1,0.544847930923955,1,10
24,5,0,0,1,0.4156493597321307,-1,10
24,6,0,0,1,0.5439278360577068,1,10
24,7,0,0,1,0.4281654224250994,-1,10
24,8,0,0,1,0.2844601348179528,-1,10
24,9,0,0,1,0.4887355986015241,1,10
24,10,0,0,1,0.4219429403835432,1,10
24,11,0,0,1,0.43814451191668013,2,10
25,0,0,0,1,0.6795946366018628,1,10
25,1,0,0,1,0.5200560316417487,-1,10
25,2,0,0,1,0.49345903779598843,1,10
25,3,0,0,1,0.5354892685089173,1,10
25,4,0,0,1,0.7419282050919366,1,10
25,5,0,0,1,0.48701536536240564,1,10
25,6,1,1,1,0.6166076133434937,-1,10
25,7,1,1,1,0.2659652686345223,-1,11
25,8,0,0,1,0.6192612331769558,1,10
25,9,1,1,1,0.4934788374936995,-1,10
25,10,0,0,1,0.4153409564652154,-1,10
25,11,1,1,1,0.19618746290025194,2,11
26,0,0,0,1,0.42734428023766835,1,10
26,1,1,1,1,0.3896140426093774,-1,11
26,2,0,0,1,0.5967498947313761,1,10
26,3,0,0,1,0.20217512049094644,1,10
26,4,1,1,1,0.555662190517741,-1,10
26,5,1,1,1,0.5605392226125613,-1,10
26,6,0,0,1,0.49092640350182054,1,10
26,7,1,1,1,0.6969325834781455,-1,10
26,8,0,0,1,0.46683862991356095,1,10
26,9,0,0,1,0.5932503673637713,1,10
26,10,1,1,1,0.5992521325678287,2,11
26,11,0,0,1,0.5912577493949734,1,10
27,0,0,0,1,0.37638899169875034,1,10
27,1,1,1,1,0.378072352990382,-1,10
27,2,0,0,1,0.38164503360613733,1,10
27,3,1,1,1,0.22808693493792823,-1,11
27,4,0,0,1,0.2171388037509441,1,10
27,5,0,0,1,0.0867955325201116,1,10
27,6,1,1,1,0.4685259548498099,-1,10
27,7,1,1,1,0.4477103023064843,-1,10
27,8,0,0,1,0.6130433012877402,1,10
27,9,1,1,1,0.7019809907110426,2,11
27,10,1,1,1,0.4421617354499873,-1,10
27,11,1,1,1,0.29189942576041245,1,10
28,0,1,1,1,0.011537758472405228,-1,10
28,1,1,1,1,0.1719392127124638,-1,10
28,2,0,0,1,0.2762394635044829,1,10
28,3,0,0,1,0.25798442296990737,1,10
28,4,1,1,1,0.15082619537675332,1,10
28,5,1,1,1,0.5029213027629006,-1,10
28,6,1,1,1,0.5057387287210613,-1,10
28,7,1,1,1,0.3016800890296221,1,10
28,8,1,1,1,0.327339633295487,1,10
28,9,0,0,1,0.15065377014217968,1,10
28,10,1,1,1,0.4143331545945802,-1,10
28,11,1,1,1,0.2905630753190744,1,10
29,0,1,1,1,0.42999295908673446,-1,10
29,1,0,0,1,0.02769298154914273,1,10
29,2,1,1,1,0.3679619214734764,-1,10
29,3,0,0,1,0.42588986707515936,1,11
29,4,1,1,1,0.5421486150034911,-1,10
29,5,1,1,1,0.4930924019315626,-1,10
29,6,1,0,0,0.024559305910103503,1,10
29,7,1,1,1,0.2051035346063706,-1,10
29,8,0,0,1,0.31504318306367746,1,10
29,9,1,1,1,0.31898576333810424,1,10
29,10,1,1,1,0.4580822255310951,-1,10
29,11,1,1,1,0.5464093470010252,-1,10
