layer,head,discovery_raw__v136_prompt__age_js_score,validation_raw__v136_prompt__age_js_score,discovery_weighted__v136_prompt__age_js_score,validation_weighted__v136_prompt__age_js_score,discovery_raw__v136_prompt__cphi_score,validation_raw__v136_prompt__cphi_score,discovery_weighted__v136_prompt__cphi_score,validation_weighted__v136_prompt__cphi_score,discovery_raw__v136_temporal__middle_recent_margin,validation_raw__v136_temporal__middle_recent_margin,discovery_weighted__v136_temporal__middle_recent_margin,validation_weighted__v136_temporal__middle_recent_margin,discovery_raw__v136_temporal__old_mass_excess,validation_raw__v136_temporal__old_mass_excess,discovery_weighted__v136_temporal__old_mass_excess,validation_weighted__v136_temporal__old_mass_excess,discovery_raw__v136_temporal__spectral_peak_ratio,validation_raw__v136_temporal__spectral_peak_ratio,discovery_weighted__v136_temporal__spectral_peak_ratio,validation_weighted__v136_temporal__spectral_peak_ratio,discovery_raw__v136_temporal__temporal_reach_ratio,validation_raw__v136_temporal__temporal_reach_ratio,discovery_weighted__v136_temporal__temporal_reach_ratio,validation_weighted__v136_temporal__temporal_reach_ratio,discovery_raw__v138_cross__history_specificity,validation_raw__v138_cross__history_specificity,discovery_weighted__v138_cross__history_specificity,validation_weighted__v138_cross__history_specificity
1,8,-0.46500191046021866,-0.4134637505533568,-5.3378593447334435,-4.664742000907643,-0.8249624908476823,-0.6966101111174335,-0.9651474843625412,-0.7148753399937705,0.36542434990406036,0.3304886966943741,0.7947002127291741,0.7786923218942811,0.19150158762931824,0.18980100750923157,0.6692214520292398,0.6662846446112148,0.9158637225627899,0.9113754034042358,1.2060727062752132,1.1920971439985506,0.31202414631843567,0.32073333859443665,0.005091764970175966,0.03520634913274188,-0.01119038462638855,-0.007289618253707886,-0.24967470700663205,-0.19172471006433914
1,9,-0.3270788752571414,-0.2907156146138258,-3.5365069628078496,-3.0615823348951046,-0.41839548547189603,-0.19612463131421903,-0.17238932530982212,0.26101287118728134,-0.6949689984321594,-0.6696937382221222,0.30881661237598196,0.32039800757238296,-0.039759933948516846,-0.03299269080162048,0.2698456484129373,0.28153230147834585,0.5871635973453522,0.5851118266582489,0.1825784073976207,0.17618967967971916,0.34044770896434784,0.34975989162921906,0.10337456116689994,0.1355741612803583,-0.015065133571624756,-0.008194565773010254,-0.3072381876347432,-0.20516865952611352
1,10,-0.02422286919494072,-0.06601210113249467,0.41896274605805234,-0.12682811751101156,-0.6969258707376447,-0.6263157068785212,-0.7154910343612718,-0.5778094646046934,-1.1420607566833496,-1.123146653175354,0.10395437561433776,0.11262102061389122,-0.09542238712310791,-0.09328451752662659,0.173719683245078,0.1774116653019989,0.5762161612510681,0.5622207522392273,0.14849068558000791,0.10491229836581512,0.15659214556217194,0.1691199094057083,-0.5323599205585531,-0.48904150632689963,0.030312955379486084,0.029306143522262573,0.3669011646681807,0.35194391307367634
1,11,-0.7623368140842163,-0.4673256483130706,-9.221220351718845,-5.368208667528163,-0.7124308556909285,-0.6211985396810975,-0.7457239434886228,-0.5678315864361365,-1.570074737071991,-1.5706689953804016,-0.0921662188037951,-0.09243851433156637,-0.24902206659317017,-0.24416828155517578,-0.09153843235075924,-0.08315621516692323,0.4685421586036682,0.4741012454032898,-0.18678064348944093,-0.16947096451498178,0.15122827142477036,0.15742714703083038,-0.5509070870499054,-0.5294726583180497,0.005123138427734375,0.029498621821403503,-0.007320123116293317,0.35480338113225923
2,0,-0.10975923456466924,-0.13151215562188556,-0.6981902753582038,-0.9822956541483434,-0.35971814480090736,-0.3830929884479981,-0.05797536659360258,-0.1035535806955687,-1.9353309273719788,-1.9119489789009094,-0.25953052099666174,-0.248816661536659,-0.1954752802848816,-0.1911352276802063,0.0009338936420695321,0.008428923446004492,0.5035243928432465,0.5040087699890137,-0.07785425569897647,-0.07634602004840775,0.18271831423044205,0.19229435920715332,-0.44202103719573443,-0.4089090558251608,0.05162385106086731,0.06840458512306213,0.6834969875359004,0.9327924835195122
2,1,-0.04869846799008899,-0.03940903509408425,0.09929766528471493,0.22062288154984225,-0.0823153402633508,-0.227946532924132,0.48292769177924955,0.19896388097344386,-1.8228285908699036,-1.8515388369560242,-0.20798074430903712,-0.22113608685926908,-0.17566287517547607,-0.19169184565544128,0.035148816894995744,0.007467675117056122,0.5275545716285706,0.5392159819602966,-0.003029973318436262,0.03328089508630967,0.15419373661279678,0.16491221636533737,-0.5406531222554817,-0.5035908379042565,0.003873199224472046,0.007573485374450684,-0.025889287759016156,0.029082364113974718
2,2,-0.11724378175439441,-0.09874933279839007,-0.7959426695684578,-0.5543947683767035,-1.203305255423035,-1.2751114609873178,-1.7028716714456675,-1.8428853827872622,-1.9305184483528137,-1.9371117949485779,-0.25732539151699746,-0.2603465336123839,-0.2942297160625458,-0.3032185435295105,-0.16960953217425204,-0.1851327379747426,0.821222573518753,0.8236222863197327,0.9113825949717281,0.9188547319814767,0.1857147514820099,0.1890975534915924,-0.43165997741653506,-0.4199629482783006,-0.011298567056655884,-0.007152676582336426,-0.25128187106216443,-0.18969029716208807
2,3,-0.08868316849550975,-0.08928419010553507,-0.422925003249005,-0.43077468337831604,-0.17189826620109125,-0.35511806511478505,0.30825145266014475,-0.04900574865794282,0.4497537910938263,0.41319769620895386,0.8333408667518967,0.8165904721691848,0.1705162227153778,0.15688243508338928,0.6329808923394795,0.6094360983127446,0.9182645380496979,0.9123904705047607,1.2135482767876427,1.1952578224122816,0.5968032777309418,0.614986926317215,0.9897990545653713,1.0526743475179443,-0.007664591073989868,-0.008267402648925781,-0.19729532663368032,-0.20625072810785489
2,4,-0.019806087396552093,-0.14099616840173948,0.4766483995187547,-1.1061621930919516,0.030119121184109393,-0.2392355524111603,0.7021617552733771,0.17695161193116163,0.48636777698993683,0.47711488604545593,0.8501177876165893,0.8458780137884775,0.17462271451950073,0.17629799246788025,0.6400725756127099,0.6429656875854665,0.8576637506484985,0.8590921759605408,1.0248517852010002,1.0292995631331825,0.6289829909801483,0.6473843455314636,1.1010698420574396,1.1646979171738672,-0.009118348360061646,-0.013147801160812378,-0.2188924237766197,-0.27875419327863404
2,5,-0.06121930484463624,-0.020541686998524558,-0.06423150341746303,0.46704105515306854,-0.5745908681346208,-0.4916879360904298,-0.4769520723477579,-0.31530104086112937,-0.8243303000926971,-0.8278363049030304,0.24954187711305562,0.24793538812217958,-0.1430361270904541,-0.14451000094413757,0.09149339876464639,0.08894810047754773,0.888982743024826,0.8856124579906464,1.122371705896368,1.1118774369459272,0.14419527351856232,0.14925190061330795,-0.5752257380395357,-0.5577409682241941,-0.02532312273979187,-0.035510897636413574,-0.4596314314579673,-0.6109815682523114
