comparison,channel,family,intervention,comparison_group,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
susceptibility:signed:uniform:high>random_ensemble,susceptibility,signed,uniform,high>random_ensemble,mean_raw_projected_relative_rms,paired_log_ratio,pooled,256,32,0.21393531412615807,0.2181482152098857,1.0,0.20275773936825917,0.22416783871328969,0.35227272727272724
susceptibility:signed:uniform:random_ensemble>low,susceptibility,signed,uniform,random_ensemble>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.322044262016305,0.3324779068800965,1.0,0.29544195415211066,0.3478858348999297,0.6491935483870966
susceptibility:signed:uniform:random_ensemble>low,susceptibility,signed,uniform,random_ensemble>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t250,64,32,0.39833342421430695,0.4015587898799857,1.0,0.37967226792392134,0.41662178387485904,0.34860703812316707
susceptibility:signed:uniform:random_ensemble>low,susceptibility,signed,uniform,random_ensemble>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.3878859844554736,0.3885472008678603,1.0,0.3667755327543382,0.40850399032778856,0.5729472140762463
susceptibility:signed:uniform:random_ensemble>low,susceptibility,signed,uniform,random_ensemble>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t750,64,32,0.3746666180389896,0.3788288769764159,1.0,0.3506226381227823,0.39717592585909123,0.6055718475073314
susceptibility:signed:uniform:random_ensemble>low,susceptibility,signed,uniform,random_ensemble>low,mean_raw_projected_relative_rms,paired_log_ratio,pooled,256,32,0.37073257218126876,0.37748510473137764,1.0,0.34861565963681895,0.3927475834884693,0.5817448680351907
leverage:signed:uniform:high>low,leverage,signed,uniform,high>low,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.20798651460385964,0.1851249315475772,0.71875,0.1216609732199643,0.30627425699733307,0.24743401759530786
leverage:signed:uniform:high>low,leverage,signed,uniform,high>low,x0_relative_rms,paired_log_ratio,noisy_t250,64,32,0.20049054809797434,0.16859114209513834,0.9375,0.1579461665186793,0.25572023531788707,0.32697947214076245
leverage:signed:uniform:high>low,leverage,signed,uniform,high>low,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.20575070189997915,0.15069955721366224,0.9375,0.14005841462133714,0.30344628765206616,0.3251466275659824
leverage:signed:uniform:high>low,leverage,signed,uniform,high>low,x0_relative_rms,paired_log_ratio,noisy_t750,64,32,0.2160270990925709,0.15257446323492857,0.859375,0.13939294021360185,0.31480040627732797,0.29068914956011727
