comparison,group,context,metric,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
oracle_recent4:preferred_policy:x0,oracle_recent4,noisy_f117_t500,preferred_advantage_x0,128,64,0.051464649839868336,0.029074147855852384,0.5703125,0.020717788197864802,0.08583854852418502,0.22477106227106222
oracle_recent4:uniform_over_recent:x0,oracle_recent4,noisy_f117_t250,uniform_advantage_x0,128,64,-0.012834287078614816,0.008587968618580823,0.5390625,-0.032067784046009164,0.0065679878335140945,0.12774725274725274
oracle_recent4:preferred_policy:x0,oracle_recent4,noisy_f117_t250,preferred_advantage_x0,128,64,0.012834287078614816,-0.008587968618580823,0.4609375,-0.005226611042843614,0.03318572376334132,0.12774725274725274
oracle_uniform4:uniform_over_recent:x0,oracle_uniform4,noisy_f117_t1000,uniform_advantage_x0,128,64,0.5130157176264893,0.42545716904705455,0.953125,0.4411296575612526,0.5869609654069582,0.3119505494505494
oracle_uniform4:preferred_policy:x0,oracle_uniform4,noisy_f117_t1000,preferred_advantage_x0,128,64,0.5130157176264893,0.42545716904705455,0.953125,0.44232155314498794,0.5914465500587408,0.3119505494505494
oracle_uniform4:uniform_over_recent:x0,oracle_uniform4,noisy_f117_t750,uniform_advantage_x0,128,64,0.5183697524802249,0.38373467989359344,0.984375,0.439647629971583,0.6096536798224356,0.19212454212454208
oracle_uniform4:preferred_policy:x0,oracle_uniform4,noisy_f117_t750,preferred_advantage_x0,128,64,0.5183697524802249,0.38373467989359344,0.984375,0.44265565165693893,0.6051855856684383,0.19212454212454208
oracle_uniform4:uniform_over_recent:x0,oracle_uniform4,noisy_f117_t500,uniform_advantage_x0,128,64,0.48961495207014305,0.36453514861254654,0.96875,0.40598631687765885,0.5827693030454234,0.36506410256410254
oracle_uniform4:preferred_policy:x0,oracle_uniform4,noisy_f117_t500,preferred_advantage_x0,128,64,0.48961495207014305,0.36453514861254654,0.96875,0.4030706084858333,0.5790623851009842,0.36506410256410254
oracle_uniform4:uniform_over_recent:x0,oracle_uniform4,noisy_f117_t250,uniform_advantage_x0,128,64,0.4803519035247299,0.4089221517668078,1.0,0.4230084640952581,0.5453770181751331,0.2228021978021978
oracle_uniform4:preferred_policy:x0,oracle_uniform4,noisy_f117_t250,preferred_advantage_x0,128,64,0.4803519035247299,0.4089221517668078,1.0,0.4246105495276338,0.5471342494877899,0.2228021978021978
qk_recent4:uniform_over_recent:x0,qk_recent4,noisy_f117_t1000,uniform_advantage_x0,128,64,-0.055332444718739125,-0.0363996297369998,0.4140625,-0.10146507917619181,-0.014082522276707187,0.1875
qk_recent4:preferred_policy:x0,qk_recent4,noisy_f117_t1000,preferred_advantage_x0,128,64,0.055332444718739125,0.0363996297369998,0.5859375,0.011724067602748892,0.09941369996541655,0.1875
qk_recent4:uniform_over_recent:x0,qk_recent4,noisy_f117_t750,uniform_advantage_x0,128,64,-0.0021642916318243086,0.019965169819135757,0.53125,-0.04187654820918101,0.0381596479962174,0.186996336996337
qk_recent4:preferred_policy:x0,qk_recent4,noisy_f117_t750,preferred_advantage_x0,128,64,0.0021642916318243086,-0.019965169819135757,0.46875,-0.03643380346844027,0.04209719503102493,0.186996336996337
qk_recent4:uniform_over_recent:x0,qk_recent4,noisy_f117_t500,uniform_advantage_x0,128,64,0.04440818493866079,0.051297465580422426,0.65625,0.013835850839178073,0.07409220626665489,0.060714285714285714
qk_recent4:preferred_policy:x0,qk_recent4,noisy_f117_t500,preferred_advantage_x0,128,64,-0.04440818493866079,-0.051297465580422426,0.34375,-0.07366493585866288,-0.014468060691150988,0.060714285714285714
qk_recent4:uniform_over_recent:x0,qk_recent4,noisy_f117_t250,uniform_advantage_x0,128,64,0.0661967265782097,0.07370021949764319,0.78125,0.040750434523111834,0.08826864286856274,-0.0007326007326007325
qk_recent4:preferred_policy:x0,qk_recent4,noisy_f117_t250,preferred_advantage_x0,128,64,-0.0661967265782097,-0.07370021949764319,0.21875,-0.08918844660206651,-0.042149467586845436,-0.0007326007326007325
qk_uniform4:uniform_over_recent:x0,qk_uniform4,noisy_f117_t1000,uniform_advantage_x0,128,64,0.44378422431389225,0.372277646523485,0.96875,0.37306312247067824,0.518195417215794,0.32499999999999996
qk_uniform4:preferred_policy:x0,qk_uniform4,noisy_f117_t1000,preferred_advantage_x0,128,64,0.44378422431389225,0.372277646523485,0.96875,0.37539854998662364,0.5196626857562888,0.32499999999999996
qk_uniform4:uniform_over_recent:x0,qk_uniform4,noisy_f117_t750,uniform_advantage_x0,128,64,0.35648338310840993,0.2239687418883918,0.8671875,0.26697787484411667,0.4542980951834545,0.3858516483516483
qk_uniform4:preferred_policy:x0,qk_uniform4,noisy_f117_t750,preferred_advantage_x0,128,64,0.35648338310840993,0.2239687418883918,0.8671875,0.2694774868183588,0.4524315640483804,0.3858516483516483
qk_uniform4:uniform_over_recent:x0,qk_uniform4,noisy_f117_t500,uniform_advantage_x0,128,64,0.3263517680527395,0.1993588788796889,0.859375,0.22537074172740468,0.43399089442756444,0.6573260073260072
qk_uniform4:preferred_policy:x0,qk_uniform4,noisy_f117_t500,preferred_advantage_x0,128,64,0.3263517680527395,0.1993588788796889,0.859375,0.22761005566377362,0.44455352307407814,0.6573260073260072
qk_uniform4:uniform_over_recent:x0,qk_uniform4,noisy_f117_t250,uniform_advantage_x0,128,64,0.33784799428566037,0.2567195533127116,0.984375,0.2798650146291041,0.3970760766237873,0.28827838827838825
qk_uniform4:preferred_policy:x0,qk_uniform4,noisy_f117_t250,preferred_advantage_x0,128,64,0.33784799428566037,0.2567195533127116,0.984375,0.28014324169737886,0.4001752399746187,0.28827838827838825
random0:uniform_over_recent:x0,random0,noisy_f117_t1000,uniform_advantage_x0,128,64,0.26209946371107773,0.21600332683962048,0.8984375,0.21448713144931525,0.3136041135686974,0.20105311355311353
random0:uniform_over_recent:x0,random0,noisy_f117_t750,uniform_advantage_x0,128,64,0.2536278812947067,0.22906063591199144,0.90625,0.21194121482729136,0.29770625454672534,0.16135531135531136
random0:uniform_over_recent:x0,random0,noisy_f117_t500,uniform_advantage_x0,128,64,0.2756765561560586,0.25751140385468974,0.96875,0.24427351663216762,0.30853684886176674,0.2944139194139194
random0:uniform_over_recent:x0,random0,noisy_f117_t250,uniform_advantage_x0,128,64,0.25316772328669,0.22555718874754366,0.984375,0.22700310520626,0.2807342132294137,0.3013736263736263
