mode,current_frame,nominal_timestep,layer,head,best_policy,policy_need,recent_budget_loss,boundary_recent_loss,uniform_recent_loss
noisy,117,500,29,3,recent_budget,-0.015045750886201859,0.08581520617008209,0.10483431816101074,0.10086095705628395
noisy,117,500,29,4,boundary_recent,0.025073667988181114,0.06307560577988625,0.03800193779170513,0.05434986762702465
noisy,117,500,29,5,boundary_recent,0.07292627915740013,0.16421447694301605,0.09128819778561592,0.13579917699098587
noisy,117,500,29,6,boundary_recent,0.012166853994131088,0.08178543299436569,0.0696185790002346,0.0700061209499836
noisy,117,500,29,7,boundary_recent,0.08094263076782227,0.15926191210746765,0.07831928133964539,0.1340184211730957
noisy,117,500,29,8,recent_budget,-0.0017989836633205414,0.05628020316362381,0.05807918682694435,0.05906921811401844
noisy,117,500,29,9,boundary_recent,0.00077292718924582,0.00077292718924582,0.0,0.0
noisy,117,500,29,10,boundary_recent,0.06731152907013893,0.15852845460176468,0.09121692553162575,0.13173223286867142
noisy,117,500,29,11,boundary_recent,0.04942367132753134,0.07986725121736526,0.030443579889833927,0.06798388808965683
noisy,117,1000,0,0,recent_budget,-0.061712440103292465,0.11323252692818642,0.19539349526166916,0.17494496703147888
noisy,117,1000,0,1,boundary_recent,0.004382926970720291,0.06542650237679482,0.061043575406074524,0.06773865595459938
noisy,117,1000,0,2,boundary_recent,0.02038092166185379,0.22457274049520493,0.20419181883335114,0.21089991927146912
noisy,117,1000,0,3,uniform_recent,0.005349889397621155,0.15914198756217957,0.16487868130207062,0.1537920981645584
noisy,117,1000,0,4,boundary_recent,0.02135617332533002,0.02829492837190628,0.0069387550465762615,0.02366052009165287
noisy,117,1000,0,5,boundary_recent,0.012674592435359955,0.01982535794377327,0.007150765508413315,0.017173850908875465
noisy,117,1000,0,6,boundary_recent,0.03875064663589001,0.07740648463368416,0.03865583799779415,0.0663749948143959
noisy,117,1000,0,7,boundary_recent,0.10869661718606949,0.32682907581329346,0.21813245862722397,0.2973307967185974
noisy,117,1000,0,8,uniform_recent,0.006941691040992737,0.1879637986421585,0.18793077021837234,0.18102210760116577
noisy,117,1000,0,9,boundary_recent,0.10731181502342224,0.37606169283390045,0.2687498778104782,0.31591925024986267
noisy,117,1000,0,10,uniform_recent,0.1867179200053215,0.23140300810337067,0.05070803873240948,0.044685088098049164
noisy,117,1000,0,11,boundary_recent,0.031586842611432076,0.056784240528941154,0.02519739791750908,0.04810832254588604
noisy,117,1000,1,0,recent_budget,-0.010448448359966278,0.14050118625164032,0.15110626816749573,0.1509496346116066
noisy,117,1000,1,1,boundary_recent,0.007518710568547249,0.05648413300514221,0.04896542243659496,0.05768073350191116
noisy,117,1000,1,2,boundary_recent,0.04900173470377922,0.12667161226272583,0.07766987755894661,0.10298281908035278
noisy,117,1000,1,3,boundary_recent,0.060329828411340714,0.16457728296518326,0.10424745455384254,0.13434071093797684
noisy,117,1000,1,4,boundary_recent,0.14586524106562138,0.1970755085349083,0.05121026746928692,0.08976878598332405
noisy,117,1000,1,5,boundary_recent,0.019562359899282455,0.11656870692968369,0.09700634703040123,0.1098887138068676
noisy,117,1000,1,6,boundary_recent,0.5604957304894924,0.6586858332157135,0.09819010272622108,0.4145720899105072
noisy,117,1000,1,7,recent_budget,-0.062355078756809235,0.08834431320428848,0.18154636025428772,0.15069939196109772
noisy,117,1000,1,8,recent_budget,-0.003823325037956238,0.023340358398854733,0.02716368343681097,0.031178469769656658
noisy,117,1000,1,9,boundary_recent,0.04281017929315567,0.1827685832977295,0.13995840400457382,0.15374435484409332
noisy,117,1000,1,10,boundary_recent,0.07194791734218597,0.1741044670343399,0.10215654969215393,0.1253121979534626
noisy,117,1000,1,11,recent_budget,-0.0006675701588392258,0.04247063770890236,0.04401223547756672,0.043138207867741585
noisy,117,1000,2,0,boundary_recent,0.017372071743011475,0.2625223249197006,0.24515025317668915,0.24696709960699081
noisy,117,1000,2,1,boundary_recent,0.04823656380176544,0.22858041524887085,0.1803438514471054,0.21221651136875153
noisy,117,1000,2,2,recent_budget,-0.02843952551484108,0.08995696157217026,0.12395251542329788,0.11839648708701134
noisy,117,1000,2,3,boundary_recent,0.00022006966173648834,0.03055231273174286,0.03033224307000637,0.036308228969573975
noisy,117,1000,2,4,boundary_recent,0.37595221400260925,0.42199981212615967,0.046047598123550415,0.3769521266222
noisy,117,1000,2,5,recent_budget,-0.0391317643225193,0.06561747565865517,0.1428232565522194,0.10474923998117447
noisy,117,1000,2,6,boundary_recent,0.050823330879211426,0.26775220036506653,0.2169288694858551,0.22995684295892715
noisy,117,1000,2,7,boundary_recent,0.01100850384682417,0.04173199646174908,0.030723492614924908,0.03864552080631256
noisy,117,1000,2,8,boundary_recent,0.008627804927527905,0.030660424381494522,0.022032619453966618,0.030595088377594948
noisy,117,1000,2,9,uniform_recent,0.014930490404367447,0.11019773036241531,0.10858400166034698,0.09526723995804787
