layer,head,discovery_best_policy,validation_best_policy,split_label_agree,discovery_policy_need,validation_policy_need,modal_state_policy,modal_state_fraction,validation_static_regret,discovery_policy_margin,discovery_recent_budget_loss,validation_recent_budget_loss,discovery_boundary_recent_loss,validation_boundary_recent_loss,discovery_uniform_recent_loss,validation_uniform_recent_loss
11,0,uniform_recent,uniform_recent,1,0.010513916611671448,0.008403897285461426,uniform_recent,0.5746527777777778,0.0,0.0515170110125338,0.20460426062345505,0.20000852644443512,0.21356432139873505,0.20665919035673141,0.1940903440117836,0.1916046291589737
11,1,recent_budget,uniform_recent,0,-0.0007401257753372192,0.0032414719462394714,recent_budget,0.5060763888888888,0.0,0.0038746174953826285,0.18240030109882355,0.1814895123243332,0.20751643925905228,0.19982510060071945,0.18314042687416077,0.17824804037809372
11,2,boundary_recent,boundary_recent,1,0.03151702135801315,0.03102700226008892,boundary_recent,0.9210069444444444,0.0,0.15326254055808206,0.10026877000927925,0.09231922775506973,0.0687517486512661,0.06129222549498081,0.08155292272567749,0.07562780752778053
11,3,boundary_recent,boundary_recent,1,0.007836716249585152,0.0068165455013513565,boundary_recent,0.6744791666666666,0.0,0.06477666368398971,0.05890386365354061,0.05675962381064892,0.05106714740395546,0.04994307830929756,0.05462105572223663,0.05447405390441418
11,4,boundary_recent,boundary_recent,1,0.010161378420889378,0.009555068798363209,boundary_recent,0.9348958333333334,0.0,0.21549211323030204,0.03799038380384445,0.037400489673018456,0.027829005382955074,0.027845420874655247,0.03507642261683941,0.035453980788588524
11,5,boundary_recent,boundary_recent,1,0.011933811008930206,0.01019563153386116,boundary_recent,0.765625,0.0,0.09884259583606904,0.10240022838115692,0.09623637795448303,0.09046641737222672,0.08604074642062187,0.10011959075927734,0.0944005437195301
11,6,uniform_recent,uniform_recent,1,0.018085740506649017,0.01616421341896057,uniform_recent,0.5329861111111112,0.0,0.042821403300999046,0.15806882083415985,0.15189442038536072,0.14632604271173477,0.14378327131271362,0.13998308032751083,0.13573020696640015
11,7,uniform_recent,uniform_recent,1,0.03209462761878967,0.02283520996570587,uniform_recent,0.7222222222222222,0.0,0.10830588985099698,0.19006598740816116,0.1820298507809639,0.1769234761595726,0.17648564279079437,0.1579713597893715,0.15919464081525803
11,8,boundary_recent,boundary_recent,1,0.029732562601566315,0.03200926631689072,boundary_recent,0.8819444444444444,0.0,0.09560528703019168,0.15498851984739304,0.15129803866147995,0.12525595724582672,0.11928877234458923,0.13860400021076202,0.13340969383716583
11,9,boundary_recent,boundary_recent,1,0.023453064262866974,0.024478837847709656,boundary_recent,0.8559027777777778,0.0,0.2258725105822869,0.08971398323774338,0.09010234847664833,0.0662609189748764,0.06562351062893867,0.08435560390353203,0.0804661437869072
11,10,boundary_recent,boundary_recent,1,0.07020195573568344,0.08034694194793701,boundary_recent,0.9348958333333334,0.0,0.1788208868714108,0.20320574194192886,0.2170136719942093,0.13300378620624542,0.13666673004627228,0.1627449467778206,0.16507332772016525
