mode,current_frame,layer,head,temporal_reach_ratio,temporal_reach_ratio_samples,expected_age,expected_age_samples,normalized_expected_age,normalized_expected_age_samples,recent_mass,recent_mass_samples,old_mass,old_mass_samples,old12_mass,old12_mass_samples,old_mass_excess,old_mass_excess_samples,temporal_entropy,temporal_entropy_samples,peak_age,peak_age_samples,positive_logit_fraction,positive_logit_fraction_samples,sign_switch_rate,sign_switch_rate_samples,dominant_period,dominant_period_samples,spectral_peak_ratio,spectral_peak_ratio_samples,middle_recent_margin,middle_recent_margin_samples,age_logit_correlation,age_logit_correlation_samples
clean,21,0,10,0.2855791002511978,128,14.933947563171387,128,0.8296637535095215,128,0.006383120082318783,128,0.9936168491840363,128,0.8176875412464142,128,0.21583905816078186,128,0.7781226933002472,128,17.0,128,1.0,128,0.0,128,18.0,128,0.5664590895175934,128,1.9210918545722961,128,0.980852872133255,128
clean,21,0,11,0.5123635530471802,128,13.378794193267822,128,0.7432663440704346,128,0.1354968175292015,128,0.8645031452178955,128,0.5717154145240784,128,0.08672535419464111,128,0.6138308346271515,128,18.0,128,1.0,128,0.0,128,6.0,128,0.6014814972877502,128,0.1751663237810135,128,0.34181368350982666,128
clean,21,1,0,0.4078955054283142,128,10.905444622039795,128,0.6058580279350281,128,0.20966046303510666,128,0.7903394997119904,128,0.41969941556453705,128,0.012561708688735962,128,0.8169729709625244,128,17.0,128,1.0,128,0.0,128,6.0,128,0.6413923799991608,128,0.007556795608252287,128,0.14484073221683502,128
clean,21,1,1,0.32503052055835724,128,14.790461540222168,128,0.8216922879219055,128,0.0044936202466487885,128,0.9955063760280609,128,0.6785654127597809,128,0.21772858500480652,128,0.4898465573787689,128,18.0,128,0.7222222089767456,128,0.3529411852359772,128,6.0,128,0.9311097264289856,128,0.5783917605876923,128,0.15660885721445084,128
clean,21,1,2,0.41899800300598145,128,8.012734413146973,128,0.4451519101858139,128,0.48912280797958374,128,0.5108772218227386,128,0.3497985452413559,128,-0.26690056920051575,128,0.6833776235580444,128,1.0,128,1.0,128,0.0,128,18.0,128,0.62027907371521,128,-0.8046460449695587,128,0.06297136470675468,128
clean,21,1,3,0.5123410522937775,128,12.559879302978516,128,0.6977710723876953,128,0.2289489358663559,128,0.7710510492324829,128,0.6277210414409637,128,-0.006726741790771484,128,0.6261118650436401,128,18.0,128,1.0,128,0.0,128,9.0,128,0.5343797504901886,128,-0.09741257131099701,128,0.13729014992713928,128
clean,21,1,4,0.438846156001091,128,3.8739724159240723,128,0.21522068977355957,128,0.7963343560695648,128,0.20366566628217697,128,0.14143404364585876,128,-0.5741121172904968,128,0.31576989591121674,128,1.0,128,1.0,128,0.0,128,6.0,128,0.6532995998859406,128,-0.5876235961914062,128,-0.23172690719366074,128
clean,21,1,5,0.34832002222537994,128,9.023650646209717,128,0.5013139247894287,128,0.2789892256259918,128,0.7210108041763306,128,0.3099123537540436,128,-0.05676698684692383,128,0.9861582815647125,128,1.0,128,1.0,128,0.0,128,9.0,128,0.5620024502277374,128,-1.1076436638832092,128,-0.3098743408918381,128
clean,21,1,6,0.36758293211460114,128,13.183390140533447,128,0.7324105501174927,128,0.10090336576104164,128,0.8990965485572815,128,0.6667061150074005,128,0.1213187575340271,128,0.8521956205368042,128,16.0,128,0.2222222238779068,128,0.05882352963089943,128,18.0,128,0.5427690744400024,128,0.5398813188076019,128,0.7230170965194702,128
clean,21,1,7,0.13027851283550262,128,4.629525661468506,128,0.2571958750486374,128,0.6407495141029358,128,0.3592504560947418,128,0.07832121476531029,128,-0.4185273349285126,128,0.7663017511367798,128,1.0,128,1.0,128,0.0,128,18.0,128,0.5949300229549408,128,-1.7602375149726868,128,-0.8284481167793274,128
clean,21,1,8,0.3093705028295517,128,13.674592018127441,128,0.7596995532512665,128,0.014430919662117958,128,0.9855690598487854,128,0.5925935804843903,128,0.207791268825531,128,0.5610382556915283,128,18.0,128,1.0,128,0.0,128,6.0,128,0.9258708953857422,128,0.45157742500305176,128,0.1393030360341072,128
clean,21,1,9,0.44345955550670624,128,9.794066905975342,128,0.5441148281097412,128,0.3244125694036484,128,0.6755874156951904,128,0.4290919005870819,128,-0.10219037532806396,128,0.8843201100826263,128,16.0,128,1.0,128,0.0,128,7.5,128,0.3850313127040863,128,-1.016020119190216,128,-0.04925992339849472,128
clean,21,1,10,0.15603043884038925,128,7.53477931022644,128,0.41859886050224304,128,0.4169311374425888,128,0.5830688774585724,128,0.24977684020996094,128,-0.194708913564682,128,0.9311412274837494,128,1.0,128,1.0,128,0.0,128,18.0,128,0.5883024036884308,128,-1.7687457203865051,128,-0.579592376947403,128
clean,21,1,11,0.1835276558995247,128,6.804794549942017,128,0.37804414331912994,128,0.4373110830783844,128,0.5626889169216156,128,0.1742621436715126,128,-0.2150888741016388,128,0.8612091839313507,128,1.0,128,1.0,128,0.0,128,18.0,128,0.47647789120674133,128,-1.1842601895332336,128,-0.5917055308818817,128
clean,21,2,0,0.16823850572109222,128,6.79891562461853,128,0.3777175396680832,128,0.49078716337680817,128,0.509212851524353,128,0.2146977037191391,128,-0.26856493949890137,128,0.8914573788642883,128,1.0,128,1.0,128,0.0,128,18.0,128,0.46611906588077545,128,-1.7898855805397034,128,-0.60569828748703,128
clean,21,2,1,0.17530711740255356,128,7.274564266204834,128,0.40414245426654816,128,0.4341019093990326,128,0.5658981204032898,128,0.2371077463030815,128,-0.2118796706199646,128,0.9308273792266846,128,1.0,128,1.0,128,0.0,128,18.0,128,0.5423219203948975,128,-1.8011265397071838,128,-0.6482333540916443,128
clean,21,2,2,0.20594221353530884,128,5.941118001937866,128,0.3300621062517166,128,0.5228178799152374,128,0.47718213498592377,128,0.15081281960010529,128,-0.3005956560373306,128,0.8965891301631927,128,2.0,128,1.0,128,0.0,128,18.0,128,0.8215965330600739,128,-1.9446966648101807,128,-0.8478391170501709,128
clean,21,2,3,0.6413393914699554,128,16.70980930328369,128,0.9283227324485779,128,0.00681045139208436,128,0.9931894242763519,128,0.8717582523822784,128,0.21541163325309753,128,0.35834023356437683,128,18.0,128,1.0,128,0.0,128,6.0,128,0.9130218029022217,128,0.7168481945991516,128,0.3036721646785736,128
clean,21,2,4,0.7570214867591858,128,15.129748344421387,128,0.8405415713787079,128,0.04854999668896198,128,0.9514500796794891,128,0.826887458562851,128,0.17367228865623474,128,0.4111364185810089,128,17.0,128,1.0,128,0.0,128,6.0,128,0.8297500908374786,128,0.27917440235614777,128,0.22737348079681396,128
clean,21,2,5,0.2164589688181877,128,6.839412450790405,128,0.3799673616886139,128,0.4330037534236908,128,0.5669962465763092,128,0.2203911691904068,128,-0.2107815444469452,128,0.8702543377876282,128,2.0,128,1.0,128,0.0,128,6.0,128,0.8699478209018707,128,-1.0681033730506897,128,-0.4925014078617096,128
clean,21,2,6,0.17798374593257904,128,8.200865745544434,128,0.4556036442518234,128,0.32659880816936493,128,0.6734011769294739,128,0.2690889984369278,128,-0.10437661409378052,128,0.9617532193660736,128,1.0,128,1.0,128,0.0,128,9.0,128,0.42471379041671753,128,-1.0598464012145996,128,-0.42632366716861725,128
clean,21,2,7,0.6643786430358887,128,16.088109970092773,128,0.8937838673591614,128,0.030548217706382275,128,0.9694518148899078,128,0.8480778932571411,128,0.19167402386665344,128,0.43665751814842224,128,18.0,128,1.0,128,0.0,128,6.0,128,0.6746734380722046,128,0.6274007558822632,128,0.25510939955711365,128
clean,21,2,8,0.5452744960784912,128,15.261899471282959,128,0.8478833138942719,128,0.0481018777936697,128,0.9518981277942657,128,0.774034172296524,128,0.17412033677101135,128,0.4955189675092697,128,18.0,128,1.0,128,0.0,128,6.0,128,0.6700839996337891,128,0.4760517179965973,128,0.11880005896091461,128
clean,21,2,9,0.21592629700899124,128,8.024718284606934,128,0.4458176791667938,128,0.3168458938598633,128,0.6831541061401367,128,0.23566977679729462,128,-0.09462368488311768,128,0.9597366154193878,128,3.0,128,1.0,128,0.0,128,18.0,128,0.5980496108531952,128,-1.082013726234436,128,-0.5545181035995483,128
clean,21,2,10,0.39359694719314575,128,10.635086059570312,128,0.5908381044864655,128,0.09864720702171326,128,0.9013527631759644,128,0.3553272634744644,128,0.12357497215270996,128,0.7653035223484039,128,18.0,128,1.0,128,0.0,128,6.0,128,0.8141762614250183,128,0.35578830540180206,128,-0.06236289627850056,128
clean,21,2,11,0.6368159055709839,128,12.5558180809021,128,0.6975454688072205,128,0.14957988262176514,128,0.8504200875759125,128,0.5378268957138062,128,0.07264229655265808,128,0.6991715729236603,128,18.0,128,1.0,128,0.0,128,6.0,128,0.7846144735813141,128,0.01902483683079481,128,0.04989319667220116,128
clean,21,3,0,0.637033075094223,128,15.649684429168701,128,0.8694269061088562,128,0.018493938259780407,128,0.9815060794353485,128,0.7846250534057617,128,0.20372828841209412,128,0.5105875730514526,128,18.0,128,1.0,128,0.0,128,6.0,128,0.8283810317516327,128,0.8692377209663391,128,0.4159006327390671,128
clean,21,3,1,0.26963649690151215,128,8.065581321716309,128,0.4480878412723541,128,0.34752753376960754,128,0.6524724662303925,128,0.23928315192461014,128,-0.12530532479286194,128,0.9166508913040161,128,1.0,128,1.0,128,0.0,128,6.0,128,0.49892888963222504,128,-0.910485565662384,128,-0.35020290315151215,128
clean,21,3,2,0.38525575399398804,128,8.884162425994873,128,0.49356457591056824,128,0.1522359699010849,128,0.8477640450000763,128,0.2822197526693344,128,0.0699862539768219,128,0.6745603084564209,128,5.0,128,1.0,128,0.0,128,6.0,128,0.7768296897411346,128,-0.23774354159832,128,-0.10413715988397598,128
