factor,layer,head,cphi_score,cphi_score_samples,age_js_score,age_js_score_samples,age_w1_score,age_w1_score_samples,native_score,native_score_samples,query_score,query_score_samples,current_key_score,current_key_score_samples
action,5,11,0.13984318526112724,16,-0.051935524900188254,16,-0.3107470962801979,16,-0.04416295782214655,16,0.061714442716413936,16,-0.03889718825217546,16
action,6,0,-0.05917956182851608,16,-0.017362123772097098,16,-0.07737683831871381,16,0.07012809569918182,16,0.03545822795361786,16,0.14486887661435044,16
action,6,1,0.1195395447322756,16,-0.0062664998720758855,16,-0.1785561007468714,16,0.03664451352247037,16,0.07829035052635122,16,0.09426606542858582,16
action,6,2,-0.25661964252249064,16,-0.02679732444589142,16,-0.14097730021333815,16,0.016107081130409633,16,0.12688585023621252,16,0.10462784556872438,16
action,6,3,0.17856728866895205,16,-0.011068584681920533,16,-0.05758707101940996,16,0.06291562769256345,16,0.13765309930936737,16,0.21906036616437283,16
action,6,4,0.13611075153812663,16,-0.007727597138990474,16,0.03471604113274037,16,0.0867333696668625,16,-0.058820756134022156,16,0.03483061692271769,16
action,6,5,0.2548314571659006,16,-0.0017675823365701725,16,0.07306201045609356,16,0.28034602108739826,16,0.12191881160000125,16,0.09294920701439041,16
action,6,6,-0.0427863022809583,16,-0.006481641142024275,16,0.0817934007894351,16,-0.1138454297781995,16,-0.045610832641671185,16,-0.01114999068367518,16
action,6,7,0.13504577634043685,16,-0.010022444833279753,16,-0.056065291216452144,16,-0.007372240551693659,16,0.1353674149448995,16,-0.011312783540433505,16
action,6,8,0.13016694989912295,16,-0.02813887498276981,16,-0.16868480288008333,16,0.0741922570654458,16,0.07520702244214794,16,-0.01915183064797573,16
action,6,9,-0.014261420248830765,16,-0.015934457650980734,16,0.06820217676015518,16,0.053643303858631794,16,0.06439352963197446,16,0.10045887517254393,16
action,6,10,-0.06488770775498726,16,-0.013204356748355833,16,-0.07264110323189542,16,0.05699037685027882,16,0.017550705650110677,16,0.07864674809126448,16
action,6,11,0.340982863769125,16,-0.0022417486230673616,16,0.07084535358335858,16,0.1520603930867445,16,0.030582156499718467,16,0.04975842979725734,16
action,7,0,0.06302699809468945,16,-0.04299762250866343,16,-0.33900352813397877,16,-0.007012298084542793,16,0.11072274239172494,16,0.05269504905718313,16
action,7,1,0.02768012261172324,16,-0.010070505319780055,16,0.06199216502150797,16,-0.003950504276708508,16,-0.004642852479187597,16,0.13444436628415124,16
action,7,2,0.09694767639017988,16,-0.02449504131377432,16,-0.06634326463074566,16,0.17913917021364195,16,0.1550229695922117,16,0.11094415283017933,16
action,7,3,-0.17840963249533331,16,-0.04116095654423142,16,-0.32806702066993615,16,-0.05692030939915137,16,0.14660678269800387,16,0.02878600423611074,16
action,7,4,-0.161097743076281,16,-0.06766916082818283,16,-0.3194522629878117,16,0.07692800703472513,16,0.08826371294568461,16,0.02351907777732566,16
action,7,5,-0.2586142388365679,16,-0.019033142712285123,16,-0.06008270315974214,16,-0.05225828323785619,16,0.04245667081421925,16,0.02190507387860519,16
action,7,6,0.11210711240108054,16,-0.05244664182750184,16,-0.06866818660654486,16,0.09197138296837301,16,-1.9654971550050505e-05,16,-0.06502726430297508,16
action,7,7,-0.12502085563902823,16,-0.009398511811566904,16,-0.20546114341612187,16,0.18051011102640357,16,0.0658903621873152,16,0.04298227325924181,16
action,7,8,0.2023522680688282,16,-0.00746426647786726,16,0.08981053061092509,16,-0.014205096140585207,16,0.020545215985074403,16,-0.05862538648859007,16
action,7,9,0.22285040923223498,16,-0.01764403045514736,16,-0.23692003729027972,16,0.031792338409122135,16,-0.02283107446131641,16,-0.009473558343651784,16
action,7,10,0.009942172763484651,16,-0.009329056278052111,16,0.05640786584770215,16,0.21809167733767706,16,0.10034992210609694,16,0.04325823662712529,16
action,7,11,0.1122600006825984,16,-0.013144121049689882,16,-0.07329541366652581,16,0.020177369320471986,16,0.0006719209808640145,16,-0.011182645849528043,16
action,8,0,-0.03266239286386031,16,-0.03580792328007502,16,-0.12191117242798072,16,0.1685986229645074,16,0.11681883521598702,16,0.13333666898026125,16
action,8,1,0.3338691273890043,16,-0.01924041168241357,16,-0.4274488694145788,16,0.17134388776522952,16,0.14752285690666317,16,0.19518462725312688,16
action,8,2,0.1790737015233794,16,-0.05095772680582322,16,-0.2618564992781226,16,0.14142473228547894,16,-0.025374668561632317,16,-0.009967122298006875,16
action,8,3,-0.01933456550699973,16,-0.01429287880257763,16,-0.0567512323501906,16,0.18405443011056485,16,0.1122061225270565,16,0.12864590171950888,16
