layer,head,cphi_score_category_count,cphi_score_dominant_category,cphi_score_dominant_value,cphi_score_range,cphi_score_std,cphi_score_positive_fraction,cphi_score_absolute_entropy,age_js_score_category_count,age_js_score_dominant_category,age_js_score_dominant_value,age_js_score_range,age_js_score_std,age_js_score_positive_fraction,age_js_score_absolute_entropy,age_w1_score_category_count,age_w1_score_dominant_category,age_w1_score_dominant_value,age_w1_score_range,age_w1_score_std,age_w1_score_positive_fraction,age_w1_score_absolute_entropy
20,9,8,appearance,-0.879844490477101,0.5752976468183562,0.22121225800845143,0.0,0.9636221756356949,8,appearance,-0.07238271961080955,0.050443763959188884,0.017961280401671723,0.0,0.9587423245359864,8,appearance,-0.9427986513002575,0.643859171501825,0.2393141909443389,0.0,0.9564469327964373
20,10,8,appearance,-0.7830002339518767,0.6453563990717425,0.1942949542624737,0.0,0.9547262675758579,8,appearance,-0.10785705254578706,0.10198377262797988,0.034769082894809684,0.0,0.8760331692591828,8,identity,-0.8431386081227189,0.688726996661495,0.2720855747948263,0.0,0.8954928765770337
20,11,8,appearance,-1.5204483926780057,0.9689034471713165,0.326739485377967,0.0,0.9753806157276023,8,identity,-0.2441897598254009,0.14746028081109164,0.05742597164622714,0.0,0.9707184279501587,8,appearance,-1.3399464126268579,0.8805354843771129,0.31362737816759434,0.0,0.9647979016355646
21,0,8,appearance,-0.9583575702142217,0.9761060927103032,0.2920907172967145,0.125,0.9185514654099715,8,appearance,-0.2212398208894389,0.16407505926009402,0.05739370557462311,0.0,0.9554992871254058,8,appearance,-1.0048370696271092,0.8012650173040334,0.2631942402784411,0.0,0.9406162615226763
21,1,8,appearance,-1.1180679410953256,0.9043239825677415,0.294659741096835,0.0,0.9497793537405371,8,appearance,-0.10599191580079896,0.08717547897951408,0.02769864975276365,0.0,0.9444279286131076,8,appearance,-0.8806715172238281,0.6840012560124453,0.2435137129332174,0.0,0.9332352725588939
21,2,8,appearance,-1.171235111721799,1.0406741884237463,0.3211352893423226,0.0,0.9422162270776319,8,appearance,-0.14744007855464097,0.12375262201588946,0.0423978996272187,0.0,0.931469553444075,8,appearance,-0.9587648293988058,0.8007522804350253,0.2648480314522426,0.0,0.936903061090453
21,3,8,appearance,-1.014935887683317,0.7022862974758834,0.2354943859391816,0.0,0.9687642956829937,8,identity,-0.2216058533108728,0.12892461605504862,0.049638439125990856,0.0,0.9723976149075473,8,appearance,-1.298799986159367,0.9936346015204799,0.32715318662098347,0.0,0.9523494642242195
21,4,8,appearance,-1.0847337009204046,0.785533727304287,0.2651594084536699,0.0,0.9687613785475772,8,appearance,-0.1453963722484984,0.12096264070905433,0.03945583108396003,0.0,0.9373690048563565,8,appearance,-0.7495629193628224,0.5446829203466788,0.21777539759922745,0.0,0.9481907682993876
21,5,8,object,-1.0460522219821222,0.6824676072556266,0.22132464042883296,0.0,0.9792885736241638,8,identity,-0.12967499208271416,0.11716946062378024,0.03928030825178849,0.0,0.9176037649362067,8,appearance,-0.8673191641262881,0.7459464754880449,0.25641811184485697,0.0,0.9168176203769751
21,6,8,appearance,-0.8320497017915365,0.7971638172894995,0.24130270400478637,0.0,0.9296849068232369,8,appearance,-0.16900031118439407,0.14328816204996198,0.04961922947802292,0.0,0.9211160595237793,8,appearance,-0.949440420093823,0.7368175380511286,0.2611781889889399,0.0,0.9376739854123531
21,7,8,appearance,-1.268952617126968,0.8143621148151369,0.2144897677650408,0.0,0.985126324501691,8,appearance,-0.18042705336015485,0.14372098092435226,0.05048631650070802,0.0,0.9476787269191351,8,appearance,-0.841679516697021,0.6230421749468499,0.22546520564820338,0.0,0.9505944219386974
21,8,8,identity,-0.9557557089789641,0.8933531054150965,0.27999957442111284,0.0,0.9067540198579368,8,identity,-0.15706145713078262,0.09905420037694215,0.035385664196548906,0.0,0.9707580357227876,8,identity,-1.1877412783727395,0.5652579619124938,0.22455162957173405,0.0,0.9836269213007085
21,9,8,appearance,-0.9213714565859529,1.0600651815678792,0.2971655843943783,0.125,0.9403914345462878,8,appearance,-0.2736463039650049,0.2063123512278396,0.07186104170784781,0.0,0.9568536213200128,8,identity,-0.9991007776292012,0.7563114557500221,0.28432801832217686,0.0,0.9357976951556146
21,10,8,appearance,-0.8059359783950213,0.6513377837125394,0.21715193937779,0.0,0.9450559088844196,8,identity,-0.2921522640908002,0.17014462079540918,0.060758643287945946,0.0,0.9768210692779954,8,identity,-1.1029588717274863,0.9218568187949074,0.2801753154852434,0.0,0.9453492405140358
21,11,8,appearance,-0.9416519220919657,0.5583329999743813,0.1864433207476152,0.0,0.977793334769668,8,identity,-0.11520374624010504,0.07566714274594855,0.024550572351985857,0.0,0.973774505509379,8,appearance,-1.1489959379501955,0.8897018755063012,0.2852714436274376,0.0,0.9488266308512051
22,0,8,appearance,-0.9203553559197273,0.6744398795919087,0.23759012926302506,0.0,0.9569886070439586,8,appearance,-0.2608862794976587,0.24838142152590578,0.08533985270605413,0.0,0.9026981564957028,8,appearance,-0.9718787845123997,0.8716027579942132,0.3128729602273218,0.0,0.896635990898863
22,1,8,appearance,-0.9060957730910459,0.7524676794162101,0.21830383912674414,0.0,0.9594221944344211,8,appearance,-0.25149820807719103,0.17676041390702554,0.06158865915508984,0.0,0.9593315546263059,8,appearance,-0.9777209439481962,0.661649269296239,0.2430110352947988,0.0,0.9591332513262173
22,2,8,appearance,-0.9266359068575933,1.0835169321828333,0.31453750448707185,0.125,0.9538714118285163,8,identity,-0.09890159737781518,0.07733860360339913,0.02822671118309039,0.0,0.941654198227198,8,appearance,-0.9292688269669152,0.7554734371773185,0.24411888705899423,0.0,0.9387133092944462
22,3,8,appearance,-0.6478649332068219,0.5395439390219563,0.18560867759920432,0.0,0.9387615241855248,8,appearance,-0.1073650293269611,0.08135895678344277,0.02758593984025436,0.0,0.9537837135662001,8,appearance,-0.7556920402325971,0.5615654209324176,0.23117115582711056,0.0,0.927990402622692
22,4,8,appearance,-0.9412395130829083,0.73020492237644,0.219389684405678,0.0,0.9636065946781687,8,appearance,-0.2679511158667568,0.20318591137277128,0.07487942897272402,0.0,0.937850123507223,8,appearance,-0.876080436999999,0.8175222343077693,0.26149426588123675,0.0,0.9048390114753148
22,5,8,appearance,-0.8811508237026371,0.5795971952837808,0.18873282958727894,0.0,0.9764172460518296,8,identity,-0.19610646531506032,0.13456834628428568,0.051977402028799094,0.0,0.9522018244285197,8,appearance,-0.9801377493513254,0.7704561903187603,0.2469024091866712,0.0,0.9449195690563233
22,6,8,appearance,-1.0591186987545926,0.75825956764304,0.231885398915613,0.0,0.9693411187542691,8,identity,-0.2316857791827484,0.19950346261657337,0.07172023692615459,0.0,0.9044328202226618,8,appearance,-1.0804457477815286,0.9666826402842451,0.33022656289915314,0.0,0.8886492193139749
22,7,8,appearance,-0.8979699621182693,0.7567871169891967,0.24814724055363999,0.0,0.9435897253037219,8,appearance,-0.11756957904243359,0.08704065578535529,0.03003043522589402,0.0,0.9553426510238425,8,appearance,-0.8919343951645413,0.6067950567975309,0.20228397721394806,0.0,0.9711248823478421
22,8,8,identity,-0.7199665395879007,0.6982087931947115,0.20863154359665925,0.0,0.9131592996634756,8,appearance,-0.11005268942841712,0.09720300625697452,0.03313797742374867,0.0,0.9166285178820643,8,appearance,-0.8576479005156221,0.6641169861592043,0.2305375900693734,0.0,0.9312014504794632
22,9,8,appearance,-1.0556449779540973,0.9748538908597569,0.3227269175937523,0.0,0.9180144021494598,8,identity,-0.12954514934182526,0.17414942697785635,0.052254440303182666,0.125,0.9131596810060385,8,identity,-0.8861357233886491,0.9959943966366944,0.3431915286594618,0.25,0.8677176234553435
22,10,8,appearance,-0.96559443132743,0.8067269576846501,0.2406792024383034,0.0,0.9541455056349047,8,appearance,-0.2072630047503594,0.15008894036057616,0.057475972546054424,0.0,0.943383484241785,8,appearance,-0.8998328104916911,0.7967920850615342,0.252091475695092,0.0,0.9165478648643778
22,11,8,appearance,-0.9335489629922167,0.9360860413265711,0.2868126277311311,0.125,0.9041906430786185,8,appearance,-0.11091873594790078,0.09701732844993613,0.034691404439042374,0.0,0.9083720015138502,8,appearance,-0.8654628853846917,0.8605217044138341,0.28088719112760635,0.0,0.858116483757116
23,0,8,identity,-0.8792533745752752,0.7322460605255212,0.24872598373222177,0.0,0.9313938482479015,8,identity,-0.10629967475467646,0.08348182297429377,0.031579561690734705,0.0,0.9392868185483472,8,appearance,-0.9480599105711002,0.8644740949443225,0.30481847716171306,0.0,0.8970605008370245
23,1,8,appearance,-1.3871347507936695,0.6240065552041985,0.1939626880136316,0.0,0.9915782510060005,8,identity,-0.27363918293141176,0.12643606559393675,0.04666813117605755,0.0,0.9876177841730376,8,appearance,-1.2982336678100037,0.8330058042567438,0.2858548612441611,0.0,0.968574249193272
23,2,8,identity,-0.9022011676636306,0.8768862999097666,0.29117654001350524,0.0,0.9102512328490435,8,appearance,-0.052334253792015874,0.05140254707371821,0.01635057431680255,0.0,0.9014847792166111,8,appearance,-0.8531576861768362,0.8907526131021439,0.27300739694948445,0.125,0.9020711685892089
23,3,8,appearance,-0.9685947929120056,0.5593510919303393,0.200198348702703,0.0,0.9784682383055893,8,appearance,-0.13974251068134502,0.10804303378952568,0.04111979282392588,0.0,0.9278729983229541,8,identity,-0.8503794347210492,0.6376045142324618,0.24916083462811442,0.0,0.9311729339205576
23,4,8,identity,-0.7003436178425384,0.5179095567483958,0.19159542452985873,0.0,0.9585959091196118,8,appearance,-0.25798814601213793,0.1954308247900804,0.0773100470911569,0.0,0.9317267251841397,8,appearance,-0.709874532890592,0.5621934937372154,0.20212867476953447,0.0,0.9383291073860871
23,5,8,appearance,-0.9044337116916598,0.6803070258884426,0.1934839905489686,0.0,0.9717004720705654,8,appearance,-0.1905573057536664,0.15073713547647113,0.05081741448780671,0.0,0.9478034945578204,8,identity,-0.97314413947107,0.7331878105469409,0.24497447372898637,0.0,0.9477666085537564
23,6,8,appearance,-0.9506423261563919,0.8162248623221684,0.22765614360301958,0.0,0.9556986971173599,8,appearance,-0.2494271259861724,0.18760650791860398,0.07234455726431302,0.0,0.9320298215568755,8,appearance,-0.8318334632804099,0.709162939126426,0.24859242975709522,0.0,0.9242821727441536
23,7,8,identity,-0.8516695319488458,0.581484767112476,0.18387532511420018,0.0,0.9732124012094786,8,appearance,-0.08544248707692624,0.056202831996818865,0.020569465591480963,0.0,0.9636265361935363,8,appearance,-0.9507653715212356,0.7871525804129769,0.28548648400765947,0.0,0.9287088489814668
23,8,8,identity,-0.801936481609586,0.7211519430508364,0.23027545678568667,0.0,0.9186249545927622,8,appearance,-0.27288701060543485,0.2867715607880385,0.08685736139318893,0.125,0.8658551262284452,8,appearance,-0.7660948764692682,0.9231353369628129,0.30614407257557874,0.25,0.8661408190186514
23,9,8,appearance,-0.6752715495952717,0.45887806816694954,0.1829479617352537,0.0,0.9542970062539917,8,appearance,-0.1921562515486736,0.13506412528238182,0.05103216047116042,0.0,0.9496968343073163,8,appearance,-0.936377716100018,0.7229726395925369,0.24628383868950524,0.0,0.9501411439447969
23,10,8,appearance,-1.148682455460218,0.7750721399791672,0.22569431091704217,0.0,0.9788115176615619,8,appearance,-0.319248007842986,0.1456103232244482,0.052913896555533045,0.0,0.9891464535122457,8,appearance,-1.4116785932910045,0.8393142552849654,0.2765294969309057,0.0,0.9780024070337457
23,11,8,appearance,-0.9969197628313851,0.8601962096408555,0.24393038556247718,0.0,0.9509031053488457,8,identity,-0.14600380191386023,0.11113934034959166,0.03988283183188561,0.0,0.9434449065437241,8,appearance,-0.8945867045495124,0.6884147905605333,0.24311701648233028,0.0,0.9321991099725537
24,0,8,identity,-0.8011350704791943,0.4703132141855611,0.19153581125983288,0.0,0.9706435158652845,8,appearance,-0.11710141857366867,0.09024769482755818,0.02990866202774129,0.0,0.9423320908338635,8,appearance,-0.8734325612625031,0.5761250856842998,0.21207691708063467,0.0,0.9613706334106386
24,1,8,appearance,-0.8023809282586483,0.6468640997188391,0.1979731934173647,0.0,0.9538227808530714,8,appearance,-0.08984487089572185,0.07229352967744848,0.02551453346231789,0.0,0.9201456387321618,8,appearance,-0.8519263669818085,0.6974098064598608,0.2304684726343982,0.0,0.9350007901941677
24,2,8,identity,-1.113079984276934,0.6009581050900865,0.1937622876365545,0.0,0.9849508541723302,8,identity,-0.19324137699038418,0.13983056734687072,0.045890460856140826,0.0,0.9610158822594017,8,appearance,-0.9236973181936212,0.6503308716100021,0.23387269214672454,0.0,0.9551938938201491
24,3,8,appearance,-0.7416286914456747,0.6833119054081858,0.22702326426928818,0.0,0.9257594478910319,8,appearance,-0.09259902510180679,0.07236859860274492,0.025512801877341593,0.0,0.9410359233404032,8,appearance,-0.8401262739539251,0.6102481027796794,0.2128861875562678,0.0,0.9508224830923165
24,4,8,appearance,-0.755625653691135,0.5452105674495307,0.19162631656276874,0.0,0.9614690641345283,8,identity,-0.0720013374472262,0.06432892130450069,0.02219177867041503,0.0,0.904964011211853,8,identity,-0.8086646859865325,0.8199593583288489,0.2768428597551232,0.125,0.8614409525647888
24,5,8,appearance,-0.8939767460205981,0.8744554898434466,0.25650138665275163,0.0,0.9225335861658325,8,appearance,-0.13122645185132306,0.09515631088413334,0.038522741769065005,0.0,0.9411130241652546,8,identity,-0.8326764276875094,0.6676907563894654,0.2540865118714613,0.0,0.9192004171257472
