layer,head,cphi_score_category_count,cphi_score_dominant_category,cphi_score_dominant_value,cphi_score_range,cphi_score_std,cphi_score_positive_fraction,cphi_score_absolute_entropy,age_js_score_category_count,age_js_score_dominant_category,age_js_score_dominant_value,age_js_score_range,age_js_score_std,age_js_score_positive_fraction,age_js_score_absolute_entropy,age_w1_score_category_count,age_w1_score_dominant_category,age_w1_score_dominant_value,age_w1_score_range,age_w1_score_std,age_w1_score_positive_fraction,age_w1_score_absolute_entropy
3,7,5,noisy:250,-0.24256906972755835,0.24694037752245845,0.09212273831571367,0.2,0.8320869588933163,5,noisy:1000,-0.07326474863842623,0.05564873350316106,0.018510129043647953,0.0,0.9353490497603453,5,clean:0,-0.44708078181106403,0.3926024054849512,0.13616259157879082,0.0,0.869374256756452
3,8,5,noisy:250,0.14299356730919044,0.256808631216532,0.0901836839537961,0.2,0.9578836002331322,5,noisy:500,-0.06039994734729056,0.04555171519910022,0.017580952131672302,0.0,0.9446920923456521,5,clean:0,-0.2808736945679995,0.2358152823492362,0.07916521998305211,0.0,0.9209383921832975
3,9,5,noisy:1000,-0.4990364407853799,0.323694185539274,0.13068136559938529,0.0,0.9480474598492968,5,noisy:1000,-0.18414576530775592,0.16256798022822153,0.0627330052149507,0.0,0.831233008824846,5,noisy:1000,-0.44810323942881064,0.35653723334645343,0.1339500932828875,0.0,0.9226693056861307
3,10,5,clean:0,-0.5656212413408452,0.45569177171933783,0.16282545944441854,0.0,0.8895623370497522,5,noisy:1000,-0.05183232243461516,0.04823471233549742,0.018831309262042756,0.0,0.8138380180380058,5,noisy:750,-0.627312491658649,0.33006817299036917,0.11551025850424054,0.0,0.9779745929039111
3,11,5,noisy:250,-0.4514586219376042,0.35268637486742205,0.14132519236070715,0.0,0.9183337580977289,5,noisy:1000,-0.037149179377219774,0.030362498530921114,0.010309785499777213,0.0,0.9344428312254359,5,noisy:250,-0.5294331245174742,0.5225440692288795,0.16918743774346662,0.0,0.8478883811854053
4,0,5,noisy:1000,-0.812984259250211,0.4207186277798083,0.141259434373658,0.0,0.9826031646741191,5,noisy:1000,-0.43856894179232575,0.4009094082753674,0.14477829798082448,0.0,0.8498217328295418,5,noisy:1000,-0.9536537041895974,0.4721419967674739,0.19012178887575326,0.0,0.9783687027603892
4,1,5,clean:0,-0.36151122705547956,0.15528394635399626,0.056682555234985735,0.0,0.9854881556637857,5,noisy:1000,-0.1490063707578595,0.12893304476473458,0.04724529217110437,0.0,0.8230386407644033,5,clean:0,-0.467794276154943,0.44958336222283257,0.15309106815231086,0.0,0.8533897266791153
4,2,5,noisy:250,-0.26645156353014016,0.2726232932869183,0.0934922911637645,0.2,0.7789773062418898,5,noisy:1000,-0.3505908540389372,0.3227623206743298,0.12184395345193577,0.0,0.7056844651547698,5,noisy:1000,-0.5368537102821103,0.570995078695655,0.20726643244395626,0.4,0.5751491226001565
4,3,5,noisy:500,-0.5476613398892554,0.3583909214708228,0.15760789387523327,0.0,0.9428602217449497,5,noisy:250,-0.17903911158186644,0.14400316624597484,0.0512551992127773,0.0,0.9020314457536317,5,noisy:250,-0.7634648119286502,0.8718625036456419,0.31987688669817477,0.4,0.7241467724816539
4,4,5,clean:0,-0.8749481059459365,0.6017453899656738,0.20358650275693152,0.0,0.9596092595519398,5,noisy:1000,-0.4800722820661355,0.3689500330960991,0.12873410350456344,0.0,0.9165589251648781,5,noisy:250,-1.016091733624772,0.5445907062090081,0.22018360578783797,0.0,0.9731479776239501
4,5,5,clean:0,-0.4793688007522182,0.5085127514652552,0.18078186930259624,0.2,0.8934557511816918,5,noisy:1000,-0.26608541714176076,0.23900650166704995,0.08139630280089118,0.0,0.8554672111445539,5,clean:0,-0.6653157911858838,0.32347915258239557,0.12963545321483916,0.0,0.9779438262202612
4,6,5,noisy:250,-0.7245474667371166,0.3610968596450469,0.15401164846749577,0.0,0.9745095207985833,5,noisy:1000,-0.09591847991634203,0.08954244211586113,0.031053611287538904,0.0,0.8043859275177938,5,noisy:250,-0.6704149164611756,0.3016085475387736,0.10586527796018429,0.0,0.9869787607683668
4,7,5,clean:0,-0.6251291266723402,0.4018426497903181,0.14526330471841298,0.0,0.9527872507096483,5,noisy:1000,-0.0924793017108997,0.08530352507185315,0.029109899119643543,0.0,0.8481583082154679,5,noisy:750,-0.8353541539152439,0.34888275677799674,0.11260544245844158,0.0,0.9911238462596271
4,8,5,clean:0,-0.36046951493796076,0.23002565377438852,0.08774221274934846,0.0,0.9616256538080498,5,noisy:1000,-0.05051537971476849,0.041997660834548214,0.01565671749286479,0.0,0.8565369593767438,5,clean:0,-0.3691549575476417,0.2414677861863133,0.09068899325582683,0.0,0.9552366154445407
4,9,5,clean:0,-0.7489612169658892,0.5831960200289331,0.20010377947186286,0.0,0.9209462412819942,5,noisy:1000,-0.12246856270565358,0.09788087905118364,0.03708214296967818,0.0,0.8645251842018101,5,clean:0,-0.9476358554509248,0.7111433410295188,0.25832157134161304,0.0,0.9094498262301028
4,10,5,clean:0,-0.8766035759015767,0.8090503992481969,0.29951283146691804,0.0,0.7268916527723355,5,noisy:1000,-0.08175648793660281,0.05239109147991151,0.019243626004640926,0.0,0.9486847084680916,5,clean:0,-0.7148795908173127,0.6678671652214707,0.2487254645420256,0.0,0.7917974673336476
4,11,5,noisy:250,-0.6302625244841653,0.5294326599998737,0.18200243087021178,0.0,0.9212601736002912,5,noisy:1000,-0.1584913449672651,0.13481887711165755,0.05279311776375635,0.0,0.8571581826804977,5,clean:0,-0.37460219824883123,0.07229400160757726,0.02314937214517371,0.0,0.9985358045854924
5,0,5,clean:0,-0.40492066145859773,0.23213978683720493,0.07858187530775936,0.0,0.9767532062094647,5,noisy:1000,-0.08734866497531346,0.07217361472064295,0.02632108910273887,0.0,0.8608827589029883,5,noisy:1000,-0.3112539383968258,0.20718994726244036,0.07417104722551865,0.0,0.963564298260711
5,1,5,clean:0,-0.5335680428216442,0.46762146406127475,0.17558670911399973,0.0,0.7887195835842744,5,noisy:1000,-0.1040472413155225,0.08323036724099164,0.030547108368080108,0.0,0.8783553634680684,5,clean:0,-0.606016946926766,0.6484423193653016,0.21922572590934775,0.2,0.8316713326551336
5,2,5,clean:0,-0.3713989922427174,0.23301164968345162,0.08425229194286722,0.0,0.9572861006109935,5,noisy:1000,-0.13093214174665013,0.11944379005306195,0.050875391822668224,0.0,0.7644886459394421,5,noisy:750,-0.30131658200389166,0.2233352259810236,0.07994816963767401,0.0,0.9258765817140004
5,3,5,clean:0,-0.47865057419204754,0.232747225855976,0.08493975527000308,0.0,0.9829474920909519,5,noisy:1000,-0.029884266758453057,0.027807338967885783,0.010212442899773452,0.0,0.7298663870894976,5,noisy:1000,-0.34642284413907065,0.3294683041271817,0.11572962028952,0.0,0.8702421396591505
5,4,5,clean:0,-0.5171035555244188,0.23185054384927106,0.07545888790042168,0.0,0.9892328124490292,5,noisy:1000,-0.2510494803073888,0.2197721202708003,0.08181995144677096,0.0,0.9084468054493238,5,noisy:750,-0.7563102764535768,0.25368382862666883,0.09099763146541674,0.0,0.9936676192353641
5,5,5,noisy:250,-0.37720719371913264,0.187010456806397,0.06758062603067495,0.0,0.9837664287190083,5,noisy:1000,-0.0808198660747386,0.06956362540229982,0.02659157707930352,0.0,0.8008945737931544,5,clean:0,-0.39351845061612095,0.22660931885844077,0.07815780850042454,0.0,0.9768768958609939
5,6,5,clean:0,-0.4432305618837201,0.21196536075090724,0.0771660259360143,0.0,0.9802049305007945,5,noisy:1000,-0.13368034783243782,0.11659358687781611,0.04409929483513152,0.0,0.7799659837570283,5,noisy:1000,-0.46269256987542096,0.417604648657312,0.1332560476213261,0.0,0.8951569510786751
5,7,5,noisy:1000,-0.272315084599012,0.23977810002409827,0.10998953532226263,0.0,0.7849062413044666,5,noisy:1000,-0.053361297480290164,0.04149565546320703,0.014435548406256538,0.0,0.9351794010593478,5,clean:0,-0.5219651476578114,0.2398733519665011,0.09148649682193985,0.0,0.9829370233222241
5,8,5,clean:0,-0.36798379975565776,0.27723348138783643,0.09057301422347719,0.0,0.9506571058130131,5,noisy:1000,-0.13045673960584497,0.12014722614657838,0.04478092115458295,0.0,0.7443089851926132,5,noisy:1000,-0.466831511576232,0.2527327491494358,0.09950182371057231,0.0,0.9721785202213072
5,9,5,noisy:1000,-0.5766612630837106,0.18700511021121435,0.06392366463523033,0.0,0.9942877151499929,5,noisy:1000,-0.10398117819684352,0.09036319372440296,0.0340454167070947,0.0,0.8386049327198553,5,noisy:1000,-0.423823431659401,0.1632088721727471,0.0635444534144198,0.0,0.9891050571915436
5,10,5,noisy:250,-0.3056797713660328,0.30609573706089216,0.09830902128137221,0.2,0.8372192649212895,5,noisy:1000,-0.0294129915826402,0.028624153989334718,0.00977859362291387,0.0,0.8285912748815677,5,noisy:250,-0.6022105248010801,0.5510749185825365,0.20583872606980616,0.0,0.7547340353405153
