mode,nominal_timestep,layer,head,temporal_reach_ratio,temporal_reach_ratio_samples,expected_age,expected_age_samples,normalized_expected_age,normalized_expected_age_samples,recent_mass,recent_mass_samples,old_mass,old_mass_samples,old12_mass,old12_mass_samples,old_mass_excess,old_mass_excess_samples,temporal_entropy,temporal_entropy_samples,peak_age,peak_age_samples,positive_logit_fraction,positive_logit_fraction_samples,sign_switch_rate,sign_switch_rate_samples,dominant_period,dominant_period_samples,spectral_peak_ratio,spectral_peak_ratio_samples,middle_recent_margin,middle_recent_margin_samples,age_logit_correlation,age_logit_correlation_samples
clean,0,1,9,0.3551800549030304,128,10.353752613067627,128,0.5752084851264954,128,0.2651723623275757,128,0.7348276078701019,128,0.42989838123321533,128,-0.042950183153152466,128,0.901069313287735,128,16.0,128,1.0,128,0.0,128,6.0,128,0.4309934228658676,128,-0.7404974400997162,128,0.06876608729362488,128
clean,0,1,10,0.12329627573490143,128,7.365368366241455,128,0.4091871380805969,128,0.4288264513015747,128,0.5711735486984253,128,0.23979585617780685,128,-0.2066042423248291,128,0.933438777923584,128,1.0,128,1.0,128,0.0,128,18.0,128,0.6097142398357391,128,-1.8783955574035645,128,-0.6572114527225494,128
clean,0,1,11,0.1525862216949463,128,6.552684545516968,128,0.36403803527355194,128,0.47090595960617065,128,0.5290940701961517,128,0.16869226843118668,128,-0.24868372082710266,128,0.8715448379516602,128,1.0,128,1.0,128,0.0,128,18.0,128,0.4597766101360321,128,-1.3423488140106201,128,-0.6042979657649994,128
clean,0,2,0,0.15372387319803238,128,7.109785079956055,128,0.3949880599975586,128,0.4533315598964691,128,0.5466684103012085,128,0.21234147995710373,128,-0.2311093807220459,128,0.9259461164474487,128,1.0,128,1.0,128,0.0,128,18.0,128,0.5168339014053345,128,-1.850217580795288,128,-0.6287176609039307,128
clean,0,2,1,0.15767158567905426,128,7.647961616516113,128,0.4248867481946945,128,0.4109250009059906,128,0.5890749990940094,128,0.25592800974845886,128,-0.188702791929245,128,0.9450360834598541,128,1.0,128,1.0,128,0.0,128,18.0,128,0.5431601107120514,128,-1.8365914821624756,128,-0.5974793136119843,128
clean,0,2,2,0.18038391321897507,128,6.059349775314331,128,0.33663053810596466,128,0.5184377133846283,128,0.4815623015165329,128,0.15700243413448334,128,-0.2962154895067215,128,0.9033845067024231,128,2.0,128,1.0,128,0.0,128,18.0,128,0.8286804258823395,128,-1.9875776171684265,128,-0.8493469059467316,128
clean,0,2,3,0.49264635145664215,128,16.630468368530273,128,0.923914909362793,128,0.005913067143410444,128,0.9940869510173798,128,0.8631854057312012,128,0.21630915999412537,128,0.3518938422203064,128,18.0,128,1.0,128,0.0,128,6.0,128,0.9170597791671753,128,0.6711545884609222,128,0.27785855531692505,128
clean,0,2,4,0.6497799158096313,128,15.289164066314697,128,0.8493980169296265,128,0.04525143653154373,128,0.9547486305236816,128,0.8327553570270538,128,0.17697083950042725,128,0.4113787114620209,128,17.0,128,1.0,128,0.0,128,6.0,128,0.8228884637355804,128,0.2898768037557602,128,0.2325347512960434,128
clean,0,2,5,0.13906848430633545,128,7.448232650756836,128,0.4137907028198242,128,0.3719761073589325,128,0.6280238628387451,128,0.23621369898319244,128,-0.14975392818450928,128,0.8743628561496735,128,2.0,128,1.0,128,0.0,128,6.0,128,0.8861306607723236,128,-0.923762857913971,128,-0.41614095866680145,128
clean,0,2,6,0.17216744273900986,128,8.483595848083496,128,0.47131088376045227,128,0.316070556640625,128,0.683929443359375,128,0.2708241194486618,128,-0.0938483476638794,128,0.9709037840366364,128,1.0,128,1.0,128,0.0,128,9.0,128,0.44455601274967194,128,-1.1799176931381226,128,-0.46864667534828186,128
