comparison,channel,axis,policy,target,control,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
leverage:policy_contrast:top4>random4:target=0.01,leverage,policy,policy_contrast,0.01,random4,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,-0.025663236512203216,0.028668070247317573,0.53125,-0.17279194806934808,0.09573433217612731,0.32647058823529407
leverage:policy_contrast:top4>random4:target=0.01,leverage,policy,policy_contrast,0.01,random4,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,-0.1046283942456931,-0.07428313727425505,0.1875,-0.19786268228685436,-0.02915440691211036,0.6147058823529412
leverage:policy_contrast:top4>random4:target=0.01,leverage,policy,policy_contrast,0.01,random4,x0_relative_rms,paired_log_ratio,pooled,64,16,-0.06514581537894815,-0.03497213073339731,0.359375,-0.17749272894718574,0.025902942921959732,0.5647058823529412
leverage:policy_contrast:top4>random5:target=0.01,leverage,policy,policy_contrast,0.01,random5,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.16367530110449807,0.1473614834772089,0.875,0.09331812837258535,0.24893131401037366,-0.0029411764705882353
leverage:policy_contrast:top4>random5:target=0.01,leverage,policy,policy_contrast,0.01,random5,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,0.07797061539836143,0.06088214275066232,0.75,0.02906656886207806,0.13374282472723084,0.5294117647058824
leverage:policy_contrast:top4>random5:target=0.01,leverage,policy,policy_contrast,0.01,random5,x0_relative_rms,paired_log_ratio,pooled,64,16,0.12082295825142976,0.0887123340642049,0.8125,0.07446979618515068,0.18518098978341802,0.1647058823529412
leverage:policy_contrast:top4>random6:target=0.01,leverage,policy,policy_contrast,0.01,random6,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.14408809174500392,0.1527208389157388,0.78125,0.02173404502464722,0.25994173008096,0.13823529411764704
leverage:policy_contrast:top4>random6:target=0.01,leverage,policy,policy_contrast,0.01,random6,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,0.08601022789896726,0.07371404730612163,0.90625,0.06255275644112174,0.11089733595962854,-0.09411764705882353
leverage:policy_contrast:top4>random6:target=0.01,leverage,policy,policy_contrast,0.01,random6,x0_relative_rms,paired_log_ratio,pooled,64,16,0.11504915982198557,0.11712146708377982,0.84375,0.052265594608845785,0.17592960251721296,0.14705882352941177
leverage:policy_contrast:top4>random7:target=0.01,leverage,policy,policy_contrast,0.01,random7,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,-0.051223545701715674,0.0440182526546615,0.53125,-0.19408461686554207,0.07683466576561675,0.38235294117647056
leverage:policy_contrast:top4>random7:target=0.01,leverage,policy,policy_contrast,0.01,random7,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,-0.11626139243622478,-0.08074358429318909,0.21875,-0.2064617111144399,-0.042662858788546185,0.3205882352941176
leverage:policy_contrast:top4>random7:target=0.01,leverage,policy,policy_contrast,0.01,random7,x0_relative_rms,paired_log_ratio,pooled,64,16,-0.08374246906897023,-0.06410950577680069,0.375,-0.19626094282258963,0.006279710682466322,0.4176470588235294
leverage:policy_contrast:top4>random0:target=0.02,leverage,policy,policy_contrast,0.02,random0,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.11068825151057926,0.10530985778658421,0.71875,0.027632802617165296,0.2046799701584299,-0.25588235294117645
leverage:policy_contrast:top4>random0:target=0.02,leverage,policy,policy_contrast,0.02,random0,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,0.1455837594034804,0.12434652395543243,0.84375,0.09080945249108614,0.20939791106380537,0.07647058823529412
leverage:policy_contrast:top4>random0:target=0.02,leverage,policy,policy_contrast,0.02,random0,x0_relative_rms,paired_log_ratio,pooled,64,16,0.12813600545702983,0.12229452630448764,0.78125,0.0821194209420901,0.17704993943848926,-0.049999999999999996
leverage:policy_contrast:top4>random1:target=0.02,leverage,policy,policy_contrast,0.02,random1,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.19711888732569854,0.22754974793729166,0.84375,0.10989958784315079,0.2925114892824795,0.17058823529411765
leverage:policy_contrast:top4>random1:target=0.02,leverage,policy,policy_contrast,0.02,random1,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,0.14049452196124826,0.15425876421747692,0.90625,0.09595071648996813,0.18514514235706334,-0.15588235294117647
leverage:policy_contrast:top4>random1:target=0.02,leverage,policy,policy_contrast,0.02,random1,x0_relative_rms,paired_log_ratio,pooled,64,16,0.16880670464347342,0.17368018813627167,0.875,0.11851289667570959,0.22096461949200477,0.1176470588235294
leverage:policy_contrast:top4>random2:target=0.02,leverage,policy,policy_contrast,0.02,random2,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.30297210740780844,0.34080754923829437,0.9375,0.18766912033387562,0.4103253116959498,0.22647058823529412
leverage:policy_contrast:top4>random2:target=0.02,leverage,policy,policy_contrast,0.02,random2,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,0.1579271138662754,0.1597794973002476,0.9375,0.11268538373857194,0.19904541659690045,-0.39999999999999997
leverage:policy_contrast:top4>random2:target=0.02,leverage,policy,policy_contrast,0.02,random2,x0_relative_rms,paired_log_ratio,pooled,64,16,0.23044961063704195,0.203316808026682,0.9375,0.16173875748686253,0.28705856848513844,0.0411764705882353
