probe_name,policy,rank_group,target,context,unit_count,calibrated_layer_count,calibration_clipped_count,calibration_degenerate_count,calibration_max_relative_error,calibration_scale_min,calibration_scale_max,target_consistent,policy_or_shift_valid,integrity_pass
policy_random6_policy_contrast_t010,policy_contrast,random6,0.01,noisy_t1000,32,960,0,0,0.019005127251148224,0.01781649701297283,2.1867852210998535,1,1,1
policy_random6_policy_contrast_t010,policy_contrast,random6,0.01,noisy_t500,32,960,0,0,0.028602220118045807,0.02355610579252243,2.971285104751587,1,1,0
policy_random6_policy_contrast_t020,policy_contrast,random6,0.02,noisy_t1000,32,960,0,0,0.013591628521680832,0.03563299402594566,4.346607685089111,1,1,1
policy_random6_policy_contrast_t020,policy_contrast,random6,0.02,noisy_t500,32,960,0,0,0.01459755003452301,0.04711221158504486,5.93642520904541,1,1,1
policy_random6_policy_contrast_t050,policy_contrast,random6,0.05,noisy_t1000,32,960,0,0,0.007572248578071594,0.08908248692750931,10.677709579467773,1,1,1
policy_random6_policy_contrast_t050,policy_contrast,random6,0.05,noisy_t500,32,960,0,0,0.006511956453323364,0.11778052896261215,14.777411460876465,1,1,1
policy_random7_policy_contrast_t010,policy_contrast,random7,0.01,noisy_t1000,32,960,0,0,0.03048507496714592,0.029395347461104393,3.3935134410858154,1,1,0
policy_random7_policy_contrast_t010,policy_contrast,random7,0.01,noisy_t500,32,960,0,0,0.034614838659763336,0.026381922885775566,3.4861629009246826,1,1,0
policy_random7_policy_contrast_t020,policy_contrast,random7,0.02,noisy_t1000,32,960,0,0,0.02098875120282173,0.05910591408610344,6.799273490905762,1,1,0
policy_random7_policy_contrast_t020,policy_contrast,random7,0.02,noisy_t500,32,960,0,0,0.018086843192577362,0.053078241646289825,6.959900379180908,1,1,1
policy_random7_policy_contrast_t050,policy_contrast,random7,0.05,noisy_t1000,32,960,0,0,0.005870983004570007,0.1507624089717865,16.9914493560791,1,1,1
policy_random7_policy_contrast_t050,policy_contrast,random7,0.05,noisy_t500,32,960,0,0,0.007572993636131287,0.13510815799236298,18.733911514282227,1,1,1
policy_top4_policy_contrast_t010,policy_contrast,top4,0.01,noisy_t1000,32,960,0,0,0.03407048061490059,0.017857516184449196,2.7693018913269043,1,1,0
policy_top4_policy_contrast_t010,policy_contrast,top4,0.01,noisy_t500,32,960,0,0,0.04362640902400017,0.022141631692647934,1.8994039297103882,1,1,0
policy_top4_policy_contrast_t020,policy_contrast,top4,0.02,noisy_t1000,32,960,0,0,0.02193097025156021,0.03571503236889839,5.4627685546875,1,1,0
policy_top4_policy_contrast_t020,policy_contrast,top4,0.02,noisy_t500,32,960,0,0,0.018581468611955643,0.04452258348464966,3.779181718826294,1,1,1
policy_top4_policy_contrast_t050,policy_contrast,top4,0.05,noisy_t1000,32,960,0,0,0.007790327072143555,0.08928758651018143,13.141046524047852,1,1,1
policy_top4_policy_contrast_t050,policy_contrast,top4,0.05,noisy_t500,32,960,0,0,0.007077455520629883,0.11305209249258041,9.921862602233887,1,1,1
