operator,call_index,layer,head,discovery_gain,validation_gain,validation_ci_lower,validation_ci_upper,validation_win_fraction,validation_sign_p,validation_bh_q,phase_contrast_discovery,phase_contrast_validation,phase_contrast_validation_ci_lower,phase_contrast_validation_ci_upper,phase_contrast_validation_win_fraction,full_budget_fraction,relative_reference_energy,compatible,phase_selective
retrieval,0,26,5,-2.1103954507877396,-1.9072766555802445,-2.202751387058572,-1.6225356876343209,0.0,1.0,1.0,-0.027744026946494433,0.028446104964580138,-0.07984305483102806,0.13705982267530156,0.5,0.9192708333333334,1.2774312446712108,False,False
retrieval,0,26,6,-2.4125190069033406,-2.2617446218929205,-2.4990339735574336,-2.0334850052997817,0.0,1.0,1.0,0.05248577308477064,0.017515669966502362,-0.029690190468773015,0.06936552874681493,0.5625,0.9192708333333334,0.8806844477363368,False,False
retrieval,0,26,7,-2.353540527702629,-2.2594751903013974,-2.436963251853019,-2.0827126453400786,0.0,1.0,1.0,0.1358343441551381,0.13940765902940275,0.06385178831222729,0.210637263454859,0.71875,0.9192708333333334,0.28336978082732694,False,False
retrieval,0,26,8,-3.7407529581962,-3.37864087929071,-3.6915762823175227,-3.0580238228082024,0.0,1.0,1.0,0.1623451879998012,0.11741283645501263,0.041874748901001846,0.20144385536827028,0.6875,0.9192708333333334,1.4393125077858824,False,False
retrieval,0,26,9,-2.5535667682755396,-2.3541445014350546,-2.5725315319443336,-2.1248204911652215,0.0,1.0,1.0,0.04143629513277331,0.0576143931879487,0.02178086334309515,0.09791366949514889,0.71875,0.9192708333333334,1.3989212745433448,False,False
retrieval,0,26,10,-3.05929663631035,-2.939930468902496,-3.2731149987550596,-2.5850929576025985,0.0,1.0,1.0,0.553632711591441,0.5697798667031163,0.4136208126393616,0.7369716362155845,0.9375,0.9192708333333334,4.618230288667575,False,False
retrieval,0,26,11,-1.1686319611789948,-1.267238487828799,-1.4807159859477144,-1.0542468272941075,0.03125,0.9999999997671694,1.0,-0.07119854052030379,-0.07225998043456858,-0.10605459026531916,-0.03609775218534509,0.1875,0.9192708333333334,1.119315552263663,False,False
retrieval,0,27,0,-0.10252369757338234,-0.10210287323682138,-0.29793315488529165,0.06968748721623351,0.4375,0.8114572062622756,1.0,0.6171496957305587,0.5866773716857404,0.5429403350989602,0.6313561005035727,1.0,0.9166666666666667,0.35292098355620233,False,False
retrieval,0,27,1,-1.5540054782804462,-1.576581615960046,-1.7305463590530006,-1.4257676577152751,0.0,1.0,1.0,0.19586935626154278,0.21540533857116348,0.15964563526466724,0.2674494846666622,0.90625,0.9166666666666667,0.4127173156549829,False,False
retrieval,0,27,2,-4.051585612571352,-3.787060398418409,-4.226130392811177,-3.3315116617286624,0.0,1.0,1.0,0.09156465236180425,0.03750990454395435,-0.04008588220769656,0.11824883222026222,0.59375,0.9166666666666667,3.8601951452253704,False,False
retrieval,0,27,3,-3.643633121528729,-3.5540017515448987,-3.7453618930127797,-3.34303641026689,0.0,1.0,1.0,-0.44748011387357584,-0.4018685519123585,-0.4622145548196352,-0.33555146668263136,0.03125,0.9166666666666667,0.704143617384951,False,False
retrieval,0,27,4,-0.6984635966713945,-0.5504926032100423,-0.6931433386896592,-0.4113869151911758,0.03125,0.9999999997671694,1.0,0.06313645912198838,0.053711335647703216,0.01712920380435078,0.0918206463405109,0.53125,0.9166666666666667,0.3090566101704658,False,False
retrieval,0,27,5,-0.41086596556805965,-0.455797075095447,-0.6027575264001851,-0.3263547576262638,0.1875,0.9999434628989547,1.0,0.14222901329799678,0.12283356673856526,0.09292350687956984,0.15167522307172707,0.9375,0.9166666666666667,0.26958871735857803,False,False
retrieval,0,27,6,-2.929601352935757,-2.8500218158292436,-3.074448634353047,-2.651366303717967,0.0,1.0,1.0,0.2845655964591238,0.3539648064169306,0.2819124373998095,0.4259341523896333,0.96875,0.9166666666666667,1.4186878291566667,False,False
retrieval,0,27,7,-0.5043960174192637,-0.5006000097159445,-0.6385752990866597,-0.34823290296448883,0.125,0.999998721992597,1.0,0.02131980327075703,0.05682357473469259,-0.025091594578569413,0.14681917256940671,0.5,0.9166666666666667,2.954135013080999,False,False
retrieval,0,27,8,-2.3575047288432724,-2.414745518601894,-2.654268793611352,-2.1369830031626584,0.0,1.0,1.0,-0.21526715150173847,-0.181888077620882,-0.23303139443477588,-0.1286870331099629,0.09375,0.9166666666666667,1.1992615488474947,False,False
retrieval,0,27,9,-3.256868724017707,-3.183874019616249,-3.4285209037450852,-2.9328392604409435,0.0,1.0,1.0,-0.11056479562952576,-0.06726603002239406,-0.15810416990736437,0.020027353450646143,0.3125,0.9166666666666667,3.115447559137319,False,False
retrieval,0,27,10,-1.2278127092805,-1.071392624354632,-1.2923141621888734,-0.8496499663843681,0.0,1.0,1.0,0.27253998782894756,0.24575530203584822,0.1488342847021915,0.33435336711040503,0.84375,0.9166666666666667,0.8007384511525051,False,False
retrieval,0,27,11,-2.9357601252920005,-2.9032645768491596,-3.1823286501937984,-2.5963371844416905,0.0,1.0,1.0,-0.7723545604681801,-0.8909679151285854,-0.992992281803725,-0.791297345701948,0.0,0.9166666666666667,10.673650370444662,False,False
retrieval,0,28,0,-11.480285321202926,-11.42903841530282,-11.942632002550411,-10.83494234015383,0.0,1.0,1.0,0.5827786562864892,0.5865523047971668,0.45959721098172446,0.7153788492199737,0.96875,0.9166666666666667,2.1636399657119427,False,False
retrieval,0,28,1,-7.488986616209043,-7.531362300440889,-7.778787080635491,-7.289002036196284,0.0,1.0,1.0,-0.48477882161589425,-0.5215886026349734,-0.687301785538057,-0.3864800740605318,0.03125,0.9166666666666667,2.228053868061392,False,False
retrieval,0,28,2,-4.385225180933432,-4.315713318839365,-4.931485277669089,-3.689938609785386,0.0,1.0,1.0,0.04610705222911396,0.031707237469220176,-0.06429511107045116,0.1310990931345926,0.5,0.9166666666666667,1.1769587589618926,False,False
retrieval,0,28,3,-1.4862874888977902,-1.4623261912598107,-1.5958991610354663,-1.326231137720439,0.0,1.0,1.0,0.5115300593301975,0.5253717322208911,0.47791753898573996,0.5673444484033405,1.0,0.9166666666666667,0.1079676716579402,False,False
retrieval,0,28,4,-2.572585297035147,-2.6126406060217504,-2.764837170509446,-2.450140472555346,0.0,1.0,1.0,-0.5825620118140247,-0.5934597140325479,-0.6586624127826602,-0.5333418199991891,0.0,0.9166666666666667,0.08414549012437937,False,False
retrieval,0,28,5,-2.089075760203885,-2.0346778630726536,-2.3696745909316523,-1.719544542240469,0.0,1.0,1.0,0.25708158047507085,0.297140842173926,0.2266957208835945,0.37807715161066774,0.96875,0.9166666666666667,0.18721944834430645,False,False
retrieval,0,28,6,-2.2341006222329627,-2.2886978433373275,-2.5474808368636612,-2.0427691871376767,0.0,1.0,1.0,-0.06231171569729299,-0.032295722420539505,-0.10770115567758094,0.04769592178806903,0.375,0.9166666666666667,1.4170868368286984,False,False
retrieval,0,28,7,0.30022567191690286,0.2156807794490659,0.06618985890738173,0.36977551978959006,0.78125,0.0010512007866054773,0.032207002823657176,0.07016418975443793,0.02772442653253542,-0.03330978334807721,0.09356195207310934,0.625,0.9166666666666667,0.1313474725348756,True,True
retrieval,0,28,8,-1.1445897727749768,-1.0949320973709653,-1.2388335646019057,-0.9416306344813534,0.03125,0.9999999997671694,1.0,-0.04309185557734825,-0.07809624823076282,-0.12976369225832524,-0.022631511009906718,0.21875,0.9166666666666667,5.233924692910807,False,False
retrieval,0,28,9,-2.2886413089103805,-2.2955189225831507,-2.5134116179181567,-2.0900493594162346,0.0,1.0,1.0,-0.020184867525975144,-0.0618672444322876,-0.11263706575317743,-0.010795481333980504,0.375,0.9166666666666667,0.8230412410381072,False,False
retrieval,0,28,10,-3.5877749480226555,-3.7420537127928886,-3.940332482764018,-3.5248598533885,0.0,1.0,1.0,-0.20894699635447594,-0.24440530281418477,-0.32820800536855843,-0.16296006193831913,0.25,0.9166666666666667,0.4183299785337963,False,False
retrieval,0,28,11,-1.4079858288580187,-1.3541627431037908,-1.57553151089178,-1.1404239574634798,0.03125,0.9999999997671694,1.0,-0.41130022543318767,-0.38632188201263634,-0.4953945599397864,-0.28431850156995175,0.0625,0.9166666666666667,3.9428715288516556,False,False
retrieval,0,29,0,-7.162619636997819,-7.670275111747133,-8.231686781246882,-7.098080089550552,0.0,1.0,1.0,-0.0015372065972242,-0.3222540165285611,-0.5739170087588747,-0.09365032183054212,0.25,0.9166666666666667,8.514128239011228,False,False
retrieval,0,29,1,-1.505764415797064,-1.4691963272543935,-1.5667052852794592,-1.3717470928350197,0.0,1.0,1.0,0.03738746216282863,0.03214772357490141,0.002529916236286866,0.05729374068646433,0.65625,0.9166666666666667,0.6030718205581171,False,False
retrieval,0,29,2,-0.059074154595161174,-0.16339205141036348,-0.30667338610479244,-0.028128270602384778,0.34375,0.9749487701337785,1.0,0.13021994702593584,0.25054989573032505,0.1693249321646742,0.34162851182484866,0.9375,0.9166666666666667,3.179034112222457,False,False
