operator,factor,call_index,layer,head,discovery_gain,validation_gain,validation_ci_lower,validation_ci_upper,validation_win_fraction,full_budget_fraction,relative_reference_energy,selected
landmark,head_only,-1,8,11,-7.376681749696688,-7.3629876868031605,-7.624045197194482,-7.088451963429042,0.0,0.1484375,1.249892805991122,False
landmark,head_only,-1,9,0,-3.2911184469942816,-3.419588093127545,-3.7093738109399164,-3.1349561011552893,0.0,0.033854166666666664,1.0594741832984713,False
landmark,head_only,-1,9,1,-1.6729679989776904,-1.7056315054917741,-1.9412717815296916,-1.4765212892958512,0.0,0.033854166666666664,0.42728662711952015,False
landmark,head_only,-1,9,2,-2.118092381986128,-2.1246324064988302,-2.4727117019738554,-1.8232569813686332,0.0,0.033854166666666664,1.5799610907737747,False
landmark,head_only,-1,9,3,-3.0919089104789697,-3.057843753181446,-3.409963557034083,-2.723394491744963,0.0,0.033854166666666664,1.234088357859117,False
landmark,head_only,-1,9,4,-3.424479165013188,-3.3982484100709858,-3.6314982589057583,-3.1395587143714474,0.0,0.033854166666666664,0.7385934494112295,False
landmark,head_only,-1,9,5,-2.0638412602837146,-2.075016855249974,-2.303131077046863,-1.8721097637990742,0.0,0.033854166666666664,0.881912837029605,False
landmark,head_only,-1,9,6,-3.0585858725408865,-3.0620542362141383,-3.426263763178643,-2.7005770533591096,0.0,0.033854166666666664,2.2211296510596346,False
landmark,head_only,-1,9,7,-4.754143717559105,-4.68243200598662,-4.907165670643913,-4.454374616479103,0.0,0.033854166666666664,0.828016842760065,False
landmark,head_only,-1,9,8,-4.021140772745049,-3.972299232484252,-4.2526050093536965,-3.669631226276274,0.0,0.033854166666666664,2.136488926649309,False
landmark,head_only,-1,9,9,-4.072515659495813,-4.169128676573614,-4.424207943007749,-3.929830882773031,0.0,0.033854166666666664,0.9405258167015287,False
landmark,head_only,-1,9,10,-3.7368460049405448,-3.7136802929411323,-4.004640766520913,-3.465434555174167,0.0,0.033854166666666664,2.6743288251812487,False
landmark,head_only,-1,9,11,-1.6977972193198287,-1.6526757569379016,-1.8820204284737398,-1.4320535020237517,0.0,0.033854166666666664,0.7875963845626153,False
landmark,head_only,-1,10,0,-4.4837840535568265,-4.3435932445848024,-4.5469248301402185,-4.14390983474551,0.0,0.0,0.5897134673219204,False
landmark,head_only,-1,10,1,-3.1251164543279084,-3.2588772050719568,-3.514265234164485,-2.995726557557377,0.0,0.0,0.9899693915609353,False
landmark,head_only,-1,10,2,-3.0629022078479355,-2.9745538399289417,-3.113829969826455,-2.832689938985494,0.0,0.0,1.0100306084390647,False
landmark,head_only,-1,10,3,-3.215979624113588,-3.198342753804468,-3.4557925064061,-2.9390597859485004,0.0,0.0,0.6222311156883198,False
landmark,head_only,-1,10,4,-1.9811250070598607,-2.001192679218852,-2.2327311622196926,-1.779745834406321,0.0,0.0,1.927281231255173,False
landmark,head_only,-1,10,5,-2.65013288935943,-2.6308325320432835,-2.8372147798438876,-2.39995842843327,0.0,0.0,1.531995403455367,False
landmark,head_only,-1,10,6,-3.1412424233968634,-2.9727632219216797,-3.1559725016147735,-2.7908714190956645,0.0,0.0,0.4975361494992518,False
landmark,head_only,-1,10,7,-1.808994682311147,-1.7163108938166771,-1.8551654836826432,-1.5686533465437325,0.0,0.0,0.3729843061383563,False
landmark,head_only,-1,10,8,-1.8576528187310424,-1.7625946818579528,-1.9514414633409607,-1.559697235295037,0.0,0.0,0.2206910932236354,False
landmark,head_only,-1,10,9,-2.9570061179403897,-2.830590452021647,-3.1000436012670978,-2.5853751414074697,0.0,0.0,1.4584574294564536,False
landmark,head_only,-1,10,10,-3.5542455754752584,-3.5936399632038025,-3.8286593183762143,-3.3550313920729002,0.0,0.0,1.1633568870719924,False
landmark,head_only,-1,10,11,-4.437348427975636,-4.3734244567246625,-4.550905827515636,-4.202375975235922,0.0,0.0,1.4986008475209007,False
landmark,head_only,-1,11,0,-3.483963801194256,-3.500606495862721,-3.6765661931246143,-3.330266563225335,0.0,0.024739583333333332,1.484518521438669,False
landmark,head_only,-1,11,1,-3.403537589224889,-3.4747007137384305,-3.802634066387574,-3.1269095010714345,0.0,0.024739583333333332,1.286612129293008,False
landmark,head_only,-1,11,2,-2.8358425767958586,-2.797652315816185,-3.0123264395034015,-2.599504987134016,0.0,0.024739583333333332,0.9928107184750598,False
landmark,head_only,-1,11,3,-4.253392217724059,-4.179021953181236,-4.45211984057675,-3.907674703756966,0.0,0.024739583333333332,1.0071892815249401,False
landmark,head_only,-1,11,4,-3.5918843169522874,-3.4915641477460975,-3.696731107826126,-3.291553585405854,0.0,0.024739583333333332,2.8902578608493874,False
landmark,head_only,-1,11,5,-3.739261613263853,-3.5856410052741037,-3.7817367938835478,-3.4037159226777804,0.0,0.024739583333333332,0.9202577611531344,False
landmark,head_only,-1,11,6,-3.3124589626788863,-3.381809952587844,-3.6249092984197815,-3.122929199701197,0.0,0.024739583333333332,1.2996066357600358,False
landmark,head_only,-1,11,7,-3.5087656732359584,-3.550268148319044,-3.804343720604891,-3.3138403723868324,0.0,0.024739583333333332,1.2515649765427626,False
landmark,head_only,-1,11,8,-2.220785281769523,-2.0851992497098752,-2.2956314162062084,-1.8640298038016685,0.0,0.024739583333333332,0.3500942906598607,False
landmark,head_only,-1,11,9,-4.198426861547417,-3.9292575037566597,-4.468690163417137,-3.3895210038922463,0.03125,0.024739583333333332,0.7730922714961843,False
landmark,head_only,-1,11,10,-1.5184326051844987,-1.4959567647864815,-1.7008387586595044,-1.2911238867262933,0.03125,0.024739583333333332,0.6849417100482592,False
landmark,head_only,-1,11,11,-2.180677040750456,-2.1367631825947,-2.3064470270564343,-1.965593499253791,0.0,0.024739583333333332,0.5827011365293118,False
landmark,head_only,-1,12,0,-5.041739773230293,-4.98488272212812,-5.2174299563059865,-4.753643168607487,0.0,0.009114583333333334,1.9567230352001228,False
landmark,head_only,-1,12,1,-3.4244546243489347,-3.359923910721087,-3.561416281384136,-3.1682126363002725,0.0,0.009114583333333334,1.3058002426586064,False
landmark,head_only,-1,12,2,-5.041995042883316,-4.76989587576058,-5.17976915217988,-4.365133886775148,0.0,0.009114583333333334,0.9835769398514008,False
landmark,head_only,-1,12,3,-1.9203669811357127,-1.8640201838933042,-2.030030664746602,-1.696146177004235,0.0,0.009114583333333334,0.44098026006986885,False
landmark,head_only,-1,12,4,-2.2709493478464653,-2.197984404237917,-2.393627211569806,-1.991337723427645,0.0,0.009114583333333334,0.7627365645271936,False
landmark,head_only,-1,12,5,-1.9567423161277793,-1.8821996586554341,-2.0950848634909125,-1.6702488624627667,0.0,0.009114583333333334,0.6640480732761497,False
landmark,head_only,-1,12,6,-5.773339771946203,-5.715392465921905,-5.975448818029819,-5.439143605070869,0.0,0.009114583333333334,1.0164230601485993,False
landmark,head_only,-1,12,7,-5.693839884565618,-5.514704073449034,-5.7377962173476655,-5.302566006027579,0.0,0.009114583333333334,1.4916546460997737,False
landmark,head_only,-1,12,8,-5.2760462963206844,-5.271670475896591,-5.475809242555912,-5.038621914021652,0.0,0.009114583333333334,0.9468385046065876,False
landmark,head_only,-1,12,9,-5.203499368567017,-5.228389051232627,-5.5031746233633845,-4.958333602969885,0.0,0.009114583333333334,0.4811642950236374,False
landmark,head_only,-1,12,10,-3.6560770489241516,-3.3351246547981823,-3.5414801134146137,-3.133127777296045,0.0,0.009114583333333334,1.0660051265902486,False
landmark,head_only,-1,12,11,-4.229433080747626,-4.276634359263595,-4.557783662007139,-4.017830505789441,0.0,0.009114583333333334,1.0793295165404542,False
landmark,head_only,-1,13,0,-2.6554050349645224,-2.6324990120103413,-2.863065461922672,-2.415415996345372,0.0,0.06380208333333333,1.331022457825094,False
landmark,head_only,-1,13,1,-3.54037437938613,-3.6065547602711723,-3.837370382537929,-3.391325044526829,0.0,0.06380208333333333,0.7770823071039769,False
landmark,head_only,-1,13,2,-2.5918897421033233,-2.4469637258701447,-2.638374509094771,-2.244735308378151,0.0,0.06380208333333333,1.2175396469387827,False
landmark,head_only,-1,13,3,-2.4191398059363003,-2.3053223358784214,-2.4731387344230686,-2.1354207893231862,0.0,0.06380208333333333,0.5187738763389806,False
landmark,head_only,-1,13,4,-2.2856882157166636,-2.172249295837206,-2.312455408073171,-2.007074870881914,0.0,0.06380208333333333,0.7098212350027907,False
landmark,head_only,-1,13,5,-3.351757605984387,-3.3792986009668096,-3.5961107284152436,-3.144877073791599,0.0,0.06380208333333333,1.672369448896421,False
