layer,head,discovery_best,discovery_margin,coverage_gain,episode_gain,stability_frequency,supported_nonlocal,assigned_policy
6,1,recent,0.8004215379677757,-0.8004215379677757,-0.9264100359716125,1.0,False,recent
6,2,recent,1.7703892008596558,-1.78772459697075,-1.7703892008596558,1.0,False,recent
6,3,recent,0.33797098679875903,-0.33797098679875903,-0.44157533090428736,1.0,False,recent
6,4,recent,1.6236966240952255,-1.653477916678479,-1.6236966240952255,1.0,False,recent
6,5,recent,0.18357008971903532,-0.18357008971903532,-0.27846099309633976,1.0,False,recent
6,6,coverage,0.2543680280903189,0.2543680280903189,-0.08066014831413915,1.0,True,coverage
6,7,recent,0.2747538086101402,-0.36044111427292513,-0.2747538086101402,1.0,False,recent
6,8,recent,0.7471080007789599,-0.7789632729955498,-0.7471080007789599,1.0,False,recent
6,9,recent,1.0348567594383455,-1.0348567594383455,-1.0522033957406922,1.0,False,recent
6,10,recent,0.91269656054134,-0.9225301306519338,-0.91269656054134,1.0,False,recent
6,11,recent,0.17746814629545504,-0.18539900092142503,-0.17746814629545504,0.9166666666666666,False,recent
7,0,recent,2.239511457171986,-2.257112680297384,-2.239511457171986,1.0,False,recent
7,1,recent,3.4457730590524402,-3.4457730590524402,-3.4723784636003083,1.0,False,recent
7,2,recent,0.7939255661342823,-0.7939255661342823,-0.8533885373770342,1.0,False,recent
7,3,recent,2.2393829785271038,-2.2393829785271038,-2.262288927882093,1.0,False,recent
7,4,recent,2.4319888708724937,-2.4319888708724937,-2.4359082831453174,1.0,False,recent
7,5,recent,1.3856648649677834,-1.4640155794222984,-1.3856648649677834,1.0,False,recent
7,6,recent,1.4637993389674455,-1.4637993389674455,-1.5992491569998268,1.0,False,recent
7,7,recent,4.426266922353729,-4.426266922353729,-4.435854281249542,1.0,False,recent
7,8,recent,3.636533088236485,-3.636533088236485,-3.6589779635767687,1.0,False,recent
7,9,recent,1.7489648685086348,-1.803456993876595,-1.7489648685086348,1.0,False,recent
7,10,recent,0.2764812288985987,-0.2764812288985987,-0.2933649964379237,1.0,False,recent
7,11,recent,1.5871650236475938,-1.6432579893199608,-1.5871650236475938,1.0,False,recent
8,0,recent,3.4496933408183343,-3.4566994876468335,-3.4496933408183343,1.0,False,recent
8,1,recent,5.118920813506717,-5.129510098476988,-5.118920813506717,1.0,False,recent
8,2,recent,0.7151741678414147,-0.7199151403269743,-0.7151741678414147,1.0,False,recent
8,3,recent,1.8994657785499305,-1.913207739351904,-1.8994657785499305,1.0,False,recent
