variant,measure,mode,current_frame,nominal_timestep,raw_split_spearman,layer_residual_split_spearman,discovery_layer_eta_squared,validation_layer_eta_squared
action_excess_seed,value_shift,clean,63,0,0.30402858046744186,0.14070324616702287,0.3546608714715115,0.35033026934389844
action_excess_seed,value_scale_shift,clean,63,0,-0.2752328335866789,-0.169600588481907,0.45022431444167316,0.5119845133760578
action_excess_seed,compatibility_loss,clean,63,0,0.12665401224803688,0.09354933294238381,0.06634450546046099,0.12555634214673128
action_excess_seed,policy_shift,clean,63,0,0.03715074961998163,0.02632607761891167,0.09725863105564977,0.11989295207636558
action_excess_seed,topology_normalized_entropy_shift,clean,63,0,-0.0416965132426548,0.012465265397606276,0.1370267445986394,0.10254683880376932
action_excess_seed,topology_diagonal_mass_shift,clean,63,0,0.1477375294655267,0.16455808527209212,0.1975592382471226,0.254820623107553
action_excess_seed,topology_expected_displacement_shift,clean,63,0,0.049564469709898105,0.038865269022137515,0.1114869477821796,0.06772346827289961
action_excess_seed,topology_directional_coherence_shift,clean,63,0,0.04810195099443378,0.07639453308257745,0.1326304158233474,0.10884290379309704
action_excess_seed,topology_top1_displacement_shift,clean,63,0,0.042914867361627744,0.01077535269068179,0.08187307873560336,0.07974744323456141
action_excess_seed,query_shift,clean,117,0,0.08082829857226263,0.13239184795612186,0.15863972774600493,0.14644756792916577
action_excess_seed,key_shift,clean,117,0,0.09815456394982472,-0.0027605665681576757,0.11915600717710668,0.3734631056173121
action_excess_seed,value_shift,clean,117,0,0.10991545716659336,0.09167097482748066,0.22993811710853074,0.2653023822633691
action_excess_seed,value_scale_shift,clean,117,0,-0.10358284657546224,-0.03902216323685625,0.30310162994088025,0.23048599261338928
action_excess_seed,compatibility_loss,clean,117,0,0.036987168110865054,0.03361780054887254,0.10753847567652257,0.18675532429459224
action_excess_seed,policy_shift,clean,117,0,-0.020307769864479405,-0.017870765463725284,0.09990477973671269,0.09266044400568031
action_excess_seed,topology_normalized_entropy_shift,clean,117,0,0.00325448925392095,-0.026406599334999586,0.28540576450780697,0.09690406659035031
action_excess_seed,topology_diagonal_mass_shift,clean,117,0,0.12105232732966163,0.007378991351374829,0.265974043788893,0.18090053614335116
action_excess_seed,topology_expected_displacement_shift,clean,117,0,0.03254042894178835,0.040624418478591794,0.12788453961904536,0.12200544822375897
action_excess_seed,topology_directional_coherence_shift,clean,117,0,-0.052866294543881275,-0.04482005612570118,0.07958193397252203,0.08192187433363539
action_excess_seed,topology_top1_displacement_shift,clean,117,0,0.08413686397604342,0.051621157768220384,0.08025034476512166,0.115893052356747
action_excess_seed,query_shift,noisy,63,500,0.5147616879759874,0.4443277597306563,0.3078406850429597,0.3297718776804791
action_excess_seed,key_shift,noisy,63,500,0.11509399506683435,0.0866588476762938,0.2261494179687936,0.33069386354236296
action_excess_seed,value_shift,noisy,63,500,0.30402858046744186,0.14070324616702287,0.3546608714715115,0.35033026934389844
action_excess_seed,value_scale_shift,noisy,63,500,-0.2752328335866789,-0.169600588481907,0.45022431444167316,0.5119845133760578
action_excess_seed,compatibility_loss,noisy,63,500,0.0773308436021883,0.05642687572177769,0.09997189291653706,0.14410275062761546
action_excess_seed,policy_shift,noisy,63,500,-0.00863664071482033,-0.016378727202113183,0.09475812472004531,0.16367615317810533
action_excess_seed,topology_normalized_entropy_shift,noisy,63,500,-0.0027434916342044488,-0.03359288037806611,0.09259140951068073,0.12348881932700057
action_excess_seed,topology_diagonal_mass_shift,noisy,63,500,0.052011846548974346,-0.016436781749665317,0.1384980074350312,0.3893884743017512
action_excess_seed,topology_expected_displacement_shift,noisy,63,500,0.09785729672036553,0.01012315690951089,0.12005967887952075,0.1721343302905949
action_excess_seed,topology_directional_coherence_shift,noisy,63,500,-0.0519965424073686,-0.05340836138569218,0.10668805378730416,0.07715680143181392
action_excess_seed,topology_top1_displacement_shift,noisy,63,500,-0.012479365913345608,-0.010724801417171812,0.08223218661462729,0.10896989431239708
action_excess_seed,query_shift,noisy,63,1000,0.7140482051044632,0.5890395244819275,0.33613384217968684,0.3033934243868517
action_excess_seed,key_shift,noisy,63,1000,0.11509399506683435,0.0866588476762938,0.2261494179687936,0.33069386354236296
action_excess_seed,value_shift,noisy,63,1000,0.30402858046744186,0.14070324616702287,0.3546608714715115,0.35033026934389844
action_excess_seed,value_scale_shift,noisy,63,1000,-0.2752328335866789,-0.169600588481907,0.45022431444167316,0.5119845133760578
action_excess_seed,compatibility_loss,noisy,63,1000,0.07639976645910333,0.03828861848213849,0.10651034363544878,0.18929595243478203
action_excess_seed,policy_shift,noisy,63,1000,0.0469180574952996,0.04324261761279022,0.13966067300407692,0.13805716889610176
action_excess_seed,topology_normalized_entropy_shift,noisy,63,1000,-0.16595762192881894,-0.11654434024237402,0.15561842358607778,0.1098470966363138
action_excess_seed,topology_diagonal_mass_shift,noisy,63,1000,-0.06691416443524932,-0.07853334699099579,0.09625469030327169,0.10636061199777262
action_excess_seed,topology_expected_displacement_shift,noisy,63,1000,-0.010215636137343522,-0.04869730431722694,0.12882992477496652,0.13255023463988147
action_excess_seed,topology_directional_coherence_shift,noisy,63,1000,-0.09486057484072062,-0.103510849526395,0.051735685880323845,0.12070450683573412
action_excess_seed,topology_top1_displacement_shift,noisy,63,1000,0.06359959777582795,0.07979498398014209,0.09725324305008574,0.08149906868843312
action_excess_seed,query_shift,noisy,117,500,0.41229356193592026,0.3886017639024992,0.4660224183720848,0.2742017276247757
action_excess_seed,key_shift,noisy,117,500,0.09815456394982472,-0.0027605665681576757,0.11915600717710668,0.3734631056173121
action_excess_seed,value_shift,noisy,117,500,0.10991545716659336,0.09167097482748066,0.22993811710853074,0.2653023822633691
action_excess_seed,value_scale_shift,noisy,117,500,-0.10358284657546224,-0.03902216323685625,0.30310162994088025,0.23048599261338928
action_excess_seed,compatibility_loss,noisy,117,500,0.023961347438380437,-0.008411587537969686,0.12463269719467991,0.2390156367847845
action_excess_seed,policy_shift,noisy,117,500,0.021087611272720724,0.061881135914114566,0.05626776414745819,0.14590425896399695
action_excess_seed,topology_normalized_entropy_shift,noisy,117,500,0.03271063944080605,0.03098855781476874,0.19562924282097652,0.1594592789958834
action_excess_seed,topology_diagonal_mass_shift,noisy,117,500,0.0049109473235588305,0.01566991146158556,0.11901303167456298,0.24257544962551794
action_excess_seed,topology_expected_displacement_shift,noisy,117,500,-0.06325694002955788,-0.056698758188321464,0.06604220093479853,0.15076296443551385
action_excess_seed,topology_directional_coherence_shift,noisy,117,500,0.07037281333202404,0.03383856949926732,0.04842846017163227,0.09474861110239877
action_excess_seed,topology_top1_displacement_shift,noisy,117,500,0.06881609630711612,0.06756437768020088,0.08332652177818346,0.12678730713563002
action_excess_seed,query_shift,noisy,117,1000,0.6616753730095654,0.5661638335686746,0.47809340962291436,0.31692405906947924
action_excess_seed,key_shift,noisy,117,1000,0.09815456394982472,-0.0027605665681576757,0.11915600717710668,0.3734631056173121
action_excess_seed,value_shift,noisy,117,1000,0.10991545716659336,0.09167097482748066,0.22993811710853074,0.2653023822633691
action_excess_seed,value_scale_shift,noisy,117,1000,-0.10358284657546224,-0.03902216323685625,0.30310162994088025,0.23048599261338928
action_excess_seed,compatibility_loss,noisy,117,1000,-0.03335416682741893,0.01435144818504258,0.10585821793420741,0.21801681543323204
action_excess_seed,policy_shift,noisy,117,1000,0.043994681028917404,0.07937689848429899,0.07972890683697054,0.10456316390865679
action_excess_seed,topology_normalized_entropy_shift,noisy,117,1000,0.20000511840590066,0.06609044276156394,0.2568792851171202,0.14012707936260937
action_excess_seed,topology_diagonal_mass_shift,noisy,117,1000,0.2717630703428346,0.06443609670410735,0.2762029024045724,0.29744231823867917
action_excess_seed,topology_expected_displacement_shift,noisy,117,1000,0.029872022241994638,-0.012260645389787446,0.08321506459637767,0.12752261619756713
action_excess_seed,topology_directional_coherence_shift,noisy,117,1000,0.07954254711641526,0.06669022224008372,0.08760114152066673,0.1068678906878978
action_excess_seed,topology_top1_displacement_shift,noisy,117,1000,0.06529041398966645,0.08510388975949414,0.13297795032839052,0.05451403422444585
camera,query_shift,clean,63,0,0.978214595277227,0.9539366301694714,0.3844430161450968,0.3692991383976112
camera,key_shift,clean,63,0,0.9881256799820985,0.9686360748668327,0.551582785748466,0.5808768330634758
camera,value_shift,clean,63,0,0.9397091541344197,0.8314187095065033,0.6621983988246728,0.6365064136258632
camera,value_scale_shift,clean,63,0,0.7906444751374111,0.8085363312988524,0.3983968734815989,0.327663972703472
camera,compatibility_loss,clean,63,0,0.8892702361386532,0.8353513530196992,0.3339693815903748,0.34545660846407034
camera,policy_shift,clean,63,0,0.6613921918121797,0.6227025928698009,0.13715662343130355,0.18238007155131467
camera,topology_normalized_entropy_shift,clean,63,0,0.5896019738403727,0.4721036208089758,0.2428286771082834,0.3221171282306012
camera,topology_diagonal_mass_shift,clean,63,0,0.7315325331565662,0.6142917678140649,0.25497324274818134,0.30270852358279715
camera,topology_expected_displacement_shift,clean,63,0,0.8315635347634214,0.7601267860066504,0.09375585778528567,0.07541237794229022
camera,topology_directional_coherence_shift,clean,63,0,0.4917103838215021,0.3532292673981338,0.2370017293130734,0.2292484298203768
camera,topology_top1_displacement_shift,clean,63,0,0.8371206203004306,0.7018990007211146,0.15980605334097236,0.1607250619289284
camera,query_shift,clean,117,0,0.9840754944096789,0.9687510448897496,0.3343598189622111,0.35956348134274974
camera,key_shift,clean,117,0,0.9890637016232121,0.9800968114465903,0.48741497165277875,0.5291869300802897
camera,value_shift,clean,117,0,0.9263381661895539,0.8618507858856934,0.5004924867560312,0.5622307222337319
camera,value_scale_shift,clean,117,0,0.8893476544314899,0.7705329516431454,0.4845817327783359,0.4780869176526783
camera,compatibility_loss,clean,117,0,0.9042963294469865,0.8300511578021436,0.3372199159537366,0.3144300492664113
camera,policy_shift,clean,117,0,0.6762904549160615,0.6314109933975828,0.17883445360689737,0.15862686749683236
camera,topology_normalized_entropy_shift,clean,117,0,0.6187171014753458,0.5086913043104311,0.15773262391929654,0.2078801913656838
camera,topology_diagonal_mass_shift,clean,117,0,0.6940287312586608,0.6172594113687518,0.19363298839162335,0.2630116877086595
camera,topology_expected_displacement_shift,clean,117,0,0.8591261843196791,0.798848242141786,0.08070449530776368,0.0972390265475807
camera,topology_directional_coherence_shift,clean,117,0,0.45206891343343675,0.3141572318450354,0.23324484277512147,0.17908208212429405
camera,topology_top1_displacement_shift,clean,117,0,0.8975002098123285,0.8296221801043231,0.16765817168662087,0.13796374911975534
camera,query_shift,noisy,63,500,0.9839602671831315,0.9521773573355761,0.5285877841439383,0.5223817869434432
camera,key_shift,noisy,63,500,0.9881256799820985,0.9686360748668327,0.551582785748466,0.5808768330634758
camera,value_shift,noisy,63,500,0.9397091541344197,0.8314187095065033,0.6621983988246728,0.6365064136258632
camera,value_scale_shift,noisy,63,500,0.7906444751374111,0.8085363312988524,0.3983968734815989,0.327663972703472
camera,compatibility_loss,noisy,63,500,0.8690653477264485,0.7530618806215068,0.4034106245697062,0.4519398074175908
camera,policy_shift,noisy,63,500,0.6939073603962992,0.5435396878062331,0.2506299855486908,0.3534778414800105
camera,topology_normalized_entropy_shift,noisy,63,500,0.49597884585913377,0.31920775933968165,0.32364539243465035,0.4212647874300706
camera,topology_diagonal_mass_shift,noisy,63,500,0.6893201917127102,0.5172419291982542,0.34561003121067324,0.3792662156495843
camera,topology_expected_displacement_shift,noisy,63,500,0.8278590070337599,0.7217102654740476,0.1297684861832753,0.30467730383256686
camera,topology_directional_coherence_shift,noisy,63,500,0.4949753614759398,0.30529070171565936,0.24875358392845048,0.3117141200626194
camera,topology_top1_displacement_shift,noisy,63,500,0.85520857142096,0.735879674649087,0.17030686704010772,0.2432064502694668
camera,query_shift,noisy,63,1000,0.9885853974469543,0.9297602491057344,0.6323949868681817,0.6166266158090917
camera,key_shift,noisy,63,1000,0.9881256799820985,0.9686360748668327,0.551582785748466,0.5808768330634758
camera,value_shift,noisy,63,1000,0.9397091541344197,0.8314187095065033,0.6621983988246728,0.6365064136258632
camera,value_scale_shift,noisy,63,1000,0.7906444751374111,0.8085363312988524,0.3983968734815989,0.327663972703472
camera,compatibility_loss,noisy,63,1000,0.8098002299400457,0.6447678351427608,0.43245751543979116,0.47946507683174233
camera,policy_shift,noisy,63,1000,0.7263695450324976,0.5967301702430832,0.2723449687536823,0.3269505523686674
camera,topology_normalized_entropy_shift,noisy,63,1000,0.5497270879790243,0.4361728491116479,0.3416196991807846,0.3345118794012974
camera,topology_diagonal_mass_shift,noisy,63,1000,0.6548591523751972,0.5424052488289497,0.3626028196617865,0.36952973937308947
camera,topology_expected_displacement_shift,noisy,63,1000,0.8104684029556928,0.7217955279948715,0.15988371430700063,0.21950808621517381
camera,topology_directional_coherence_shift,noisy,63,1000,0.4825522144973241,0.3541008171618652,0.30367207897324633,0.25861774149872135
camera,topology_top1_displacement_shift,noisy,63,1000,0.8580370779314934,0.7228139758798355,0.1750859732180039,0.22818617148406228
camera,query_shift,noisy,117,500,0.9815253204114228,0.9614091672518049,0.47714413986370213,0.5088530723717496
camera,key_shift,noisy,117,500,0.9890637016232121,0.9800968114465903,0.48741497165277875,0.5291869300802897
camera,value_shift,noisy,117,500,0.9263381661895539,0.8618507858856934,0.5004924867560312,0.5622307222337319
camera,value_scale_shift,noisy,117,500,0.8893476544314899,0.7705329516431454,0.4845817327783359,0.4780869176526783
camera,compatibility_loss,noisy,117,500,0.8774362970907696,0.7951061865189288,0.41904707493417814,0.4051846109354739
camera,policy_shift,noisy,117,500,0.7242013184258108,0.6238432909718952,0.2918956817040871,0.2813845294468222
camera,topology_normalized_entropy_shift,noisy,117,500,0.5430820209835249,0.41361103164572816,0.27022142255498544,0.22036697806554217
camera,topology_diagonal_mass_shift,noisy,117,500,0.6995918313825636,0.5802662118606574,0.27922233757953396,0.35505703437917113
camera,topology_expected_displacement_shift,noisy,117,500,0.8792560093925886,0.7815409033906342,0.10786641773453448,0.21832477775634426
camera,topology_directional_coherence_shift,noisy,117,500,0.4208153338809344,0.2639187272065343,0.276824450962031,0.22630975009093404
camera,topology_top1_displacement_shift,noisy,117,500,0.8773741149955081,0.7500749146165702,0.18979764463861717,0.255525710702705
camera,query_shift,noisy,117,1000,0.9871558070870953,0.9569546175794345,0.5719436248461796,0.5787991620977773
camera,key_shift,noisy,117,1000,0.9890637016232121,0.9800968114465903,0.48741497165277875,0.5291869300802897
