variant,mode,current_frame,nominal_timestep,layer,head,discovery_query_shift,discovery_key_shift,discovery_value_shift,discovery_value_scale_shift,discovery_compatibility_loss,discovery_policy_shift,discovery_topology_normalized_entropy_shift,discovery_topology_diagonal_mass_shift,discovery_topology_expected_displacement_shift,discovery_topology_directional_coherence_shift,discovery_topology_top1_displacement_shift,validation_query_shift,validation_key_shift,validation_value_shift,validation_value_scale_shift,validation_compatibility_loss,validation_policy_shift,validation_topology_normalized_entropy_shift,validation_topology_diagonal_mass_shift,validation_topology_expected_displacement_shift,validation_topology_directional_coherence_shift,validation_topology_top1_displacement_shift
action,clean,63,0,4,2,0.15462371706962585,0.23362630605697632,0.515687882900238,0.15470588207244873,0.04456651210784912,0.08584074303507805,0.0819091796875,0.0655517578125,0.0065765380859375,0.153717041015625,0.0258636474609375,0.14440947771072388,0.20192480087280273,0.4234199523925781,0.15044736117124557,0.04425370693206787,0.07755871117115021,0.0511474609375,0.048095703125,0.01146697998046875,0.12298583984375,0.0086212158203125
action,clean,63,0,4,3,0.03963738679885864,0.03868797421455383,0.7086548209190369,0.17755520343780518,0.013014823198318481,0.15062637627124786,0.0011925697326660156,0.000244140625,0.00013720989227294922,0.13988494873046875,0.0,0.040323883295059204,0.03377145528793335,0.642395555973053,0.1965547427535057,0.02710813283920288,0.2182500660419464,0.0006036758422851562,0.000244140625,3.883242607116699e-05,0.250091552734375,0.0
action,clean,63,0,4,4,0.2606722414493561,0.21477451920509338,0.5877178311347961,0.16474848240613937,0.06660932302474976,0.051134563982486725,0.0535888671875,0.09814453125,0.01849365234375,0.170013427734375,0.015087127685546875,0.24737322330474854,0.18437379598617554,0.5298090279102325,0.19172203540802002,0.07367739081382751,0.07095664739608765,0.023193359375,0.036376953125,0.0054931640625,0.118896484375,0.006465911865234375
action,clean,63,0,4,5,0.08043575286865234,0.08760792016983032,0.6591198146343231,0.1571812406182289,0.007629573345184326,0.08144036307930946,0.01513671875,0.01611328125,0.0095367431640625,0.10107421875,0.002155303955078125,0.08249765634536743,0.08769723773002625,0.5491151213645935,0.17037205398082733,0.04526200890541077,0.04681038111448288,0.05487060546875,0.069580078125,0.015289306640625,0.08966064453125,0.002155303955078125
action,clean,63,0,4,6,0.11231598258018494,0.17979273200035095,0.47079816460609436,0.14136211574077606,0.003862738609313965,0.1797214150428772,0.010986328125,0.0135498046875,0.00494384765625,0.06201171875,0.0129241943359375,0.12861105799674988,0.15426981449127197,0.36916300654411316,0.15817344188690186,0.0024085640907287598,0.09059767797589302,0.01953125,0.02288818359375,0.008453369140625,0.118896484375,0.0086212158203125
action,clean,63,0,4,7,0.16613271832466125,0.17397525906562805,0.5588071346282959,0.1412898674607277,0.039479345083236694,0.05309131741523743,0.0208740234375,0.016357421875,0.0025615692138671875,0.11828994750976562,0.0,0.10924071073532104,0.1378811001777649,0.47473180294036865,0.1501004919409752,0.056162238121032715,0.0872190110385418,0.04205322265625,0.038330078125,0.003284454345703125,0.119293212890625,0.0
action,clean,63,0,4,8,0.24720674753189087,0.3688298463821411,0.5433567762374878,0.13207242637872696,0.08593666553497314,0.12377220392227173,0.0609130859375,0.050048828125,0.0117340087890625,0.12603759765625,0.0086212158203125,0.20493867993354797,0.35513028502464294,0.518634170293808,0.13858695328235626,0.14858701825141907,0.09012478217482567,0.03515625,0.017578125,0.010345458984375,0.15966796875,0.00431060791015625
action,clean,63,0,4,9,0.21821719408035278,0.41062071919441223,0.45696547627449036,0.1328132562339306,0.07240203022956848,0.1852908730506897,0.010009765625,0.0125732421875,0.0841064453125,0.1087646484375,0.14617919921875,0.18557336926460266,0.3773546814918518,0.3798259198665619,0.1272939220070839,0.028009667992591858,0.09817832708358765,0.04541015625,0.0213623046875,0.0252685546875,0.2215118408203125,0.11566162109375
action,clean,63,0,4,10,0.17085811495780945,0.14561021327972412,0.7370884418487549,0.1728125661611557,0.023696482181549072,0.1143142357468605,0.026153564453125,0.017333984375,0.002109527587890625,0.10984420776367188,0.0,0.16570666432380676,0.11440974473953247,0.6708681285381317,0.2477239891886711,0.035148561000823975,0.09331710636615753,0.0241241455078125,0.015869140625,0.0013942718505859375,0.12274169921875,0.0
action,clean,63,0,4,11,0.3179734945297241,0.3033239245414734,0.6089507937431335,0.17436886578798294,0.11702084541320801,0.0689038448035717,0.048583984375,0.035888671875,0.004669189453125,0.185791015625,0.006465911865234375,0.38024717569351196,0.2736585736274719,0.5133323967456818,0.15348419547080994,0.17809566855430603,0.06059684604406357,0.0419464111328125,0.060546875,0.003765106201171875,0.154296875,0.002155303955078125
action,clean,63,0,5,0,0.16017398238182068,0.07526099681854248,0.597387433052063,0.1460835486650467,0.02126622200012207,0.15010365843772888,0.016082763671875,0.01416015625,0.0032796859741210938,0.23064041137695312,0.0,0.15016400814056396,0.05786207318305969,0.5650923848152161,0.15039364993572235,0.01784953474998474,0.14364337176084518,0.024078369140625,0.020263671875,0.0031452178955078125,0.140716552734375,0.0
