variant,measure,context_count,median_layer_residual_split_spearman,minimum_layer_residual_split_spearman,median_layer_residual_cross_context_spearman,minimum_layer_residual_cross_context_spearman,state_interpretation
scene,topology_normalized_entropy_shift,6,0.48088328361390237,0.41367376728595057,0.5262197439146602,0.3915642023906822,state_conditioned_or_unstable
scene,topology_diagonal_mass_shift,6,0.6483274403194221,0.560030851695311,0.6543658475845027,0.512613590278842,context_stable_candidate
scene,topology_expected_displacement_shift,6,0.7507790136524302,0.7114096902901306,0.7597286346327138,0.7081277337941698,context_stable_candidate
scene,topology_directional_coherence_shift,6,0.29029161683395616,0.16253960856300528,0.30833595038229744,0.15851172128989896,state_conditioned_or_unstable
scene,topology_top1_displacement_shift,6,0.7650053764065585,0.7505052742299696,0.7430970309580556,0.6578605563328187,context_stable_candidate
scene_excess_seed,query_shift,6,0.3774579021957474,0.09611133830765153,0.44180562092814496,0.08740679583433,state_conditioned_or_unstable
scene_excess_seed,key_shift,6,0.09318443114556658,0.0042806400255146,0.19878291241959173,0.19878291241959173,state_conditioned_or_unstable
scene_excess_seed,value_shift,6,0.025941172385589392,-0.01865806577725651,0.1633572275506241,0.1633572275506241,state_conditioned_or_unstable
scene_excess_seed,value_scale_shift,6,0.09629729653263784,0.04379560541876609,0.1034547591673804,0.1034547591673804,state_conditioned_or_unstable
scene_excess_seed,compatibility_loss,6,0.04655604338510842,-0.018705391245302818,0.14314899549122034,0.06002541171871182,state_conditioned_or_unstable
scene_excess_seed,policy_shift,6,-0.04982883098377816,-0.13381636175176248,0.04121173774489,-0.08082726975773989,state_conditioned_or_unstable
scene_excess_seed,topology_normalized_entropy_shift,6,0.00441850378597551,-0.13049975459517302,0.29471472324570275,0.0925928307445435,state_conditioned_or_unstable
scene_excess_seed,topology_diagonal_mass_shift,6,0.026595030320050686,-0.11544308769079399,0.24074072645837058,0.0937842746467253,state_conditioned_or_unstable
scene_excess_seed,topology_expected_displacement_shift,6,0.028169107242080382,-0.13902767178836653,0.17267471080009458,0.054954927612574755,state_conditioned_or_unstable
scene_excess_seed,topology_directional_coherence_shift,6,-0.02814728225089308,-0.12272299758852241,0.03461911431750094,-0.12393440426176976,state_conditioned_or_unstable
scene_excess_seed,topology_top1_displacement_shift,6,0.01004418797643595,-0.08569263670913041,0.048105804186184146,-0.05042010571001308,state_conditioned_or_unstable
seed_control,query_shift,6,0.9634676965100037,0.9421783089890097,0.8621352531012327,0.7845641813079832,context_stable_candidate
seed_control,key_shift,6,0.9728184631054251,0.9649590917625392,0.9493990437169011,0.9493990437169011,context_stable_candidate
seed_control,value_shift,6,0.8772372214806183,0.8685954366931843,0.8666666666666666,0.8666666666666666,context_stable_candidate
seed_control,value_scale_shift,6,0.7740598564289333,0.7699663320447431,0.6799841562563497,0.6799841562563497,context_stable_candidate
seed_control,compatibility_loss,6,0.7914947903404604,0.6528208808195536,0.7288348418326274,0.5923304449365607,context_stable_candidate
seed_control,policy_shift,6,0.6119597116232892,0.56860881128198,0.5520451546694033,0.41988364107747744,context_stable_candidate
seed_control,topology_normalized_entropy_shift,6,0.5156740805421733,0.4198116735013797,0.5425082676622114,0.34254139347848606,context_stable_candidate
seed_control,topology_diagonal_mass_shift,6,0.6171100960426856,0.5476538896463049,0.5624555999948977,0.3233786292404647,context_stable_candidate
seed_control,topology_expected_displacement_shift,6,0.7568094669562944,0.7355154149228794,0.749218823996351,0.6542452300616043,context_stable_candidate
seed_control,topology_directional_coherence_shift,6,0.3179821725260147,0.2346435509041853,0.29597627295744144,0.17663904534199873,state_conditioned_or_unstable
seed_control,topology_top1_displacement_shift,6,0.7579506732052677,0.7280694583068082,0.7447484580602916,0.636012245289619,context_stable_candidate
