feature,raw_split_spearman,layer_residual_split_spearman,discovery_layer_eta_squared,validation_layer_eta_squared,raw_discovery_iqr,layer_residual_discovery_iqr
action.value_shift,0.9218203844165463,0.8352340681641063,0.5634207544525597,0.6200855810005372,0.1519697606563568,0.08124102279543877
action.value_scale_shift,0.8795669719673762,0.7931843609904398,0.4940370382056094,0.38578337187293354,0.04221897525712848,0.023644672241061926
action.compatibility_loss,0.9303181351707959,0.8408758298032135,0.43629777579591655,0.4331245940528783,0.09601598232984543,0.04800181835889816
action.policy_shift,0.8269143023222916,0.7565716813658542,0.2965850029163661,0.25864589737984744,0.05749566853046417,0.042607096023857594
action.topology_normalized_entropy_shift,0.6811247321630471,0.5855637203524983,0.37155564093275373,0.3561502207010145,0.04031085968017578,0.025638580322265625
action.topology_diagonal_mass_shift,0.8086157777043872,0.7936584822274761,0.3654120059855551,0.2988437787581304,0.055694580078125,0.03922271728515625
action.topology_expected_displacement_shift,0.9007300342068398,0.9100216822660667,0.11680508870875159,0.1749865264401768,0.019410133361816406,0.015420958399772644
action.topology_directional_coherence_shift,0.6278235425405044,0.4851879625084508,0.3259511137482637,0.37046912971939405,0.09025907516479492,0.061842918395996094
action.topology_top1_displacement_shift,0.9145337507956369,0.885196033447171,0.18189010621140972,0.21782412936477222,0.02480030059814453,0.01886725425720215
camera.query_shift,0.9869147652888267,0.9689755836593388,0.4995803789710378,0.5130861722412579,0.17978491634130478,0.09517099522054195
camera.key_shift,0.9911599112133067,0.980431690573744,0.5229262129234986,0.5562202927026145,0.3150626868009567,0.156967019662261
camera.value_shift,0.9466119851747826,0.8613201747955873,0.5889194550054788,0.6087481980532149,0.1609766036272049,0.08230651915073395
camera.value_scale_shift,0.8836361906084665,0.8546763478113256,0.4321339354849644,0.36707418517456075,0.03865217370912433,0.025635572616010904
camera.compatibility_loss,0.9342031960123147,0.8756487318574988,0.42198011632158877,0.4278484043921829,0.10176770016551018,0.05112663935869932
camera.policy_shift,0.8397225287232154,0.7786647016309282,0.273901543437592,0.28927790913850643,0.05840738769620657,0.039708991069346666
camera.topology_normalized_entropy_shift,0.599989351739563,0.5366555715343743,0.3528067759244624,0.36683827141248115,0.041339874267578125,0.02712726593017578
camera.topology_diagonal_mass_shift,0.7622221932195914,0.7634545915998826,0.3146979952374343,0.3964170745525547,0.061553955078125,0.047119140625
camera.topology_expected_displacement_shift,0.899779782138132,0.8679145119157821,0.11191664009986221,0.1819416145335009,0.01914316415786743,0.015797436237335205
camera.topology_directional_coherence_shift,0.7348100299680986,0.6032937496945706,0.3959458738685136,0.34794205063131933,0.08919334411621094,0.06612753868103027
camera.topology_top1_displacement_shift,0.9184119555691785,0.8938496702547016,0.20436818838528234,0.22785452209410528,0.02696990966796875,0.016553163528442383
full_semantic.query_shift,0.9889137519065218,0.9628500219909104,0.4825088408649475,0.47542004613419525,0.20160780474543571,0.10202842205762863
full_semantic.key_shift,0.989704395867252,0.9775978209708408,0.49326742419746505,0.49103396677073946,0.32978754863142967,0.16904728673398495
full_semantic.value_shift,0.9351057235523936,0.8845204566907666,0.4599238925499673,0.4245645330123606,0.14244887605309486,0.0840502567589283
full_semantic.value_scale_shift,0.9034820227522331,0.7706474072588009,0.5045382617725789,0.5398524108978211,0.04858994949609041,0.023613873403519392
full_semantic.compatibility_loss,0.9223630840772947,0.8216187367700881,0.39238340441917763,0.40934780274512295,0.1270705759525299,0.056970744393765926
full_semantic.policy_shift,0.8518136714017854,0.7917103269829755,0.22951014912533416,0.2529955335529756,0.07041793828830123,0.04765423503704369
full_semantic.topology_normalized_entropy_shift,0.7528038454060321,0.6503275137320185,0.3165863454558924,0.3346709436239359,0.04890155792236328,0.03201770782470703
full_semantic.topology_diagonal_mass_shift,0.8735673632257369,0.8205012892026251,0.32998837407799103,0.3456152731503202,0.07642364501953125,0.05681610107421875
full_semantic.topology_expected_displacement_shift,0.9061290218454647,0.8626951677475936,0.14352106047872973,0.1331512511635563,0.022281646728515625,0.017001032829284668
full_semantic.topology_directional_coherence_shift,0.5963655186271763,0.44094690306514217,0.30916737584037113,0.27925503645736527,0.09645462036132812,0.07113933563232422
full_semantic.topology_top1_displacement_shift,0.9295202332019248,0.8810431318892299,0.18676846586347615,0.21235532917986516,0.03017139434814453,0.022583723068237305
identity.query_shift_excess_seed,0.6872108066677468,0.6153805199114191,0.2892851366780799,0.3002045390648753,0.038134992122650146,0.024600043892860413
identity.key_shift_excess_seed,0.5690946689403468,0.4410463558103586,0.2623385434952169,0.361711412853847,0.03014254942536354,0.019243231043219566
identity.value_shift_excess_seed,0.35061227324284905,0.09612754213638479,0.2886165762523767,0.41488321193048505,0.042837176471948624,0.03365525044500828
identity.value_scale_shift_excess_seed,0.0013559775409789682,-0.15684020195629078,0.34973770309784,0.3474007847670968,0.011385062243789434,0.010289439233019948
identity.compatibility_loss_excess_seed,0.18462693899387084,0.06913016304138149,0.13087458552260808,0.2780598090753774,0.022250670939683914,0.019296285696327686
identity.policy_shift_excess_seed,-0.05411590110005993,-0.06821811896696733,0.1237412557088051,0.10625207832501728,0.019000513944774866,0.01831953029613942
identity.topology_normalized_entropy_shift_excess_seed,-0.024708782868712635,-0.03133129653543384,0.16610891615771425,0.1303492603969504,0.016429901123046875,0.013468869030475616
identity.topology_diagonal_mass_shift_excess_seed,-0.11247690516445599,-0.0980904536571921,0.17487397174255148,0.14912394499483694,0.01589202880859375,0.014760971069335938
identity.topology_expected_displacement_shift_excess_seed,0.03945918518979177,0.05701112476648424,0.0652908884546786,0.09533052422791066,0.004268467426300049,0.003938138484954834
identity.topology_directional_coherence_shift_excess_seed,0.028178740737607597,0.05123085126884036,0.0947571900391939,0.0870171015965576,0.0582122802734375,0.050574541091918945
identity.topology_top1_displacement_shift_excess_seed,0.021091531753258057,0.04770721937105353,0.05965856841505677,0.06321640872231696,0.0036020278930664062,0.003234386444091797
scene.query_shift_excess_seed,0.5512182449967463,0.44937872463007683,0.3127794659909482,0.3728766024980666,0.03272823616862297,0.02345210872590542
scene.key_shift_excess_seed,0.2752312903648948,0.14548080360702373,0.19321514293370823,0.2467105405296379,0.021185502409934998,0.01372169703245163
scene.value_shift_excess_seed,0.2852287954896771,0.053758130849775064,0.3213099854288984,0.2798280518459438,0.03784850239753723,0.02946772798895836
scene.value_scale_shift_excess_seed,-0.02151842735412053,0.06338037587738589,0.4837022685491962,0.15570475159992347,0.014069256838411093,0.009682052419520915
scene.compatibility_loss_excess_seed,0.09424789800332821,0.013341409527336888,0.1312199655948934,0.15166574197469926,0.02096648048609495,0.01790563575923443
scene.policy_shift_excess_seed,-0.0749061849757071,-0.09014781492655549,0.1112747461378219,0.15587618436471729,0.020206079818308353,0.019201698247343302
scene.topology_normalized_entropy_shift_excess_seed,-0.008495669795244541,-0.020957478363857356,0.1376045009601648,0.12231247347994276,0.015178680419921875,0.014658421277999878
scene.topology_diagonal_mass_shift_excess_seed,-0.03947922011152292,-0.05434078370349458,0.07703964864764574,0.19512912662899456,0.01912689208984375,0.015752792358398438
scene.topology_expected_displacement_shift_excess_seed,-0.05685672148368305,-0.028682709573725026,0.08563556484172541,0.13601260821884004,0.003989845514297485,0.003747783601284027
scene.topology_directional_coherence_shift_excess_seed,-0.05275532103144882,-0.041461230598645725,0.09786784032778899,0.07179234477878467,0.05914878845214844,0.05535794980823994
scene.topology_top1_displacement_shift_excess_seed,-0.00546852163174295,0.04292674843706793,0.07332834059580505,0.08122985714479976,0.003509521484375,0.0034973621368408203
action.query_shift_excess_seed,0.5136647144911097,0.4757907082616378,0.38512357315915396,0.30389912827348087,0.026512157171964645,0.022595617920160294
action.key_shift_excess_seed,0.12233093362345904,0.059061412510899,0.18447636131130882,0.38826983049752595,0.01619265228509903,0.014450350776314735
action.value_shift_excess_seed,0.2810965619590686,0.20121811639493103,0.26920153022689364,0.35103778689142523,0.036131396889686584,0.029820380732417107
action.value_scale_shift_excess_seed,0.04887820636476104,-0.0050507076957898335,0.4174191987903356,0.36752053772038784,0.011123380158096552,0.009026173269376159
action.compatibility_loss_excess_seed,0.09330884754769199,0.03517388251452558,0.09939537318035485,0.223582561545808,0.020123272202908993,0.017047084402292967
action.policy_shift_excess_seed,0.03227108233859829,0.03771042472035535,0.10489206037330547,0.09626990870331384,0.022216935409232974,0.021496615052456036
action.topology_normalized_entropy_shift_excess_seed,-0.08495162908121545,-0.15172254370946903,0.23713340710672343,0.05161551620754997,0.013346195220947266,0.012116014957427979
