layer,head,cluster,validation_cluster,split_agree,cluster_margin,pf_official,legacy_v98,forcing_kv,head_forcing,dummy_forcing
12,4,2,2,1,0.4963021044489147,1,10,dynamic,anchor,context
12,5,2,2,1,0.2231651445773244,1,10,dynamic,anchor,context
12,6,1,1,1,0.10090422708042764,-1,10,static,memory,context
12,7,2,1,0,0.0386752451887958,-1,10,static,memory,context
12,8,1,1,1,0.30213348546334473,2,11,static,memory,dummy
12,9,2,2,1,0.06265465856264793,1,10,static,memory,context
12,10,1,1,1,0.5119208406603859,-1,10,static,memory,dummy
12,11,2,2,1,0.15768239654182967,-1,10,static,memory,dummy
13,0,1,1,1,0.3388480479787485,2,11,dynamic,memory,context
13,1,2,2,1,0.48768226872541337,1,10,dynamic,memory,context
13,2,2,2,1,0.45764798865263323,1,10,dynamic,anchor,context
13,3,2,2,1,0.008738366071992042,1,10,dynamic,anchor,context
13,4,2,2,1,0.5921749541642085,1,10,dynamic,memory,context
13,5,2,2,1,0.5080525180094598,1,10,dynamic,memory,context
13,6,2,2,1,0.6278573612040109,1,10,dynamic,memory,context
13,7,2,2,1,0.39600751493480413,1,10,dynamic,memory,context
13,8,2,2,1,0.45491071028415536,1,10,static,memory,context
13,9,2,2,1,0.3146514432511629,-1,10,dynamic,memory,context
13,10,2,2,1,0.47833346314236225,1,10,dynamic,anchor,context
13,11,1,1,1,0.5089195609412762,2,11,static,memory,dummy
14,0,1,1,1,0.28290312787744665,2,11,static,memory,context
14,1,2,2,1,0.44739311744859844,1,10,dynamic,memory,context
14,2,2,2,1,0.6383572390939741,1,10,dynamic,anchor,context
14,3,1,1,1,0.054865418390887204,-1,10,static,memory,context
14,4,1,1,1,0.3335931335311709,2,11,static,memory,context
14,5,1,1,1,0.3849000648359846,-1,10,static,memory,dummy
14,6,2,2,1,0.03465078611607664,1,10,dynamic,anchor,context
14,7,2,2,1,0.2686937325819923,1,10,dynamic,memory,context
14,8,1,1,1,0.28992262716200434,-1,10,static,memory,context
14,9,1,2,0,0.10454081779105823,1,10,dynamic,memory,context
14,10,1,1,1,0.0857011417135199,1,10,static,memory,context
14,11,2,2,1,0.5004801584521219,1,10,dynamic,memory,context
15,0,2,2,1,0.3691612836195329,1,10,dynamic,memory,context
15,1,2,2,1,0.3587365929863332,1,10,dynamic,memory,context
15,2,2,2,1,0.5637215832606659,1,10,dynamic,memory,context
15,3,2,2,1,0.4490699219224823,1,10,dynamic,anchor,context
15,4,2,2,1,0.20471437501287548,2,11,dynamic,memory,context
15,5,2,2,1,0.41469895508389426,1,10,static,memory,context
15,6,2,2,1,0.2456822291594843,1,10,dynamic,anchor,context
15,7,2,2,1,0.4890288213433827,1,10,dynamic,memory,context
15,8,1,1,1,0.497253904081978,-1,10,static,anchor,context
15,9,0,2,0,0.058871795018880346,1,10,dynamic,memory,context
15,10,2,2,1,0.5015955066128222,1,10,dynamic,anchor,context
15,11,2,2,1,0.2706801740918362,1,10,static,anchor,context
16,0,2,2,1,0.4414219458243052,-1,10,static,memory,context
16,1,2,2,1,0.48400493858307736,1,10,dynamic,anchor,context
16,2,1,1,1,0.0786329707083986,-1,10,static,memory,dummy
16,3,2,2,1,0.3428805234610542,1,10,dynamic,anchor,context
16,4,2,2,1,0.15744535796388853,-1,11,static,memory,context
16,5,2,2,1,0.4066736325997773,1,10,dynamic,memory,context
16,6,1,1,1,0.43345210874343915,2,11,static,memory,dummy
16,7,2,2,1,0.42074983775458935,1,10,dynamic,anchor,context
16,8,2,2,1,0.4090221674708173,1,10,static,memory,context
16,9,1,1,1,0.18121051807180824,-1,10,static,memory,dummy
16,10,2,2,1,0.5940755046398395,1,10,dynamic,anchor,context
16,11,2,1,0,0.02604410337027955,1,10,dynamic,anchor,context
17,0,2,2,1,0.38445954413759337,-1,10,static,memory,context
17,1,1,1,1,0.40368992297749323,-1,10,static,local,dummy
17,2,1,1,1,0.152173306326997,-1,10,static,anchor,context
