layer,head,reverse_relative_log_category_count,reverse_relative_log_dominant_category,reverse_relative_log_dominant_value,reverse_relative_log_range,reverse_relative_log_std,reverse_relative_log_positive_fraction,reverse_relative_log_absolute_entropy,freeze_latest_relative_log_category_count,freeze_latest_relative_log_dominant_category,freeze_latest_relative_log_dominant_value,freeze_latest_relative_log_range,freeze_latest_relative_log_std,freeze_latest_relative_log_positive_fraction,freeze_latest_relative_log_absolute_entropy,history_specificity_category_count,history_specificity_dominant_category,history_specificity_dominant_value,history_specificity_range,history_specificity_std,history_specificity_positive_fraction,history_specificity_absolute_entropy
16,4,3,clean:0,-2.7286622701888614,0.7065686047221145,0.2884747763248785,0.0,0.9932693628598258,3,noisy:500,-0.26998650059514284,0.032929170052231116,0.014819642336611271,0.0,0.9984766706758471,3,clean:0,0.04820403456687927,0.0461902916431427,0.018958532574291195,1.0,0.6956880683185837
16,5,3,noisy:500,-1.7716704451083727,0.41438973619950614,0.18654735700220387,0.0,0.9937857056551513,3,clean:0,-0.19739691263528875,0.02314410903415523,0.010179074584442387,0.0,0.9986565099807703,3,clean:0,0.051871538162231445,0.04578205943107605,0.01906957162176002,1.0,0.7952861471300727
16,6,3,clean:0,-1.363925010911443,0.2794794179550202,0.11415361480409121,0.0,0.9960257001574745,3,noisy:1000,-0.19209089636663101,0.045770608034941845,0.019016539605693255,0.0,0.9941439747461988,3,noisy:1000,-0.02606743574142456,0.01611056923866272,0.006741166291866766,0.0,0.9297066972690247
16,7,3,noisy:500,-2.4017588637551563,0.14406963150075125,0.06033746846343113,0.0,0.9996960036198261,3,clean:0,-0.14079985353880134,0.033406526494658625,0.013702887468882284,0.0,0.9943910323081719,3,clean:0,0.11206984519958496,0.05802635848522186,0.024748939823968443,1.0,0.9614028203051858
16,8,3,noisy:500,-2.3462063657347505,0.2466243299524331,0.10592185568853577,0.0,0.9989782027815375,3,noisy:1000,-0.2855885554951522,0.012575393486046804,0.00573532822595011,0.0,0.9998096350226431,3,clean:0,0.04798927903175354,0.045207202434539795,0.018947442146281458,1.0,0.7293514180145233
16,9,3,noisy:500,-1.3323488914391275,0.20834129147575497,0.08866959082372111,0.0,0.9976624564851607,3,noisy:1000,-0.23286205699914397,0.03158428692709561,0.012900832895746124,0.0,0.9983932032932817,3,clean:0,0.018749356269836426,0.03440237045288086,0.014330264823839478,0.6666666666666666,0.9439262972470728
16,10,3,noisy:500,-3.0708397613593412,0.2915816938332343,0.12639198194297468,0.0,0.999159845496987,3,clean:0,-0.09980555489027951,0.0437102306365072,0.0197952143471481,0.0,0.9671171372037173,3,clean:0,0.1213960349559784,0.08377736806869507,0.03603639488188995,1.0,0.9120512014105074
16,11,3,clean:0,-3.0088852815936926,0.1698958214739914,0.0704341015889249,0.0,0.9997366837417438,3,noisy:500,-0.043890964944688415,0.04150814580791066,0.016947780842872552,0.0,0.7048737976751173,3,clean:0,0.018765538930892944,0.030021458864212036,0.012335654559597122,0.6666666666666666,0.6952251255844853
17,0,3,clean:0,-3.085674381275042,0.43588343447207256,0.18039340130569723,0.0,0.9981836763231182,3,clean:0,-0.15929142250800704,0.06925965708741985,0.031806241262179284,0.0,0.9665015962709894,3,clean:0,0.08510667085647583,0.04419982433319092,0.018572038791841942,1.0,0.9616763804872902
17,1,3,noisy:500,-1.2941284712894736,0.20533160955490537,0.08962292424506703,0.0,0.9974773719223223,3,noisy:1000,-0.166213454881878,0.02684723746992071,0.011050696370206427,0.0,0.9976002124225483,3,clean:0,0.028248131275177002,0.021214723587036133,0.008800729852190036,1.0,0.8863115446303487
17,2,3,clean:0,-2.876533738422091,0.18402656665266726,0.07656195016748203,0.0,0.9996545087691682,3,clean:0,-0.39716481688578764,0.004111329915749806,0.001683288334781044,0.0,0.9999917413243916,3,noisy:1000,-0.0427970290184021,0.015124469995498657,0.006782917809519844,0.0,0.9817573376171751
17,3,3,noisy:1000,-2.013714816209955,0.1266857724048438,0.05185354744289289,0.0,0.9996786837238824,3,noisy:1000,-0.3262621493013661,0.09997005627257888,0.042770664236684734,0.0,0.9886199033802052,3,noisy:1000,-0.029568344354629517,0.014192402362823486,0.006540083983735047,0.0,0.9554173862603115
17,4,3,clean:0,-2.2259758344694367,0.9484916094659639,0.3907868553390158,0.0,0.9765593618095125,3,clean:0,-0.10367745409880766,0.02341637673954783,0.010035867070043666,0.0,0.9947067100940815,3,clean:0,0.0228613018989563,0.01894780993461609,0.00867434226029464,1.0,0.8350508175830115
17,5,3,clean:0,-1.9980740791295761,0.5828174856082622,0.2651775878615281,0.0,0.9882483721950343,3,noisy:1000,-0.24769933329651236,0.08723205474854986,0.03639533090192133,0.0,0.985005663911408,3,noisy:1000,-0.025342047214508057,0.0031605660915374756,0.0013445231405283808,0.0,0.9985597541923524
17,6,3,noisy:1000,-3.2761086933017936,0.044572098104085356,0.018235458968230176,0.0,0.9999857090373079,3,clean:0,-0.160354962275841,0.04602365078495599,0.02129441925288878,0.0,0.9882296275885825,3,clean:0,0.0763656497001648,0.033516108989715576,0.014291133375937853,1.0,0.9719871939235435
17,7,3,noisy:1000,-1.9055366221354717,0.17341740476272127,0.07763347522157724,0.0,0.9991829526372971,3,noisy:1000,-0.22160072681651405,0.030029464943349266,0.012270716850503632,0.0,0.998389988046778,3,noisy:1000,-0.018887817859649658,0.008510202169418335,0.003478132834694,0.0,0.9737029767775549
17,8,3,clean:0,-2.042662066162321,0.3589396004214529,0.149535498137326,0.0,0.9970986052075782,3,noisy:1000,-0.33826178263730905,0.16630332551104743,0.0682742050830823,0.0,0.966119532466091,3,noisy:500,-0.04058447480201721,0.00578916072845459,0.0024812177078364227,0.0,0.9979938179193717
17,9,3,clean:0,-1.9991625022127324,1.1121191760930276,0.48374311105356,0.0,0.9421741309222847,3,clean:0,-0.1472517440814767,0.06699086691876195,0.03134102837231516,0.0,0.9600128810292277,3,clean:0,0.12702476978302002,0.07805702090263367,0.031879850922849624,1.0,0.937675560781516
17,10,3,noisy:500,-2.1473768375316595,0.27541360477083554,0.11683191144580951,0.0,0.9984416046121786,3,noisy:1000,-0.22774629525173173,0.05910888868255057,0.025261799122399432,0.0,0.9923527685366962,3,noisy:1000,-0.013745665550231934,0.02701541781425476,0.011196016583673621,0.6666666666666666,0.8945589701274724
17,11,3,clean:0,-2.58776128060282,0.2552795848463547,0.10427637097651665,0.0,0.9991827759975719,3,noisy:1000,-0.16029087438969358,0.026894582418917096,0.011830332108531027,0.0,0.9969660863550519,3,clean:0,0.04761165380477905,0.03983163833618164,0.016303062437566542,1.0,0.8299149053641192
18,0,3,clean:0,-2.667862592387817,0.3430406919019702,0.14136250883984391,0.0,0.9985475469493532,3,noisy:1000,-0.09021005819355987,0.12052365504332581,0.051464435417697546,0.3333333333333333,0.9222743901644259,3,clean:0,0.03339278697967529,0.020443066954612732,0.008661411614527053,1.0,0.939022223269865
18,1,3,clean:0,-3.206217362006118,0.4307992478355631,0.1773866532645676,0.0,0.9983886413015585,3,clean:0,-0.40224430274849166,0.12344157145099466,0.05148609983658475,0.0,0.9892927768286761,3,clean:0,0.13282763957977295,0.030742913484573364,0.012855284741787447,1.0,0.9946287912071469
18,2,3,clean:0,-2.987372386613277,0.6626674902719101,0.2705458434245533,0.0,0.9952688781182129,3,clean:0,-0.38495928381989564,0.10091244432550983,0.04184386414715247,0.0,0.9927346335211049,3,clean:0,0.10777142643928528,0.03713101148605347,0.016475120913871225,1.0,0.9852826683348619
