mode,current_frame,layer,head,old_history_effect,old_history_effect_samples,reverse_effect,reverse_effect_samples,reverse_relative_log,reverse_relative_log_samples,phase_shift_effect,phase_shift_effect_samples,phase_shift_relative_log,phase_shift_relative_log_samples,freeze_latest_effect,freeze_latest_effect_samples,freeze_latest_relative_log,freeze_latest_relative_log_samples,value_mismatch_effect,value_mismatch_effect_samples,value_mismatch_relative_log,value_mismatch_relative_log_samples,reverse_vs_phase_log,reverse_vs_phase_log_samples,correct_top1,correct_top1_samples,correct_margin,correct_margin_samples,hard_wrong_top1,hard_wrong_top1_samples,random_wrong_top1,random_wrong_top1_samples,wrong_top1,wrong_top1_samples,history_specificity,history_specificity_samples,hard_history_specificity,hard_history_specificity_samples,correct_peak_age,correct_peak_age_samples
clean,21,0,11,0.07077321037650108,128,0.035480620339512825,128,-0.5463749165835704,128,0.015802101232111454,128,-1.3807533917593044,128,0.06764544174075127,128,-0.04822400388421872,128,0.018042185343801975,128,-1.2527234963910538,128,0.833790828110573,128,0.7776773571968079,128,0.009417146444320679,128,0.7755492627620697,128,0.7829346358776093,128,0.7836853563785553,128,-0.005415976047515869,128,0.0028890371322631836,128,11.0,128
clean,21,1,0,0.08066800609230995,128,0.03328053653240204,128,-0.9043569637999945,128,0.012797417119145393,128,-1.913539010860137,128,0.06905234232544899,128,-0.17211690961177573,128,0.012343764305114746,128,-1.9007125449668174,128,0.9710292705586745,128,0.8803361058235168,128,0.026829957962036133,128,0.8746401369571686,128,0.8856682777404785,128,0.8908500671386719,128,-0.004593849182128906,128,0.0077231526374816895,128,6.0,128
clean,21,1,1,0.14448848366737366,128,0.08450190350413322,128,-0.5038197153020363,128,0.052004046738147736,128,-0.9525383221483399,128,0.1289023905992508,128,-0.07332186801274347,128,0.06231207400560379,128,-0.7972004647201062,128,0.48740984656504716,128,0.49333178997039795,128,0.0504072904586792,128,0.450408935546875,128,0.4667411297559738,128,0.48446357250213623,128,0.020942330360412598,128,0.04101039469242096,128,11.0,128
clean,21,1,2,0.073940958827734,128,0.029806368052959442,128,-0.8348957948281683,128,0.011733148247003555,128,-1.82675803532361,128,0.06256858073174953,128,-0.16372140300312435,128,0.01155858626589179,128,-1.7649742361075755,128,0.9068573393897206,128,0.7696782648563385,128,0.05989319086074829,128,0.750719279050827,128,0.7611382901668549,128,0.7674768567085266,128,-0.0011053979396820068,128,0.018695920705795288,128,1.0,128
clean,21,1,3,0.09508692845702171,128,0.057882482185959816,128,-0.49192884080584065,128,0.030163721181452274,128,-1.1242809169260681,128,0.08127923682332039,128,-0.16843399784444457,128,0.02854873798787594,128,-1.1678976349482815,128,0.6670450238937649,128,0.7254429459571838,128,0.008329421281814575,128,0.7232816219329834,128,0.7337700426578522,128,0.735293984413147,128,-0.009047836065292358,128,0.0033978521823883057,128,12.0,128
clean,21,1,4,0.05027776211500168,128,0.03032779134809971,128,-0.48476646945668866,128,0.023245188407599926,128,-0.7320830535377194,128,0.04120749793946743,128,-0.21218027509046988,128,0.026277385652065277,128,-0.6376513223819267,128,0.25100986646971635,128,0.9493290781974792,128,0.06620517373085022,128,0.9406978785991669,128,0.9453803896903992,128,0.9470317959785461,128,0.002727001905441284,128,0.007381170988082886,128,1.0,128
clean,21,1,5,0.21020011603832245,128,0.015493244398385286,128,-2.553260836149799,128,0.009208851028233767,128,-3.0787706265754604,128,0.11623382940888405,128,-0.6076213557015933,128,0.009042545221745968,128,-3.05433726688286,128,0.5167219504377566,128,0.4173799604177475,128,0.006326645612716675,128,0.4098733812570572,128,0.4343808591365814,128,0.43891921639442444,128,-0.024667739868164062,128,0.007470637559890747,128,5.0,128
clean,21,1,6,0.24056267738342285,128,0.13341762870550156,128,-0.6116938362111211,128,0.030410745181143284,128,-2.0851628274284653,128,0.1936499923467636,128,-0.2314292928355649,128,0.020537144504487514,128,-2.4537539254781375,128,1.4667257425385265,128,0.42892366647720337,128,0.04620465636253357,128,0.4239950627088547,128,0.45109865069389343,128,0.4598849266767502,128,-0.03364419937133789,128,0.005257532000541687,128,16.0,128
clean,21,1,7,0.03840637393295765,128,0.004154104506596923,128,-2.186413065819701,128,0.0012281438102945685,128,-3.251949624921682,128,0.023586981929838657,128,-0.4786664924901052,128,0.017543264664709568,128,-0.7865657016358008,128,0.6942091905720567,128,0.820568710565567,128,0.010513246059417725,128,0.5560740232467651,128,0.6149803996086121,128,0.641227513551712,128,0.18004918098449707,128,0.2553495764732361,128,1.0,128
clean,21,1,8,0.11211221292614937,128,0.05378773808479309,128,-0.7668719948567229,128,0.03387964144349098,128,-1.2176800451155958,128,0.09529076889157295,128,-0.22318039386533306,128,0.03982924856245518,128,-0.9934880900605083,128,0.45418217109023984,128,0.8122467696666718,128,0.031424522399902344,128,0.7527140378952026,128,0.7792623937129974,128,0.7884553372859955,128,0.020513921976089478,128,0.04789850115776062,128,5.0,128
clean,21,1,9,0.1881146803498268,128,0.0699276477098465,128,-0.9927669035428439,128,0.012653213925659657,128,-2.697865839825375,128,0.13987953960895538,128,-0.29161017705510595,128,0.012610554695129395,128,-2.7180782059197757,128,1.682031765633079,128,0.8447154760360718,128,0.014255732297897339,128,0.837122768163681,128,0.8509830236434937,128,0.8516793847084045,128,-0.008420944213867188,128,0.008156061172485352,128,16.0,128
clean,21,1,10,0.06106584705412388,128,0.009336055256426334,128,-1.76284321355127,128,0.005976016167551279,128,-2.257582456962807,128,0.04915384389460087,128,-0.2585179380229574,128,0.013834338169544935,128,-1.51923062167765,128,0.48866197643937104,128,0.6796423494815826,128,0.025058060884475708,128,0.5276150405406952,128,0.563049852848053,128,0.5778838098049164,128,0.09551417827606201,128,0.14212122559547424,128,1.0,128
