mode,nominal_timestep,layer,head,old_history_effect,old_history_effect_samples,reverse_effect,reverse_effect_samples,reverse_relative_log,reverse_relative_log_samples,phase_shift_effect,phase_shift_effect_samples,phase_shift_relative_log,phase_shift_relative_log_samples,freeze_latest_effect,freeze_latest_effect_samples,freeze_latest_relative_log,freeze_latest_relative_log_samples,value_mismatch_effect,value_mismatch_effect_samples,value_mismatch_relative_log,value_mismatch_relative_log_samples,reverse_vs_phase_log,reverse_vs_phase_log_samples,correct_top1,correct_top1_samples,correct_margin,correct_margin_samples,hard_wrong_top1,hard_wrong_top1_samples,random_wrong_top1,random_wrong_top1_samples,wrong_top1,wrong_top1_samples,history_specificity,history_specificity_samples,hard_history_specificity,hard_history_specificity_samples,correct_peak_age,correct_peak_age_samples
clean,0,0,10,0.16854988783597946,128,0.07619823887944221,128,-0.7254787208253135,128,0.023220178671181202,128,-1.9916356884164,128,0.13050245493650436,128,-0.24149104176790115,128,0.05073249526321888,128,-1.1803830391989263,128,1.2212466359363643,128,0.840119481086731,128,0.01850399374961853,128,0.8333926498889923,128,0.850718080997467,128,0.8558986186981201,128,-0.011238962411880493,128,0.010436981916427612,128,18.0,128
clean,0,0,11,0.05114874430000782,128,0.031760504469275475,128,-0.5132510427392739,128,0.01385369012132287,128,-1.3558244024095152,128,0.04909016937017441,128,-0.04822400388421872,128,0.014325849246233702,128,-1.2983897309854064,128,0.8313225914955716,128,0.7908699214458466,128,0.010887324810028076,128,0.786840409040451,128,0.7971376478672028,128,0.7996454536914825,128,-0.0050775110721588135,128,0.004533499479293823,128,18.0,128
clean,0,1,0,0.06158231012523174,128,0.022659165784716606,128,-0.9735776220513717,128,0.008304432965815067,128,-1.9345790421494196,128,0.05483724735677242,128,-0.1489696330758353,128,0.008821108844131231,128,-1.8551663761930413,128,0.8508751577113804,128,0.8843024671077728,128,0.01821538805961609,128,0.8733007311820984,128,0.8855331242084503,128,0.8914898037910461,128,-0.004615575075149536,128,0.009017854928970337,128,6.0,128
clean,0,1,1,0.11211953684687614,128,0.05434835143387318,128,-0.7281341628754913,128,0.03915252722799778,128,-1.1163486119075798,128,0.09473111853003502,128,-0.15323686048925034,128,0.04628726840019226,128,-0.9331351109634989,128,0.393494046363708,128,0.6768240928649902,128,0.0660737007856369,128,0.6214908957481384,128,0.6548673212528229,128,0.6620061695575714,128,0.002168700098991394,128,0.043931812047958374,128,6.0,128
clean,0,1,2,0.05265425145626068,128,0.021706916391849518,128,-0.8585936472785507,128,0.00778323644772172,128,-1.8826751662669532,128,0.047033628448843956,128,-0.13170957030276262,128,0.007883941754698753,128,-1.8302518821169707,128,0.9588200812635466,128,0.7350588440895081,128,0.030280739068984985,128,0.7213935256004333,128,0.7384276986122131,128,0.7412718832492828,128,-0.00656929612159729,128,0.012673139572143555,128,3.0,128
clean,0,1,3,0.06452690437436104,128,0.04213355481624603,128,-0.5072200004266022,128,0.02026891428977251,128,-1.1848916300979608,128,0.05835628695785999,128,-0.13649883198428064,128,0.020014848560094833,128,-1.2147565773506792,128,0.7205744085395902,128,0.7458314597606659,128,0.01797279715538025,128,0.7376294136047363,128,0.7488102614879608,128,0.7536101341247559,128,-0.008785068988800049,128,0.0039085447788238525,128,18.0,128
clean,0,1,4,0.03316829912364483,128,0.02205574605613947,128,-0.3809960126843976,128,0.018190511502325535,128,-0.618175719392297,128,0.02844626735895872,128,-0.16338798102964566,128,0.018480142578482628,128,-0.5995154225628885,128,0.2171490418027842,128,0.9353353977203369,128,0.05035075545310974,128,0.9247587621212006,128,0.9328429102897644,128,0.933248370885849,128,0.001613616943359375,128,0.008633196353912354,128,1.0,128
clean,0,1,5,0.06564798206090927,128,0.007115738932043314,128,-2.4406412637647037,128,0.003273219452239573,128,-3.1641601916607804,128,0.061371609568595886,128,-0.3299711470309281,128,0.004988516680896282,128,-2.759763840103308,128,0.7028409828734337,128,0.41336794197559357,128,0.006723999977111816,128,0.4046825021505356,128,0.4273683428764343,128,0.4370570629835129,128,-0.02545371651649475,128,0.00473611056804657,128,9.0,128
clean,0,1,6,0.12402709573507309,128,0.07031724229454994,128,-0.6333173564742025,128,0.016947549767792225,128,-2.102449793974242,128,0.10509739071130753,128,-0.18567674784424085,128,0.01748900953680277,128,-1.9557560304033426,128,1.4807688026927233,128,0.4402419179677963,128,0.03956355154514313,128,0.4407578408718109,128,0.4707007259130478,128,0.4802950322628021,128,-0.04218947887420654,128,0.00553932785987854,128,16.0,128
clean,0,1,7,0.028963832184672356,128,0.004497362999245524,128,-1.7976346616916112,128,0.0011493423953652382,128,-3.077345476005596,128,0.020248220302164555,128,-0.3778566262771642,128,0.01077562291175127,128,-0.8809576913843427,128,1.077626657144815,128,0.8484969139099121,128,0.009389400482177734,128,0.545144259929657,128,0.5737195611000061,128,0.6210038363933563,128,0.2120530903339386,128,0.2865908145904541,128,1.5,128
clean,0,1,8,0.10383034870028496,128,0.04274347610771656,128,-0.8299647743932403,128,0.02828681841492653,128,-1.2531102559125538,128,0.07995619997382164,128,-0.24542447532544054,128,0.03416290692985058,128,-1.0921271436364566,128,0.44111904586996376,128,0.7673360705375671,128,0.03831058740615845,128,0.6916884779930115,128,0.7351230084896088,128,0.7454087734222412,128,0.02686542272567749,128,0.062472522258758545,128,11.0,128
clean,0,1,9,0.08463163301348686,128,0.028003918007016182,128,-1.1315261520603173,128,0.007974346168339252,128,-2.4946968772135483,128,0.08394237980246544,128,-0.16413562267227788,128,0.008764380123466253,128,-2.3893609248252923,128,1.355869289330812,128,0.8381166458129883,128,0.012317448854446411,128,0.826518714427948,128,0.8417609930038452,128,0.844512015581131,128,-0.0049537718296051025,128,0.009890258312225342,128,16.0,128
clean,0,1,10,0.04777976870536804,128,0.006136914482340217,128,-2.11314347374162,128,0.004302851157262921,128,-2.3638348380840237,128,0.03858942724764347,128,-0.24698750487994534,128,0.007831033086404204,128,-1.722198640530751,128,0.3369719867379085,128,0.7773026823997498,128,0.021925240755081177,128,0.6184906661510468,128,0.6684001386165619,128,0.6899569630622864,128,0.09381300210952759,128,0.13751336932182312,128,1.0,128
clean,0,1,11,0.062246669083833694,128,0.009196716360747814,128,-1.8991613744775444,128,0.0067325548734515905,128,-2.136171757993518,128,0.04535732790827751,128,-0.29568609970992976,128,0.013140887953341007,128,-1.5531265520476136,128,0.26718554522903154,128,0.7119005024433136,128,0.044409722089767456,128,0.5835170745849609,128,0.6215448379516602,128,0.6350078284740448,128,0.07097682356834412,128,0.12267982959747314,128,1.0,128
clean,0,2,0,0.046485140919685364,128,0.006299916654825211,128,-1.9095112356819623,128,0.003334370208904147,128,-2.6028797993275807,128,0.03953881002962589,128,-0.1846948367457908,128,0.01587020419538021,128,-1.0475324895328848,128,0.6951725452493736,128,0.7526194751262665,128,0.01055118441581726,128,0.5571959614753723,128,0.5861175954341888,128,0.6217141449451447,128,0.11081549525260925,128,0.17332297563552856,128,2.0,128
clean,0,2,1,0.06960663199424744,128,0.00984000088647008,128,-1.9688540622210904,128,0.005318453768268228,128,-2.592551165109045,128,0.06654816120862961,128,-0.11881688551201088,128,0.016861557960510254,128,-1.4696980633779533,128,0.6533555915873606,128,0.725581705570221,128,0.016949474811553955,128,0.6115410327911377,128,0.6424312889575958,128,0.6560887098312378,128,0.05403071641921997,128,0.11373129487037659,128,2.0,128
clean,0,2,2,0.061143629252910614,128,0.013428119011223316,128,-1.4155123797668439,128,0.003829553024843335,128,-2.797105683127726,128,0.04340985417366028,128,-0.24103902531250068,128,0.006151365349069238,128,-2.320495862082346,128,1.3623169284054775,128,0.880212128162384,128,0.006198495626449585,128,0.8533989489078522,128,0.8675254583358765,128,0.871744692325592,128,0.006777971982955933,128,0.023739486932754517,128,4.0,128
clean,0,2,3,0.06214372627437115,128,0.05166378617286682,128,-0.19526569134942584,128,0.02619239781051874,128,-0.8714029157472225,128,0.06019027717411518,128,-0.043190935072451406,128,0.025189696811139584,128,-0.8687339518085637,128,0.6921395670147656,128,0.6727854013442993,128,0.009702146053314209,128,0.6675357818603516,128,0.6732613146305084,128,0.6763776540756226,128,-0.002844482660293579,128,0.008628904819488525,128,6.0,128
clean,0,2,4,0.09618545696139336,128,0.08434587717056274,128,-0.20358759884756575,128,0.031635941937565804,128,-1.102061269991815,128,0.1003199853003025,128,0.008687900844553467,128,0.030912389047443867,128,-1.1149683663826742,128,0.9214181486267767,128,0.8525488376617432,128,0.02308693528175354,128,0.837049126625061,128,0.853715717792511,128,0.8555092215538025,128,0.0007971823215484619,128,0.016361325979232788,128,17.0,128
clean,0,2,5,0.08520501106977463,128,0.021151123568415642,128,-1.420217586346037,128,0.012272852938622236,128,-1.920936074530944,128,0.07853951305150986,128,0.0028162677742021094,128,0.014764875639230013,128,-1.690442643605553,128,0.4864591728605937,128,0.5929946601390839,128,0.021762967109680176,128,0.5868358910083771,128,0.617172122001648,128,0.6243171691894531,128,-0.02184683084487915,128,0.006598830223083496,128,7.0,128
clean,0,2,6,0.06145324558019638,128,0.008575371466577053,128,-1.8878037763179054,128,0.0031615422340109944,128,-2.931015683593163,128,0.05402318760752678,128,-0.11329216844523562,128,0.019446514546871185,128,-1.1858084048766577,128,0.9862576750426105,128,0.743020087480545,128,0.022468507289886475,128,0.5408276617527008,128,0.5971778035163879,128,0.6261071264743805,128,0.11998575925827026,128,0.18735015392303467,128,1.0,128
clean,0,2,7,0.08171820268034935,128,0.0680287517607212,128,-0.1678761083991881,128,0.03939288109540939,128,-0.7538327758065388,128,0.07726933434605598,128,-0.09039585729689914,128,0.03944051265716553,128,-0.7836872817162146,128,0.5808673127436381,128,0.5523931384086609,128,0.04031220078468323,128,0.5476326942443848,128,0.5605705678462982,128,0.5629062652587891,128,-0.00874897837638855,128,0.007470816373825073,128,17.0,128
