cohort,base_seed,candidate,control,window,effective_seed,source_index,motion_group,delta_imaging_quality,delta_dynamic_degree,delta_official_quality_score,delta_subject_consistency
v219,21600,ours_correct,sf_fifo21,early_half,21721,121,dd_tied,0.0044610302788870015,0.0,0.265547715561695,0.0002174341380325462
v219,21600,ours_correct,sf_fifo21,early_half,21722,122,dd_tied,-0.010208282981600147,0.0,-0.7984489234407448,-0.007832576110986755
v219,21600,ours_correct,sf_fifo21,early_half,21724,124,dd_tied,-0.0091810802051,0.0,-0.1573784571338166,0.00041884701079730746
v219,21600,ours_correct,sf_fifo21,early_half,21725,125,dd_tied,-0.00017647811344700948,0.0,0.011751395085937588,-0.0002759171277153527
v219,21600,ours_correct,sf_fifo21,late_half,21601,1,dd_tied,-0.004347688555717433,0.0,0.169493484305832,0.003295604961798926
v219,21600,ours_correct,sf_fifo21,late_half,21602,2,dd_tied,0.04260409533977516,0.0,0.5034019746181428,0.0006400911549175881
v219,21600,ours_correct,sf_fifo21,late_half,21604,4,dd_tied,-0.001940147876739462,0.0,-0.14668504388561132,0.0003552768189740707
v219,21600,ours_correct,sf_fifo21,late_half,21605,5,dd_tied,-0.0016608941555023016,0.0,0.08129156582111818,0.0005428342606160763
v219,21600,ours_correct,sf_fifo21,late_half,21609,9,dd_tied,0.014537177383899702,0.0,0.48584833185609,0.0006536876094217492
v219,21600,ours_correct,sf_fifo21,late_half,21610,10,dd_tied,0.005999546051025484,0.0,-0.011428049303106036,1.9620438933221074e-05
v219,21600,ours_correct,sf_fifo21,late_half,21612,12,dd_tied,-0.01578950256109235,0.0,0.28021833865297197,0.0026435508069468927
v219,21600,ours_correct,sf_fifo21,late_half,21613,13,dd_tied,-0.021877508461475403,0.0,0.0013968306375318207,-0.0005446238142623461
v219,21600,ours_correct,sf_fifo21,late_half,21617,17,dd_tied,-0.003134608268737793,0.0,0.18556028531284596,-0.00036524300365858853
v219,21600,ours_correct,sf_fifo21,late_half,21618,18,dd_tied,0.0038277316093445757,0.0,0.14860618112180646,0.0010477906502597278
v219,21600,ours_correct,sf_fifo21,late_half,21620,20,dd_tied,0.00452878057956696,0.0,-0.5882012996161308,0.0010745656703858852
v219,21600,ours_correct,sf_fifo21,late_half,21621,21,dd_up,0.04897564649581909,0.125,3.714005627479679,-0.000330008378637614
v219,21600,ours_correct,sf_fifo21,late_half,21625,25,dd_down,0.012971551120281144,-0.25,-0.8675952056648555,0.004088332802681727
v219,21600,ours_correct,sf_fifo21,late_half,21626,26,dd_down,-0.001264348328113618,-0.375,-1.3943180087936042,0.008068887682600723
v219,21600,ours_correct,sf_fifo21,late_half,21628,28,dd_tied,0.02737229526042939,0.0,0.2210397428430042,-0.00010145879027434468
v219,21600,ours_correct,sf_fifo21,late_half,21629,29,dd_tied,0.004501119405031173,0.0,0.037230321446017456,-0.0005616110134323282
v219,21600,ours_correct,sf_fifo21,late_half,21633,33,dd_tied,0.041783585995435635,0.0,1.0160932523386208,-0.002500398598335729
v219,21600,ours_correct,sf_fifo21,late_half,21634,34,dd_down,0.031251976937055614,-0.375,-3.045439945370802,-0.008463882214914342
v219,21600,ours_correct,sf_fifo21,late_half,21636,36,dd_tied,0.006353149414062509,0.0,0.025738002314184882,-0.0013760852396731416
v219,21600,ours_correct,sf_fifo21,late_half,21637,37,dd_tied,-0.0018279933929443715,0.0,0.213402570897685,0.0010427798910618291
v219,21600,ours_correct,sf_fifo21,late_half,21641,41,dd_tied,0.0030528271198272394,0.0,0.025671855814579203,0.0002032264185969357
v219,21600,ours_correct,sf_fifo21,late_half,21642,42,dd_down,0.011034997403621682,-0.25,-1.6457874820819143,0.0005723800535929469
v219,21600,ours_correct,sf_fifo21,late_half,21644,44,dd_down,0.030960782170295742,-0.25,-1.236320783164416,0.005030660045668878
v219,21600,ours_correct,sf_fifo21,late_half,21645,45,dd_down,0.0036386007070541293,-0.125,-1.5309699654860225,0.003008376349537545
v219,21600,ours_correct,sf_fifo21,late_half,21649,49,dd_tied,0.005887394100427601,0.0,0.3927334982649313,-6.054872204785955e-05
v219,21600,ours_correct,sf_fifo21,late_half,21650,50,dd_tied,-0.008665058314800245,0.0,-0.628557702991202,-0.0013182758326689692
v219,21600,ours_correct,sf_fifo21,late_half,21652,52,dd_tied,0.0009429126977920088,0.0,0.04890830228065113,-0.00030973580223814245
v219,21600,ours_correct,sf_fifo21,late_half,21653,53,dd_tied,0.0006175652146339639,0.0,0.029196498300080975,0.0002013458009806346
v219,21600,ours_correct,sf_fifo21,late_half,21657,57,dd_tied,-0.0028580226004124576,0.0,0.00046546207782682814,-5.755811676644296e-05
v219,21600,ours_correct,sf_fifo21,late_half,21658,58,dd_tied,0.009970667809248046,0.0,0.23690453461395578,0.0002854291613921811
v219,21600,ours_correct,sf_fifo21,late_half,21660,60,dd_up,-0.003572857230901727,0.125,1.1298531604607405,0.003220606491450728
v219,21600,ours_correct,sf_fifo21,late_half,21661,61,dd_tied,-0.05995135560631748,0.0,-2.1272504822585176,-0.011885740325476957
v219,21600,ours_correct,sf_fifo21,late_half,21665,65,dd_tied,0.0006783613562584279,0.0,0.023932738579105717,3.46961696575665e-05
v219,21600,ours_correct,sf_fifo21,late_half,21666,66,dd_tied,-0.00015693768858904278,0.0,0.03731562744424366,-3.812559163862694e-05
v219,21600,ours_correct,sf_fifo21,late_half,21668,68,dd_tied,-0.00239327132701872,0.0,0.05211279316105788,0.00022797424479537032
v219,21600,ours_correct,sf_fifo21,late_half,21669,69,dd_tied,-0.0027988946437835782,0.0,-0.38647945422818,-0.00393544387325151
v219,21600,ours_correct,sf_fifo21,late_half,21673,73,dd_tied,-0.005295856595039394,0.0,0.10800218990466703,-0.0012038741987470125
v219,21600,ours_correct,sf_fifo21,late_half,21674,74,dd_up,0.01535917416214938,0.25,2.069320081161976,-0.006280395240623293
v219,21600,ours_correct,sf_fifo21,late_half,21676,76,dd_down,-0.07875204801559454,-0.125,-2.774379391505491,-0.0007411911005021921
v219,21600,ours_correct,sf_fifo21,late_half,21677,77,dd_tied,-0.00194376140832897,0.0,-0.11219988934225,0.0011164653724913265
v219,21600,ours_correct,sf_fifo21,late_half,21681,81,dd_up,-0.03273898556828503,0.25,1.066672957740451,-0.0035099371591587047
v219,21600,ours_correct,sf_fifo21,late_half,21682,82,dd_tied,0.018039041534066158,0.0,2.3206218265029506,0.007852100505893356
v219,21600,ours_correct,sf_fifo21,late_half,21684,84,dd_down,-0.09003642365336417,-0.25,-3.228364645795608,0.003188362189768812
v219,21600,ours_correct,sf_fifo21,late_half,21685,85,dd_tied,0.1031168726831675,0.0,-5.703605090291376,-0.050031804952095804
v219,21600,ours_correct,sf_fifo21,late_half,21689,89,dd_tied,0.035314944237470614,0.0,1.285273092859498,0.006461815007921312
v219,21600,ours_correct,sf_fifo21,late_half,21690,90,dd_tied,0.001135800480842608,0.0,0.007172940848647613,1.5772926984958247e-05
v219,21600,ours_correct,sf_fifo21,late_half,21692,92,dd_tied,0.0006856513023376642,0.0,0.1855088720929956,-0.0003001981860645264
v219,21600,ours_correct,sf_fifo21,late_half,21693,93,dd_tied,-0.0010941395163535095,0.0,-0.38270249606792106,-0.00241278822853197
v219,21600,ours_correct,sf_fifo21,late_half,21697,97,dd_tied,-0.011975629031658164,0.0,-0.4951424503820476,-0.0035048690007569716
v219,21600,ours_correct,sf_fifo21,late_half,21698,98,dd_tied,0.021493192315101606,0.0,0.3230392468404517,0.009406697251435503
v219,21600,ours_correct,sf_fifo21,late_half,21700,100,dd_down,-0.030995242744684237,-0.25,-2.505204040107813,0.00012568751833030856
v219,21600,ours_correct,sf_fifo21,late_half,21701,101,dd_up,0.021918489262461677,0.5,4.099814794403159,0.0005918624128334882
v219,21600,ours_correct,sf_fifo21,late_half,21705,105,dd_up,0.008350362777709952,0.125,0.9726138554326553,-0.00836114455383452
v219,21600,ours_correct,sf_fifo21,late_half,21706,106,dd_tied,0.011293102055788096,0.0,0.12654517148077105,0.000802001045792311
v219,21600,ours_correct,sf_fifo21,late_half,21708,108,dd_tied,-0.003920584321022047,0.0,0.5928319720874384,0.0036101344990451256
