comparison,axis,policy,control,matched_intervention,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
v:recent4:top>bottom,v,recent4,bottom,0,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.1284524629415355,0.14017931362085884,0.6875,0.05576091341727774,0.19998984046333187,0.0406891495601173
v:recent4:top>bottom,v,recent4,bottom,0,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.1145468718181307,0.16551247149162995,0.78125,0.05170486629949911,0.17482333434765804,0.4204545454545454
v:recent4:top>bottom,v,recent4,bottom,0,x0_relative_rms,paired_log_ratio,pooled,128,32,0.1214996673798331,0.15075812751704507,0.734375,0.06038287685405089,0.18289989874260118,0.26063049853372433
policy:key_shift:top>bottom,policy,key_shift,bottom,0,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.2582446139008463,0.30522408916562666,0.734375,0.1467579136831498,0.3781306507205137,0.063049853372434
policy:key_shift:top>bottom,policy,key_shift,bottom,0,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.3360326570520189,0.3053956314477999,0.953125,0.2568329627798394,0.4275876514778213,0.3478739002932551
policy:key_shift:top>bottom,policy,key_shift,bottom,0,x0_relative_rms,paired_log_ratio,pooled,128,32,0.2971386354764326,0.30522408916562666,0.84375,0.20833609906459846,0.3983913572759746,0.17412023460410556
policy:value_shift:top>bottom,policy,value_shift,bottom,0,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.26797705876886707,0.22243494210841142,0.78125,0.14975691527587753,0.385188542544946,0.2467008797653959
policy:value_shift:top>bottom,policy,value_shift,bottom,0,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.36089065670865333,0.3140968660218284,0.953125,0.268911808530064,0.4675740721599383,0.6253665689149559
policy:value_shift:top>bottom,policy,value_shift,bottom,0,x0_relative_rms,paired_log_ratio,pooled,128,32,0.3144338577387602,0.30159686233303373,0.8671875,0.22006618464769942,0.4278789432648947,0.32074780058651026
policy:recent4:top>bottom,policy,recent4,bottom,1,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.167786663491643,0.13385271727908435,0.640625,0.03708598913699442,0.30508416861639925,0.5575513196480938
policy:recent4:top>bottom,policy,recent4,bottom,1,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.007173689704073276,0.05423460674932584,0.5625,-0.07405615234935736,0.08388842396467093,0.34017595307917886
policy:recent4:top>bottom,policy,recent4,bottom,1,x0_relative_rms,paired_log_ratio,pooled,128,32,0.08748017659785814,0.07644692864643055,0.6015625,-0.010478136273951647,0.18145736738855,0.5021994134897361
policy:recent4:top>random_ensemble,policy,recent4,random_ensemble,1,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.276642281644694,0.27533689166952835,0.875,0.20971199993017065,0.3436554136505392,0.33724340175953077
policy:recent4:top>random_ensemble,policy,recent4,random_ensemble,1,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.13559222299391388,0.14259377151468944,0.8125,0.0819138125324579,0.18442236038878274,0.46224340175953077
policy:recent4:top>random_ensemble,policy,recent4,random_ensemble,1,x0_relative_rms,paired_log_ratio,pooled,128,32,0.20611725231930397,0.19967844139362256,0.84375,0.1534397127436418,0.25546435598467443,0.43181818181818177
k:key_shift:pfmatched_top>bottom,k,key_shift,pf_label_matched,1,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.33201802664193397,0.3452387841851755,0.90625,0.24810269301431398,0.4192155980209594,0.500366568914956
k:key_shift:pfmatched_top>bottom,k,key_shift,pf_label_matched,1,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.23184023342119503,0.2460692086144287,0.890625,0.1874716087225587,0.2752451725368366,0.006231671554252198
k:key_shift:pfmatched_top>bottom,k,key_shift,pf_label_matched,1,x0_relative_rms,paired_log_ratio,pooled,128,32,0.2819291300315645,0.303484163383465,0.8984375,0.23593260491406776,0.32976570301621744,0.49010263929618764
v:value_shift:pfmatched_top>bottom,v,value_shift,pf_label_matched,1,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,-0.3070802350527657,-0.23767038227628512,0.28125,-0.45749178569570903,-0.16849144970342966,0.30351906158357767
v:value_shift:pfmatched_top>bottom,v,value_shift,pf_label_matched,1,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,-0.2214318723757887,-0.13943282651049155,0.296875,-0.3589165166217382,-0.10886931621271127,0.4637096774193548
v:value_shift:pfmatched_top>bottom,v,value_shift,pf_label_matched,1,x0_relative_rms,paired_log_ratio,pooled,128,32,-0.26425605371427724,-0.16933606722602973,0.2890625,-0.4097163434143165,-0.1399051714937972,0.3962609970674486
policy:recent4:pfmatched_top>bottom,policy,recent4,pf_label_matched,1,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,-0.14968889693336251,-0.16241948682539625,0.375,-0.24620520657248604,-0.0583291421839937,0.0344574780058651
policy:recent4:pfmatched_top>bottom,policy,recent4,pf_label_matched,1,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,-0.2865170839018465,-0.2902099681385839,0.109375,-0.37913483791569774,-0.19478951203812872,0.25806451612903225
policy:recent4:pfmatched_top>bottom,policy,recent4,pf_label_matched,1,x0_relative_rms,paired_log_ratio,pooled,128,32,-0.21810299041760448,-0.227241624497359,0.2421875,-0.29755381242400003,-0.14492941842696058,0.1843841642228739
