layer,head,discovery_current_mass,validation_current_mass,discovery_global_sink1_mass,validation_global_sink1_mass,discovery_history_mean_logit,validation_history_mean_logit,discovery_history_positive_rate,validation_history_positive_rate,discovery_last4_mass,validation_last4_mass,discovery_middle_mass,validation_middle_mass,discovery_oldest1_mass,validation_oldest1_mass,discovery_recent4_mass,validation_recent4_mass,discovery_recent4_non_oldest_ratio,validation_recent4_non_oldest_ratio,dummy_forcing_label,dummy_forcing_vote_fraction,dummy_forcing_split_agree,forcing_kv_label,forcing_kv_vote_fraction,forcing_kv_split_agree,head_forcing_label,head_forcing_vote_fraction,head_forcing_split_agree,discovery_best_policy,validation_best_policy,split_label_agree,discovery_policy_need,validation_policy_need,modal_state_policy,modal_state_fraction,validation_static_regret,discovery_policy_margin,discovery_recent_budget_loss,validation_recent_budget_loss,discovery_boundary_recent_loss,validation_boundary_recent_loss,discovery_uniform_recent_loss,validation_uniform_recent_loss
9,1,0.63232421875,0.5947265625,0.0,0.0,2.7549099392361107,2.7980414496527777,1.0,1.0,0.685791015625,0.646484375,0.1335296630859375,0.157958984375,0.026851654052734375,0.027820587158203125,0.11346435546875,0.111541748046875,0.1170806884765625,0.119049072265625,context,0.9609375,1,dynamic,0.59375,1,anchor,1.0,1,boundary_recent,boundary_recent,1,0.032955337315797806,0.037725916132330894,boundary_recent,0.7916666666666666,0.0,0.08991169577513333,0.16170546039938927,0.16594812646508217,0.12875012308359146,0.12822221033275127,0.14170213416218758,0.1432206928730011
9,2,0.3104248046875,0.2880859375,0.0,0.0,0.16975969738430446,0.11001617378658718,0.5277777777777778,0.5,0.43463134765625,0.42669677734375,0.266815185546875,0.280029296875,0.033390045166015625,0.029293060302734375,0.2852783203125,0.2864990234375,0.2913818359375,0.292236328125,context,1.0,1,dynamic,0.796875,1,memory,0.71875,1,boundary_recent,boundary_recent,1,0.020147817209362984,0.028486886993050575,boundary_recent,0.658203125,0.0,0.03868892967370975,0.1362781636416912,0.14380363002419472,0.11613034643232822,0.11531674303114414,0.12094523198902607,0.12173108011484146
9,3,0.522705078125,0.5352783203125,0.0,0.0,-0.17015159130096436,-0.8124177720811632,0.38888888888888884,0.2222222222222222,0.6812744140625,0.6710205078125,0.11309814453125,0.10294342041015625,0.02823638916015625,0.02677154541015625,0.2318115234375,0.22454833984375,0.241424560546875,0.235015869140625,context,0.984375,1,static,0.609375,1,memory,0.8828125,1,boundary_recent,boundary_recent,1,0.06508091278374195,0.05572130344808102,boundary_recent,0.76171875,0.0,0.16615563022552515,0.21743791922926903,0.21646134555339813,0.15235700644552708,0.16074004210531712,0.18297212570905685,0.17526817694306374
9,4,0.9156494140625,0.919677734375,0.0,0.0,0.16175524393717447,0.1332002215915256,0.5,0.5,0.957763671875,0.9630126953125,0.0157623291015625,0.013925552368164062,0.01030731201171875,0.009983062744140625,0.04465484619140625,0.042694091796875,0.0450897216796875,0.04332733154296875,dummy,0.9921875,1,static,1.0,1,local,0.859375,1,boundary_recent,boundary_recent,1,0.02291496330872178,0.021788276731967926,boundary_recent,0.724609375,0.0,0.37638958526901545,0.046135551296174526,0.04393112566322088,0.023220587987452745,0.022142848931252956,0.03650187235325575,0.034180677495896816
9,5,0.28515625,0.2833251953125,0.0,0.0,0.7926381429036458,0.7731670803493924,1.0,1.0,0.38214111328125,0.38043212890625,0.3839111328125,0.3828125,0.033905029296875,0.03057861328125,0.227325439453125,0.230804443359375,0.235626220703125,0.237579345703125,context,1.0,1,dynamic,1.0,1,anchor,0.9921875,1,boundary_recent,uniform_recent,0,0.014885418117046356,0.02004261314868927,boundary_recent,0.4915364583333333,0.00349407183767226,0.010071133535960085,0.17900218069553375,0.18007784709334373,0.1641167625784874,0.16743677109479904,0.16582531109452248,0.16003523394465446
9,6,0.45013427734375,0.4473876953125,0.0,0.0,-0.990775638156467,-1.7761594984266493,0.19444444444444442,0.1111111111111111,0.590087890625,0.627685546875,0.1484222412109375,0.134613037109375,0.027408599853515625,0.021389007568359375,0.235809326171875,0.239288330078125,0.24560546875,0.24945068359375,context,1.0,1,dynamic,0.6171875,1,memory,0.984375,1,boundary_recent,boundary_recent,1,0.04372166469693184,0.04107267037034035,boundary_recent,0.6555989583333334,0.0,0.062315514540479115,0.20548922941088676,0.20311175286769867,0.16176756471395493,0.16203908249735832,0.17298947274684906,0.16906718909740448
9,7,0.5623779296875,0.5810546875,0.0,0.0,1.1696141560872395,1.1422462463378906,1.0,1.0,0.6861572265625,0.720947265625,0.139892578125,0.1141510009765625,0.014537811279296875,0.012821197509765625,0.235504150390625,0.243865966796875,0.239990234375,0.2476806640625,context,1.0,1,static,0.546875,1,memory,1.0,1,boundary_recent,boundary_recent,1,0.015801405534148216,0.014248177409172058,boundary_recent,0.59375,0.0,0.08715505647103965,0.09883115068078041,0.09418801218271255,0.0830297451466322,0.0799398347735405,0.09095552191138268,0.08793051727116108
9,8,0.8782958984375,0.88134765625,0.0,0.0,1.4060278998480902,1.33972258037991,0.8888888888888888,0.8888888888888888,0.92578125,0.928466796875,0.03630828857421875,0.03009033203125,0.006323814392089844,0.006009101867675781,0.0584869384765625,0.0612030029296875,0.05886077880859375,0.06157684326171875,context,0.5625,1,static,0.9921875,1,memory,0.8125,1,recent_budget,boundary_recent,0,-0.001608863938599825,0.004686048254370689,boundary_recent,0.451171875,0.1009700294537503,0.045389805385180504,0.0334884375333786,0.03631902066990733,0.035097301471978426,0.03163297241553664,0.03775073401629925,0.03475611191242933
9,9,0.84765625,0.837890625,0.0,0.0,-0.2953932020399306,-0.2749748229980469,0.3333333333333333,0.33333333333333337,0.9346923828125,0.9359130859375,0.029026031494140625,0.0269775390625,0.00519561767578125,0.0049381256103515625,0.0964508056640625,0.1105804443359375,0.0971832275390625,0.1114654541015625,context,0.671875,1,static,1.0,1,memory,0.984375,1,boundary_recent,boundary_recent,1,0.013740872032940388,0.01225596759468317,boundary_recent,0.8697916666666666,0.0,0.15104813119740126,0.05589168053120375,0.05286816041916609,0.04215080849826336,0.04061219282448292,0.04958369489759207,0.04751045070588589
9,10,0.76806640625,0.7535400390625,0.0,0.0,0.4283362494574653,0.4359708891974555,0.7777777777777778,0.8194444444444444,0.8306884765625,0.83203125,0.07550048828125,0.07294464111328125,0.008153915405273438,0.007634162902832031,0.1280364990234375,0.141998291015625,0.1296844482421875,0.14434814453125,context,0.8359375,1,static,0.8515625,1,memory,0.9921875,1,boundary_recent,boundary_recent,1,0.010640444234013557,0.011818904429674149,boundary_recent,0.6666666666666666,0.0,0.04963611245664108,0.09091151878237724,0.0895469356328249,0.08027107454836369,0.07772803120315075,0.08450146205723286,0.08218620903789997
