prompt_split,switch_type,mode,current_frame,nominal_timestep,episode,stale_a_visible,boundary_offset,layer,head,prompt_history_excess,policy_prompt_score,stale_a_mass,persistent_content,persistent_positioned,persistent_output
all,identity_scene,clean,54,0,A,1,-3,7,11,0.34220051765441895,0.8200027595833306,1.0,0.0007745921611785889,0.0002745687961578369,0.0007786452770233154
all,identity_scene,clean,54,0,A,1,-3,8,0,0.018015682697296143,0.6912617794472367,1.0,0.0007322728633880615,0.0007357597351074219,0.0001856088638305664
all,identity_scene,clean,54,0,A,1,-3,8,1,-0.14347074925899506,0.3095570333436425,1.0,0.0007119476795196533,0.0011322051286697388,0.00201532244682312
all,identity_scene,clean,54,0,A,1,-3,8,2,-0.06714531779289246,0.47528287433316774,1.0,0.0009132921695709229,0.0009365379810333252,0.004880666732788086
all,identity_scene,clean,54,0,A,1,-3,8,3,-0.1744229793548584,0.5307938320723808,1.0,0.0002365708351135254,0.0010334253311157227,0.0012769699096679688
all,identity_scene,clean,54,0,A,1,-3,8,4,-0.186337411403656,0.8359784391781234,1.0,2.8699636459350586e-05,0.00012393295764923096,0.0021317601203918457
all,identity_scene,clean,54,0,A,1,-3,8,5,-0.015523135662078857,0.3668775575772173,1.0,-0.0003561973571777344,-6.0498714447021484e-05,0.0006924867630004883
all,identity_scene,clean,54,0,A,1,-3,8,6,0.11703583598136902,0.97973391421037,1.0,-0.0007388442754745483,-0.00032448768615722656,0.004981905221939087
all,identity_scene,clean,54,0,A,1,-3,8,7,-0.07715266942977905,0.6914960435190822,1.0,8.907914161682129e-05,0.00038614869117736816,-0.0016619563102722168
all,identity_scene,clean,54,0,A,1,-3,8,8,-0.1847173571586609,0.7419046014833773,1.0,-0.00015673041343688965,-0.0002799779176712036,0.00035697221755981445
all,identity_scene,clean,54,0,A,1,-3,8,9,-0.08950966596603394,0.8734790537501977,1.0,-0.00018721818923950195,0.0006341934204101562,0.010283112525939941
all,identity_scene,clean,54,0,A,1,-3,8,10,-0.09943720698356628,0.20410909723405857,1.0,0.0011840462684631348,0.0007925331592559814,0.00092315673828125
all,identity_scene,clean,54,0,A,1,-3,8,11,0.19325166940689087,0.10287715308743745,1.0,0.00017151236534118652,0.00020278990268707275,-0.0001430511474609375
all,identity_scene,clean,54,0,A,1,-3,9,0,-0.3525349199771881,0.5020468215602649,1.0,-0.000383913516998291,0.0005189031362533569,0.0018578767776489258
all,identity_scene,clean,54,0,A,1,-3,9,1,0.04240301251411438,0.8750326706312316,1.0,0.0002645254135131836,0.001270875334739685,0.005783140659332275
all,identity_scene,clean,54,0,A,1,-3,9,2,-0.23298819363117218,0.5741362158366545,1.0,0.00022834539413452148,-9.733438491821289e-05,0.0009445548057556152
all,identity_scene,clean,54,0,A,1,-3,9,3,-0.21750658750534058,0.6945206960896293,1.0,0.0003635585308074951,0.00022789835929870605,0.0012360811233520508
all,identity_scene,clean,54,0,A,1,-3,9,4,0.044530272483825684,0.7601398753092401,1.0,5.772709846496582e-05,0.000523984432220459,0.006741821765899658
all,identity_scene,clean,54,0,A,1,-3,9,5,-0.04782742261886597,1.0195198808135755,1.0,0.0001163184642791748,-5.128979682922363e-05,-0.0014328956604003906
all,identity_scene,clean,54,0,A,1,-3,9,6,-0.14722487330436707,0.6636539132012742,1.0,-2.6345252990722656e-05,-0.00034114718437194824,-4.4405460357666016e-05
all,identity_scene,clean,54,0,A,1,-3,9,7,-0.23412910103797913,1.1676029729258501,1.0,0.0006920993328094482,0.0006859004497528076,0.0004493296146392822
all,identity_scene,clean,54,0,A,1,-3,9,8,-0.014450103044509888,0.6028273227345828,1.0,0.00044158101081848145,0.0001954883337020874,0.000972062349319458
all,identity_scene,clean,54,0,A,1,-3,9,9,0.28825947642326355,0.4564819603597726,1.0,-0.00017946958541870117,-0.0003815889358520508,-7.206201553344727e-05
all,identity_scene,clean,54,0,A,1,-3,9,10,-0.18153202533721924,0.6150148764907865,1.0,0.0001360476016998291,0.00025144219398498535,0.0013669133186340332
all,identity_scene,clean,54,0,A,1,-3,9,11,0.008000671863555908,0.5325196001825625,1.0,0.0011367201805114746,0.0008017420768737793,0.0005507469177246094
all,identity_scene,clean,54,0,A,1,-3,10,0,-0.3213701993227005,0.2351927093146846,1.0,3.266334533691406e-05,0.0001805126667022705,0.0010602474212646484
