factor,contrast,mode,current_frame,nominal_timestep,layer_residual_family_split_spearman,layer_residual_seed_replicate_spearman,layer_residual_signed_split_spearman,validation_high_low_ratio,validation_positive_layer_fraction,validation_factor_paraphrase_ratio,candidate_screen_pass
paraphrase,boundary_vs_recent,noisy,63,1000,0.7093444651064693,0.7303271372978701,-0.13134489206449637,2.0025982955572585,1.0,1.0,1
paraphrase,boundary_vs_recent,noisy,117,500,0.6559860286987812,0.6732904317677348,-0.17348153406533484,1.7610007572026984,0.9666666666666667,1.0,1
paraphrase,boundary_vs_recent,noisy,117,1000,0.6974336221730105,0.6662152742948119,-0.19813810291746076,1.9211673047838276,1.0,1.0,1
paraphrase,uniform_vs_recent,clean,63,0,0.7683945606576181,0.7849111490057794,-0.050997564281617405,2.1835497990048873,1.0,1.0,1
paraphrase,uniform_vs_recent,clean,117,0,0.7746916771477146,0.7794723210312836,-0.11729668696003313,2.0160811266805148,1.0,1.0,1
paraphrase,uniform_vs_recent,noisy,63,500,0.8027667394552941,0.8185024575806912,-0.16465662029285205,2.599717464612374,1.0,1.0,1
paraphrase,uniform_vs_recent,noisy,63,1000,0.8175191681005768,0.8045584199466559,-0.19462290089686907,2.576541310447616,1.0,1.0,1
paraphrase,uniform_vs_recent,noisy,117,500,0.819103028058344,0.8013287139561261,-0.26017484702814064,2.5189462056698844,1.0,1.0,1
paraphrase,uniform_vs_recent,noisy,117,1000,0.7786325511770924,0.7267049385669128,-0.2743184746795886,2.4055884622731667,1.0,1.0,1
scene,boundary_vs_recent,clean,63,0,0.6874021661689776,0.6982492148859172,-0.06854939724329148,1.627324087730035,1.0,1.1145334663813564,1
scene,boundary_vs_recent,clean,117,0,0.6823833517233928,0.7277844222049037,-0.08537282952286154,1.865248994567401,0.9666666666666667,1.1245399385258315,1
scene,boundary_vs_recent,noisy,63,500,0.6953723922766893,0.7227939001586946,-0.002782686080396711,1.7465795746948463,0.9666666666666667,1.162093659933062,1
scene,boundary_vs_recent,noisy,63,1000,0.7168738441911846,0.7102284739851388,0.07025285688932784,1.9074945472341884,1.0,1.1757894706529202,1
scene,boundary_vs_recent,noisy,117,500,0.6558059861573006,0.7555752745005748,-0.021283086032042424,1.7937610686403254,1.0,1.1874649604332634,1
scene,boundary_vs_recent,noisy,117,1000,0.672414138997986,0.7619122575534275,-0.10995352330393494,1.831168710567143,1.0,1.229182552608497,1
scene,uniform_vs_recent,clean,63,0,0.7725710332127047,0.7969727132668204,-0.22567278039696806,2.161735601480928,1.0,1.1642254304020259,1
scene,uniform_vs_recent,clean,117,0,0.7492809872504159,0.7604163612373551,0.08611460479376126,2.177727622463189,1.0,1.1528863787134243,1
scene,uniform_vs_recent,noisy,63,500,0.7912825973451441,0.808998783426827,-0.2287363328420744,2.4303875369345946,1.0,1.1979539289264625,1
scene,uniform_vs_recent,noisy,63,1000,0.8101009009843182,0.8103925699015168,-0.233810188864626,2.234616261797656,1.0,1.212063776916762,1
scene,uniform_vs_recent,noisy,117,500,0.7457230894271303,0.7898401993842545,0.06259384717474671,2.3000669460973016,1.0,1.183061421926182,1
scene,uniform_vs_recent,noisy,117,1000,0.7348089105625816,0.7593245318250912,-0.044668811744946586,2.3678916590457484,0.9666666666666667,1.2209968076390885,1
