layer,head,discovery_best,discovery_margin,coverage_gain,episode_gain,stability_frequency,supported_nonlocal,assigned_policy
8,2,recent,0.7164983039620303,-0.7187927253267326,-0.7164983039620303,1.0,False,recent
8,3,recent,1.8451215199570505,-1.8736923562412562,-1.8451215199570505,1.0,False,recent
8,4,recent,1.6465721903578912,-1.6573589203653816,-1.6465721903578912,1.0,False,recent
8,5,recent,3.223983694287803,-3.240498237023049,-3.223983694287803,1.0,False,recent
8,6,coverage,0.32108501890355834,1.3418608154462204,1.020775796542662,1.0,True,coverage
8,7,recent,3.098130148713791,-3.098130148713791,-3.108045826213716,1.0,False,recent
8,8,recent,3.1157711667761125,-3.1157711667761125,-3.1350818606798914,1.0,False,recent
8,9,recent,0.9695328474603611,-0.9695328474603611,-1.0019690311257063,1.0,False,recent
8,10,recent,2.9542094393617493,-2.9542094393617493,-2.9563726334224647,1.0,False,recent
8,11,recent,5.974685068481727,-5.984108761350648,-5.974685068481727,1.0,False,recent
9,0,recent,1.4140153182753412,-1.4982166534195756,-1.4140153182753412,1.0,False,recent
9,1,recent,0.6281246193547729,-0.6805363114371343,-0.6281246193547729,1.0,False,recent
9,2,recent,0.5730624529139607,-0.7498393495188655,-0.5730624529139607,1.0,False,recent
9,3,recent,0.9859847224895373,-1.1252708245023926,-0.9859847224895373,1.0,False,recent
9,4,recent,1.781109567700124,-1.8164580137165514,-1.781109567700124,1.0,False,recent
9,5,recent,0.7417191604540476,-0.7417191604540476,-0.7631030676179478,1.0,False,recent
9,6,recent,1.0268665465258482,-1.2453738302693476,-1.0268665465258482,1.0,False,recent
9,7,recent,2.9031142779173944,-2.9031142779173944,-2.9270158048943076,1.0,False,recent
9,8,recent,1.9716775117636605,-2.065310829082634,-1.9716775117636605,1.0,False,recent
9,9,recent,2.429485961667842,-2.4575454593730175,-2.429485961667842,1.0,False,recent
9,10,recent,1.4434233364118496,-1.5000147047046664,-1.4434233364118496,1.0,False,recent
9,11,recent,0.16065747887845516,-0.30559420868141407,-0.16065747887845516,1.0,False,recent
10,0,recent,2.312352270864967,-2.4045182872203426,-2.312352270864967,1.0,False,recent
10,1,recent,0.9686335290910577,-1.2193596411275758,-0.9686335290910577,1.0,False,recent
10,2,recent,0.946300396668255,-1.1054365771422616,-0.946300396668255,1.0,False,recent
10,3,recent,0.9221763021964664,-1.0240305089233113,-0.9221763021964664,1.0,False,recent
10,4,episode,0.08090574577563103,-0.1978112861105905,0.08090574577563103,0.8333333333333334,False,recent
10,5,recent,0.45332974800764436,-0.7255431392084399,-0.45332974800764436,1.0,False,recent
10,6,recent,0.7832331062551425,-0.8815780035627898,-0.7832331062551425,1.0,False,recent
10,7,recent,0.08268069250353172,-0.1029334167334146,-0.08268069250353172,1.0,False,recent
10,8,coverage,0.05976766157005198,0.06437333654007205,0.004605674970020068,1.0,False,recent
10,9,recent,0.6249928673262248,-0.7609938820596991,-0.6249928673262248,1.0,False,recent
10,10,recent,1.158819916608746,-1.4081374230715613,-1.158819916608746,1.0,False,recent
10,11,recent,1.8270210185437055,-1.8838376972748057,-1.8270210185437055,1.0,False,recent
11,0,recent,1.4219039476253297,-1.607958987309249,-1.4219039476253297,1.0,False,recent
